date,region_code,confirmed_addition,deceased_addition
2020-01-28,Bayern,2,0
2020-01-29,Bayern,2,0
2020-01-31,Bayern,4,0
2020-02-03,Bayern,1,0
2020-02-04,Bayern,3,0
2020-02-06,Bayern,1,0
2020-02-07,Bayern,1,0
2020-02-11,Bayern,2,0
2020-02-12,Bayern,1,0
2020-02-27,Bayern,1,0
2020-02-28,Bayern,2,0
2020-02-29,Bayern,2,0
2020-03-01,Bayern,4,0
2020-03-02,Bayern,6,0
2020-03-03,Bayern,6,0
2020-03-04,Bayern,10,0
2020-03-05,Bayern,19,1
2020-03-06,Bayern,51,0
2020-03-07,Bayern,20,0
2020-03-08,Bayern,20,0
2020-03-09,Bayern,87,0
2020-03-10,Bayern,111,3
2020-03-11,Bayern,120,1
2020-03-12,Bayern,136,3
2020-03-13,Bayern,252,3
2020-03-14,Bayern,232,5
2020-03-15,Bayern,169,3
2020-03-16,Bayern,270,8
2020-03-17,Bayern,472,10
2020-03-18,Bayern,753,12
2020-03-19,Bayern,821,11
2020-03-20,Bayern,866,26
2020-03-21,Bayern,1110,41
2020-03-22,Bayern,559,20
2020-03-23,Bayern,722,49
2020-03-24,Bayern,1218,48
2020-03-25,Bayern,1683,66
2020-03-26,Bayern,1702,94
2020-03-27,Bayern,1646,70
2020-03-28,Bayern,1419,90
2020-03-29,Bayern,862,47
2020-03-30,Bayern,1044,73
2020-03-31,Bayern,1848,132
2020-04-01,Bayern,1991,107
2020-04-02,Bayern,1944,127
2020-04-03,Bayern,1860,95
2020-04-04,Bayern,1494,83
2020-04-05,Bayern,723,49
2020-04-06,Bayern,1130,72
2020-04-07,Bayern,1533,96
2020-04-08,Bayern,1547,90
2020-04-09,Bayern,1268,89
2020-04-10,Bayern,945,58
2020-04-11,Bayern,763,71
2020-04-12,Bayern,419,42
2020-04-13,Bayern,464,45
2020-04-14,Bayern,753,70
2020-04-15,Bayern,965,71
2020-04-16,Bayern,866,55
2020-04-17,Bayern,779,52
2020-04-18,Bayern,521,35
2020-04-19,Bayern,387,39
2020-04-20,Bayern,379,33
2020-04-21,Bayern,500,36
2020-04-22,Bayern,596,36
2020-04-23,Bayern,571,37
2020-04-24,Bayern,528,24
2020-04-25,Bayern,309,19
2020-04-26,Bayern,188,11
2020-04-27,Bayern,341,23
2020-04-28,Bayern,362,19
2020-04-29,Bayern,304,18
2020-04-30,Bayern,290,12
2020-05-01,Bayern,223,23
2020-05-02,Bayern,138,7
2020-05-03,Bayern,91,4
2020-05-04,Bayern,166,7
2020-05-05,Bayern,212,9
2020-05-06,Bayern,266,12
2020-05-07,Bayern,233,15
2020-05-08,Bayern,209,13
2020-05-09,Bayern,123,4
2020-05-10,Bayern,78,6
2020-05-11,Bayern,188,10
2020-05-12,Bayern,213,9
2020-05-13,Bayern,188,7
2020-05-14,Bayern,208,4
2020-05-15,Bayern,135,9
2020-05-16,Bayern,101,7
2020-05-17,Bayern,58,2
2020-05-18,Bayern,88,5
2020-05-19,Bayern,108,4
2020-05-20,Bayern,194,7
2020-05-21,Bayern,93,2
2020-05-22,Bayern,117,5
2020-05-23,Bayern,78,2
2020-05-24,Bayern,94,0
2020-05-25,Bayern,88,3
2020-05-26,Bayern,134,5
2020-05-27,Bayern,115,3
2020-05-28,Bayern,88,0
2020-05-29,Bayern,77,1
2020-05-30,Bayern,83,0
2020-05-31,Bayern,37,1
2020-06-01,Bayern,20,1
2020-06-02,Bayern,37,1
2020-06-03,Bayern,54,3
2020-06-04,Bayern,84,1
2020-06-05,Bayern,57,1
2020-06-06,Bayern,23,1
2020-06-07,Bayern,38,3
2020-06-08,Bayern,41,0
2020-06-09,Bayern,45,0
2020-06-10,Bayern,75,1
2020-06-11,Bayern,35,0
2020-06-12,Bayern,33,2
2020-06-13,Bayern,22,0
2020-06-14,Bayern,18,0
2020-06-15,Bayern,34,1
2020-06-16,Bayern,43,2
2020-06-17,Bayern,43,0
2020-06-18,Bayern,46,1
2020-06-19,Bayern,41,1
2020-06-20,Bayern,33,0
2020-06-21,Bayern,28,1
2020-06-22,Bayern,41,0
2020-06-23,Bayern,47,3
2020-06-24,Bayern,56,1
2020-06-25,Bayern,59,2
2020-06-26,Bayern,86,0
2020-06-27,Bayern,43,1
2020-06-28,Bayern,31,0
2020-06-29,Bayern,61,0
2020-06-30,Bayern,86,0
2020-07-01,Bayern,63,1
2020-07-02,Bayern,69,0
2020-07-03,Bayern,83,0
2020-07-04,Bayern,70,0
2020-07-05,Bayern,28,0
2020-07-06,Bayern,84,0
2020-07-07,Bayern,90,0
2020-07-08,Bayern,70,1
2020-07-09,Bayern,89,1
2020-07-10,Bayern,91,0
2020-07-11,Bayern,61,0
2020-07-12,Bayern,18,0
2020-07-13,Bayern,61,1
2020-07-14,Bayern,87,0
2020-07-15,Bayern,107,1
2020-07-16,Bayern,98,2
2020-07-17,Bayern,79,0
2020-07-18,Bayern,49,0
2020-07-19,Bayern,44,1
2020-07-20,Bayern,78,0
2020-07-21,Bayern,85,1
2020-07-22,Bayern,79,0
2020-07-23,Bayern,100,0
2020-07-24,Bayern,134,0
2020-07-25,Bayern,154,0
2020-07-26,Bayern,85,0
2020-07-27,Bayern,74,0
2020-07-28,Bayern,102,0
2020-07-29,Bayern,118,0
2020-07-30,Bayern,101,2
2020-07-31,Bayern,145,0
2020-08-01,Bayern,72,0
2020-08-02,Bayern,70,0
2020-08-03,Bayern,124,1
2020-08-04,Bayern,170,0
2020-08-05,Bayern,118,0
2020-08-06,Bayern,133,1
2020-08-07,Bayern,79,0
2020-08-08,Bayern,47,0
2020-08-09,Bayern,33,0
2020-08-10,Bayern,184,0
2020-08-11,Bayern,177,0
2020-08-12,Bayern,203,0
2020-08-13,Bayern,237,0
2020-08-14,Bayern,219,0
2020-08-15,Bayern,88,0
2020-08-16,Bayern,162,1
2020-08-17,Bayern,369,2
2020-08-18,Bayern,314,1
2020-08-19,Bayern,398,0
2020-08-20,Bayern,394,0
2020-08-21,Bayern,312,0
2020-08-22,Bayern,192,0
2020-08-23,Bayern,124,0
2020-08-24,Bayern,357,1
2020-08-25,Bayern,334,1
2020-08-26,Bayern,493,1
2020-08-27,Bayern,410,0
2020-08-28,Bayern,284,3
2020-08-29,Bayern,175,0
2020-08-30,Bayern,112,0
2020-08-31,Bayern,276,0
2020-09-01,Bayern,333,1
2020-09-02,Bayern,346,1
2020-09-03,Bayern,399,0
2020-09-04,Bayern,386,0
2020-09-05,Bayern,309,0
2020-09-06,Bayern,199,0
2020-09-07,Bayern,430,2
2020-09-08,Bayern,463,6
2020-09-09,Bayern,536,2
2020-09-10,Bayern,396,0
2020-09-11,Bayern,361,1
2020-09-12,Bayern,257,0
2020-09-13,Bayern,217,4
2020-09-14,Bayern,395,1
2020-09-15,Bayern,548,4
2020-09-16,Bayern,517,3
2020-09-17,Bayern,535,2
2020-09-18,Bayern,459,2
2020-09-19,Bayern,309,2
2020-09-20,Bayern,166,1
2020-09-21,Bayern,390,6
2020-09-22,Bayern,341,4
2020-09-23,Bayern,426,2
2020-09-24,Bayern,401,3
2020-09-25,Bayern,361,1
2020-09-26,Bayern,239,1
2020-09-27,Bayern,127,1
2020-09-28,Bayern,422,1
2020-09-29,Bayern,344,1
2020-09-30,Bayern,396,2
2020-10-01,Bayern,352,0
2020-10-02,Bayern,346,4
2020-10-03,Bayern,307,2
2020-10-04,Bayern,151,5
2020-10-05,Bayern,361,6
2020-10-06,Bayern,494,4
2020-10-07,Bayern,664,7
2020-10-08,Bayern,687,7
2020-10-09,Bayern,738,7
2020-10-10,Bayern,422,3
2020-10-11,Bayern,321,2
2020-10-12,Bayern,679,7
2020-10-13,Bayern,689,2
2020-10-14,Bayern,1152,9
2020-10-15,Bayern,1285,19
2020-10-16,Bayern,1267,10
2020-10-17,Bayern,983,10
2020-10-18,Bayern,574,3
2020-10-19,Bayern,1079,7
2020-10-20,Bayern,1463,13
2020-10-21,Bayern,2223,10
2020-10-22,Bayern,2241,13
2020-10-23,Bayern,2117,17
2020-10-24,Bayern,1666,7
2020-10-25,Bayern,1411,15
2020-10-26,Bayern,2289,29
2020-10-27,Bayern,2725,41
2020-10-28,Bayern,3127,35
2020-10-29,Bayern,2979,36
2020-10-30,Bayern,3140,44
2020-10-31,Bayern,2617,33
2020-11-01,Bayern,2071,44
2020-11-02,Bayern,2831,52
2020-11-03,Bayern,3430,58
2020-11-04,Bayern,3715,59
2020-11-05,Bayern,3954,47
2020-11-06,Bayern,4482,51
2020-11-07,Bayern,3110,29
2020-11-08,Bayern,2184,39
2020-11-09,Bayern,3032,52
2020-11-10,Bayern,3862,60
2020-11-11,Bayern,4606,69
2020-11-12,Bayern,4598,72
2020-11-13,Bayern,4084,80
2020-11-14,Bayern,3154,51
2020-11-15,Bayern,1531,39
2020-11-16,Bayern,2437,99
2020-11-17,Bayern,3602,94
2020-11-18,Bayern,4769,113
2020-11-19,Bayern,4601,104
2020-11-20,Bayern,4205,95
2020-11-21,Bayern,2790,59
2020-11-22,Bayern,1833,33
2020-11-23,Bayern,3008,85
2020-11-24,Bayern,3845,114
2020-11-25,Bayern,4308,101
2020-11-26,Bayern,4547,148
2020-11-27,Bayern,3812,118
2020-11-28,Bayern,2886,69
2020-11-29,Bayern,2035,78
2020-11-30,Bayern,2661,112
2020-12-01,Bayern,3630,134
2020-12-02,Bayern,4419,111
2020-12-03,Bayern,4555,137
2020-12-04,Bayern,3800,108
2020-12-05,Bayern,2840,82
2020-12-06,Bayern,2437,69
2020-12-07,Bayern,2968,137
2020-12-08,Bayern,4290,154
2020-12-09,Bayern,5002,136
2020-12-10,Bayern,4908,194
2020-12-11,Bayern,4953,150
2020-12-12,Bayern,3383,112
2020-12-13,Bayern,2662,109
2020-12-14,Bayern,3085,123
2020-12-15,Bayern,4817,179
2020-12-16,Bayern,5333,145
2020-12-17,Bayern,5573,207
2020-12-18,Bayern,4780,145
2020-12-19,Bayern,3655,107
2020-12-20,Bayern,2289,68
2020-12-21,Bayern,2813,120
2020-12-22,Bayern,4328,149
2020-12-23,Bayern,5354,194
2020-12-24,Bayern,3482,96
2020-12-25,Bayern,2741,102
