date,region_code,confirmed_addition,deceased_addition
2020-01-19,Berlin,1,0
2020-03-03,Berlin,6,0
2020-03-04,Berlin,3,0
2020-03-05,Berlin,10,0
2020-03-06,Berlin,5,0
2020-03-07,Berlin,1,0
2020-03-08,Berlin,12,0
2020-03-09,Berlin,22,0
2020-03-10,Berlin,34,0
2020-03-11,Berlin,42,0
2020-03-12,Berlin,47,0
2020-03-13,Berlin,59,0
2020-03-14,Berlin,29,0
2020-03-15,Berlin,26,0
2020-03-16,Berlin,63,0
2020-03-17,Berlin,93,0
2020-03-18,Berlin,146,2
2020-03-19,Berlin,180,1
2020-03-20,Berlin,170,2
2020-03-21,Berlin,127,2
2020-03-22,Berlin,68,1
2020-03-23,Berlin,159,4
2020-03-24,Berlin,199,5
2020-03-25,Berlin,244,2
2020-03-26,Berlin,286,4
2020-03-27,Berlin,205,5
2020-03-28,Berlin,197,3
2020-03-29,Berlin,88,4
2020-03-30,Berlin,167,5
2020-03-31,Berlin,213,3
2020-04-01,Berlin,187,8
2020-04-02,Berlin,239,7
2020-04-03,Berlin,239,17
2020-04-04,Berlin,108,2
2020-04-05,Berlin,78,5
2020-04-06,Berlin,144,9
2020-04-07,Berlin,202,15
2020-04-08,Berlin,178,6
2020-04-09,Berlin,177,10
2020-04-10,Berlin,83,5
2020-04-11,Berlin,87,2
2020-04-12,Berlin,55,0
2020-04-13,Berlin,59,3
2020-04-14,Berlin,74,1
2020-04-15,Berlin,113,3
2020-04-16,Berlin,94,3
2020-04-17,Berlin,120,6
2020-04-18,Berlin,82,4
2020-04-19,Berlin,33,1
2020-04-20,Berlin,45,2
2020-04-21,Berlin,76,2
2020-04-22,Berlin,81,7
2020-04-23,Berlin,87,2
2020-04-24,Berlin,73,3
2020-04-25,Berlin,54,7
2020-04-26,Berlin,21,1
2020-04-27,Berlin,56,10
2020-04-28,Berlin,80,7
2020-04-29,Berlin,68,0
2020-04-30,Berlin,57,4
2020-05-01,Berlin,25,0
2020-05-02,Berlin,31,2
2020-05-03,Berlin,32,1
2020-05-04,Berlin,52,0
2020-05-05,Berlin,53,1
2020-05-06,Berlin,58,1
2020-05-07,Berlin,58,1
2020-05-08,Berlin,4,0
2020-05-09,Berlin,17,1
2020-05-10,Berlin,8,0
2020-05-11,Berlin,17,2
2020-05-12,Berlin,37,1
2020-05-13,Berlin,58,0
2020-05-14,Berlin,45,1
2020-05-15,Berlin,16,0
2020-05-16,Berlin,16,0
2020-05-17,Berlin,8,0
2020-05-18,Berlin,33,1
2020-05-19,Berlin,46,3
2020-05-20,Berlin,48,1
2020-05-21,Berlin,10,1
2020-05-22,Berlin,36,0
2020-05-23,Berlin,8,0
2020-05-24,Berlin,3,0
2020-05-25,Berlin,22,0
2020-05-26,Berlin,22,0
2020-05-27,Berlin,42,0
2020-05-28,Berlin,25,0
2020-05-29,Berlin,31,0
2020-05-30,Berlin,23,0
2020-05-31,Berlin,27,0
2020-06-01,Berlin,2,0
2020-06-02,Berlin,41,1
2020-06-03,Berlin,55,1
2020-06-04,Berlin,32,0
2020-06-05,Berlin,35,1
2020-06-06,Berlin,16,0
2020-06-07,Berlin,8,0
2020-06-08,Berlin,29,0
2020-06-09,Berlin,57,0
2020-06-10,Berlin,77,1
2020-06-11,Berlin,50,0
2020-06-12,Berlin,42,1
2020-06-13,Berlin,68,0
2020-06-14,Berlin,12,0
2020-06-15,Berlin,31,0
2020-06-16,Berlin,75,0
2020-06-17,Berlin,85,0
2020-06-18,Berlin,128,0
2020-06-19,Berlin,137,2
2020-06-20,Berlin,35,0
2020-06-21,Berlin,20,0
2020-06-22,Berlin,63,0
2020-06-23,Berlin,72,0
2020-06-24,Berlin,58,0
2020-06-25,Berlin,62,1
2020-06-26,Berlin,43,0
2020-06-27,Berlin,17,0
2020-06-28,Berlin,2,0
2020-06-29,Berlin,53,3
2020-06-30,Berlin,35,1
2020-07-01,Berlin,46,1
2020-07-02,Berlin,57,1
2020-07-03,Berlin,41,0
2020-07-04,Berlin,31,0
2020-07-05,Berlin,2,0
2020-07-06,Berlin,33,2
2020-07-07,Berlin,37,0
2020-07-08,Berlin,46,0
2020-07-09,Berlin,34,0
2020-07-10,Berlin,34,1
2020-07-11,Berlin,4,0
2020-07-12,Berlin,1,0
2020-07-13,Berlin,27,0
2020-07-14,Berlin,25,0
2020-07-15,Berlin,24,0
2020-07-16,Berlin,16,0
2020-07-17,Berlin,20,0
2020-07-18,Berlin,19,0
2020-07-20,Berlin,31,0
2020-07-21,Berlin,33,0
2020-07-22,Berlin,27,0
2020-07-23,Berlin,47,0
2020-07-24,Berlin,61,0
2020-07-25,Berlin,18,0
2020-07-26,Berlin,3,0
2020-07-27,Berlin,41,0
2020-07-28,Berlin,64,0
2020-07-29,Berlin,67,0
2020-07-30,Berlin,49,0
2020-07-31,Berlin,76,0
2020-08-01,Berlin,34,0
2020-08-03,Berlin,48,0
2020-08-04,Berlin,57,0
2020-08-05,Berlin,67,0
2020-08-06,Berlin,83,0
2020-08-07,Berlin,102,0
2020-08-08,Berlin,19,0
2020-08-09,Berlin,6,0
2020-08-10,Berlin,96,0
2020-08-11,Berlin,105,0
2020-08-12,Berlin,144,0
2020-08-13,Berlin,89,0
2020-08-14,Berlin,75,0
2020-08-15,Berlin,33,0
2020-08-16,Berlin,3,0
2020-08-17,Berlin,99,1
2020-08-18,Berlin,76,1
2020-08-19,Berlin,71,0
2020-08-20,Berlin,110,1
2020-08-21,Berlin,77,0
2020-08-22,Berlin,32,0
2020-08-23,Berlin,1,0
2020-08-24,Berlin,95,0
2020-08-25,Berlin,67,0
2020-08-26,Berlin,99,0
2020-08-27,Berlin,76,0
2020-08-28,Berlin,103,0
2020-08-29,Berlin,35,0
2020-08-30,Berlin,5,0
2020-08-31,Berlin,123,0
2020-09-01,Berlin,68,0
2020-09-02,Berlin,86,1
2020-09-03,Berlin,77,0
2020-09-04,Berlin,119,0
2020-09-05,Berlin,47,0
2020-09-06,Berlin,3,0
2020-09-07,Berlin,132,0
2020-09-08,Berlin,56,0
2020-09-09,Berlin,114,0
2020-09-10,Berlin,141,0
2020-09-11,Berlin,88,0
2020-09-12,Berlin,42,0
2020-09-13,Berlin,6,0
2020-09-14,Berlin,95,0
2020-09-15,Berlin,117,0
2020-09-16,Berlin,175,0
2020-09-17,Berlin,176,0
2020-09-18,Berlin,192,0
2020-09-19,Berlin,58,0
2020-09-20,Berlin,28,0
2020-09-21,Berlin,194,1
2020-09-22,Berlin,169,1
2020-09-23,Berlin,185,0
2020-09-24,Berlin,227,0
2020-09-25,Berlin,206,1
2020-09-26,Berlin,83,0
