index,date,region_code,confirmed_addition,deceased_addition
23,2020-02-17,Brandenburg,1,0
24,2020-02-18,Brandenburg,1,0
28,2020-02-25,Brandenburg,1,0
50,2020-03-01,Brandenburg,1,0
88,2020-03-05,Brandenburg,2,0
119,2020-03-08,Brandenburg,4,0
131,2020-03-09,Brandenburg,4,0
145,2020-03-10,Brandenburg,9,0
161,2020-03-11,Brandenburg,8,0
177,2020-03-12,Brandenburg,25,0
193,2020-03-13,Brandenburg,20,0
209,2020-03-14,Brandenburg,13,0
225,2020-03-15,Brandenburg,20,0
240,2020-03-16,Brandenburg,19,0
256,2020-03-17,Brandenburg,63,0
272,2020-03-18,Brandenburg,45,0
288,2020-03-19,Brandenburg,57,1
304,2020-03-20,Brandenburg,63,1
320,2020-03-21,Brandenburg,24,0
336,2020-03-22,Brandenburg,21,0
352,2020-03-23,Brandenburg,52,0
368,2020-03-24,Brandenburg,56,0
384,2020-03-25,Brandenburg,96,4
400,2020-03-26,Brandenburg,73,2
416,2020-03-27,Brandenburg,79,6
432,2020-03-28,Brandenburg,44,0
448,2020-03-29,Brandenburg,27,0
464,2020-03-30,Brandenburg,94,13
480,2020-03-31,Brandenburg,129,8
496,2020-04-01,Brandenburg,69,7
512,2020-04-02,Brandenburg,115,9
528,2020-04-03,Brandenburg,136,15
544,2020-04-04,Brandenburg,40,2
560,2020-04-05,Brandenburg,27,3
576,2020-04-06,Brandenburg,75,6
592,2020-04-07,Brandenburg,106,8
608,2020-04-08,Brandenburg,118,3
624,2020-04-09,Brandenburg,115,10
640,2020-04-10,Brandenburg,75,2
656,2020-04-11,Brandenburg,49,5
672,2020-04-12,Brandenburg,44,6
688,2020-04-13,Brandenburg,12,0
704,2020-04-14,Brandenburg,58,2
720,2020-04-15,Brandenburg,69,9
736,2020-04-16,Brandenburg,62,5
752,2020-04-17,Brandenburg,113,0
768,2020-04-18,Brandenburg,61,4
784,2020-04-19,Brandenburg,29,2
799,2020-04-20,Brandenburg,57,9
815,2020-04-21,Brandenburg,65,4
831,2020-04-22,Brandenburg,50,1
847,2020-04-23,Brandenburg,40,3
862,2020-04-24,Brandenburg,85,2
878,2020-04-25,Brandenburg,24,1
894,2020-04-26,Brandenburg,7,0
909,2020-04-27,Brandenburg,38,3
925,2020-04-28,Brandenburg,67,2
941,2020-04-29,Brandenburg,37,1
957,2020-04-30,Brandenburg,35,2
973,2020-05-01,Brandenburg,33,2
989,2020-05-02,Brandenburg,15,0
1005,2020-05-03,Brandenburg,6,0
1019,2020-05-04,Brandenburg,20,2
1035,2020-05-05,Brandenburg,43,0
1051,2020-05-06,Brandenburg,26,0
1067,2020-05-07,Brandenburg,12,1
1083,2020-05-08,Brandenburg,16,0
1098,2020-05-09,Brandenburg,5,0
1114,2020-05-10,Brandenburg,3,0
1129,2020-05-11,Brandenburg,9,0
1145,2020-05-12,Brandenburg,6,0
1161,2020-05-13,Brandenburg,10,1
1177,2020-05-14,Brandenburg,16,0
1193,2020-05-15,Brandenburg,7,0
1209,2020-05-16,Brandenburg,13,0
1225,2020-05-17,Brandenburg,1,0
1240,2020-05-18,Brandenburg,6,0
1253,2020-05-19,Brandenburg,4,0
1269,2020-05-20,Brandenburg,13,0
1285,2020-05-21,Brandenburg,3,0
1300,2020-05-22,Brandenburg,5,0
1315,2020-05-23,Brandenburg,5,0
1328,2020-05-24,Brandenburg,1,0
1340,2020-05-25,Brandenburg,7,0
1355,2020-05-26,Brandenburg,5,0
1370,2020-05-27,Brandenburg,6,1
1384,2020-05-28,Brandenburg,6,1
1399,2020-05-29,Brandenburg,3,0
1415,2020-05-30,Brandenburg,5,0
1430,2020-05-31,Brandenburg,1,0
1455,2020-06-02,Brandenburg,4,0
1470,2020-06-03,Brandenburg,5,0
1484,2020-06-04,Brandenburg,3,0
1499,2020-06-05,Brandenburg,3,0
1515,2020-06-06,Brandenburg,1,0
1543,2020-06-08,Brandenburg,2,0
1557,2020-06-09,Brandenburg,6,0
1573,2020-06-10,Brandenburg,5,1
1589,2020-06-11,Brandenburg,5,0
1604,2020-06-12,Brandenburg,8,0
1620,2020-06-13,Brandenburg,5,0
1633,2020-06-14,Brandenburg,1,0
1647,2020-06-15,Brandenburg,11,0
1662,2020-06-16,Brandenburg,12,0
1678,2020-06-17,Brandenburg,7,0
1693,2020-06-18,Brandenburg,14,0
1708,2020-06-19,Brandenburg,17,0
1724,2020-06-20,Brandenburg,14,0
1751,2020-06-22,Brandenburg,4,0
1765,2020-06-23,Brandenburg,13,0
1779,2020-06-24,Brandenburg,10,0
1795,2020-06-25,Brandenburg,3,0
1811,2020-06-26,Brandenburg,6,0
1826,2020-06-27,Brandenburg,1,0
1841,2020-06-28,Brandenburg,2,0
1854,2020-06-29,Brandenburg,5,0
1868,2020-06-30,Brandenburg,4,0
1883,2020-07-01,Brandenburg,9,0
1898,2020-07-02,Brandenburg,8,1
1914,2020-07-03,Brandenburg,10,0
1926,2020-07-04,Brandenburg,6,0
1952,2020-07-06,Brandenburg,5,0
1964,2020-07-07,Brandenburg,2,0
1993,2020-07-09,Brandenburg,5,0
2008,2020-07-10,Brandenburg,3,0
2023,2020-07-11,Brandenburg,4,0
2035,2020-07-12,Brandenburg,1,0
2048,2020-07-13,Brandenburg,2,0
2062,2020-07-14,Brandenburg,6,0
2076,2020-07-15,Brandenburg,4,0
2092,2020-07-16,Brandenburg,2,0
2107,2020-07-17,Brandenburg,5,0
2123,2020-07-18,Brandenburg,7,0
2151,2020-07-20,Brandenburg,27,0
