index,date,region_code,confirmed_addition,deceased_addition
51,2020-03-01,Bremen,1,0
58,2020-03-02,Bremen,1,0
67,2020-03-03,Bremen,2,0
132,2020-03-09,Bremen,7,0
146,2020-03-10,Bremen,11,0
162,2020-03-11,Bremen,11,0
178,2020-03-12,Bremen,7,0
194,2020-03-13,Bremen,9,0
210,2020-03-14,Bremen,3,0
226,2020-03-15,Bremen,3,0
241,2020-03-16,Bremen,1,0
257,2020-03-17,Bremen,12,1
273,2020-03-18,Bremen,10,0
289,2020-03-19,Bremen,40,0
305,2020-03-20,Bremen,24,0
321,2020-03-21,Bremen,22,0
337,2020-03-22,Bremen,4,0
353,2020-03-23,Bremen,12,0
369,2020-03-24,Bremen,19,1
385,2020-03-25,Bremen,11,0
401,2020-03-26,Bremen,31,2
417,2020-03-27,Bremen,20,1
433,2020-03-28,Bremen,25,0
449,2020-03-29,Bremen,1,0
465,2020-03-30,Bremen,8,2
481,2020-03-31,Bremen,17,1
497,2020-04-01,Bremen,16,1
513,2020-04-02,Bremen,11,1
529,2020-04-03,Bremen,33,5
545,2020-04-04,Bremen,15,1
561,2020-04-05,Bremen,3,0
577,2020-04-06,Bremen,5,0
593,2020-04-07,Bremen,36,2
609,2020-04-08,Bremen,6,0
625,2020-04-09,Bremen,18,2
641,2020-04-10,Bremen,9,1
657,2020-04-11,Bremen,13,2
673,2020-04-12,Bremen,4,0
689,2020-04-13,Bremen,6,3
705,2020-04-14,Bremen,7,0
721,2020-04-15,Bremen,15,1
737,2020-04-16,Bremen,45,1
753,2020-04-17,Bremen,12,1
769,2020-04-18,Bremen,17,0
785,2020-04-19,Bremen,12,0
800,2020-04-20,Bremen,7,0
816,2020-04-21,Bremen,17,4
832,2020-04-22,Bremen,108,0
848,2020-04-23,Bremen,17,0
863,2020-04-24,Bremen,17,0
879,2020-04-25,Bremen,15,0
895,2020-04-26,Bremen,14,0
910,2020-04-27,Bremen,7,0
926,2020-04-28,Bremen,43,3
942,2020-04-29,Bremen,42,0
958,2020-04-30,Bremen,22,0
974,2020-05-01,Bremen,12,0
990,2020-05-02,Bremen,3,0
1006,2020-05-03,Bremen,17,0
1020,2020-05-04,Bremen,17,0
1036,2020-05-05,Bremen,10,1
1052,2020-05-06,Bremen,54,0
1068,2020-05-07,Bremen,29,2
1084,2020-05-08,Bremen,28,2
1099,2020-05-09,Bremen,15,1
1115,2020-05-10,Bremen,12,1
1130,2020-05-11,Bremen,3,0
1146,2020-05-12,Bremen,20,0
1162,2020-05-13,Bremen,29,1
1178,2020-05-14,Bremen,23,0
1194,2020-05-15,Bremen,21,0
1210,2020-05-16,Bremen,19,2
1226,2020-05-17,Bremen,10,0
1241,2020-05-18,Bremen,11,0
1254,2020-05-19,Bremen,19,1
1270,2020-05-20,Bremen,18,0
1286,2020-05-21,Bremen,16,0
1301,2020-05-22,Bremen,4,0
1316,2020-05-23,Bremen,3,0
1329,2020-05-24,Bremen,13,0
1341,2020-05-25,Bremen,2,1
1356,2020-05-26,Bremen,10,0
1371,2020-05-27,Bremen,26,0
1385,2020-05-28,Bremen,26,0
1400,2020-05-29,Bremen,29,0
1416,2020-05-30,Bremen,24,0
1431,2020-05-31,Bremen,8,0
1442,2020-06-01,Bremen,1,1
1456,2020-06-02,Bremen,11,1
1471,2020-06-03,Bremen,18,1
1485,2020-06-04,Bremen,34,0
1500,2020-06-05,Bremen,15,0
1516,2020-06-06,Bremen,5,0
1530,2020-06-07,Bremen,15,0
1544,2020-06-08,Bremen,1,0
1558,2020-06-09,Bremen,15,0
1574,2020-06-10,Bremen,17,0
1590,2020-06-11,Bremen,8,0
1605,2020-06-12,Bremen,8,1
1621,2020-06-13,Bremen,8,0
1634,2020-06-14,Bremen,3,1
1648,2020-06-15,Bremen,1,0
1663,2020-06-16,Bremen,14,1
1679,2020-06-17,Bremen,12,0
1694,2020-06-18,Bremen,7,0
1709,2020-06-19,Bremen,10,3
1725,2020-06-20,Bremen,8,0
1739,2020-06-21,Bremen,3,0
1752,2020-06-22,Bremen,6,0
1780,2020-06-24,Bremen,2,0
1796,2020-06-25,Bremen,3,0
1812,2020-06-26,Bremen,1,0
1827,2020-06-27,Bremen,2,0
1855,2020-06-29,Bremen,1,0
1869,2020-06-30,Bremen,5,0
1884,2020-07-01,Bremen,4,0
1899,2020-07-02,Bremen,4,0
1927,2020-07-04,Bremen,3,0
1940,2020-07-05,Bremen,1,0
1965,2020-07-07,Bremen,2,0
1979,2020-07-08,Bremen,3,0
1994,2020-07-09,Bremen,4,0
2009,2020-07-10,Bremen,1,0
2036,2020-07-12,Bremen,1,0
2049,2020-07-13,Bremen,1,0
2077,2020-07-15,Bremen,6,0
2093,2020-07-16,Bremen,4,0
2108,2020-07-17,Bremen,8,2
2124,2020-07-18,Bremen,9,0
2137,2020-07-19,Bremen,2,0
2152,2020-07-20,Bremen,1,0
2167,2020-07-21,Bremen,4,0
2183,2020-07-22,Bremen,2,0
2199,2020-07-23,Bremen,6,0
2215,2020-07-24,Bremen,9,0
2231,2020-07-25,Bremen,5,0
2259,2020-07-27,Bremen,5,0
2275,2020-07-28,Bremen,6,0
2291,2020-07-29,Bremen,5,0
2307,2020-07-30,Bremen,11,0
2323,2020-07-31,Bremen,7,0
2339,2020-08-01,Bremen,1,0
2369,2020-08-03,Bremen,4,0
2384,2020-08-04,Bremen,4,0
2400,2020-08-05,Bremen,2,0
2416,2020-08-06,Bremen,6,0
2432,2020-08-07,Bremen,2,0
2448,2020-08-08,Bremen,3,0
2464,2020-08-09,Bremen,1,0
2479,2020-08-10,Bremen,8,0
2495,2020-08-11,Bremen,7,0
2511,2020-08-12,Bremen,3,0
2527,2020-08-13,Bremen,6,0
2543,2020-08-14,Bremen,7,1
2559,2020-08-15,Bremen,6,0
2575,2020-08-16,Bremen,4,0
2591,2020-08-17,Bremen,6,0
2607,2020-08-18,Bremen,14,0
2623,2020-08-19,Bremen,12,0
2639,2020-08-20,Bremen,7,0
