index,date,region_code,confirmed_addition,deceased_addition
44,2020-02-29,Hamburg,1,0
52,2020-03-01,Hamburg,1,0
68,2020-03-03,Hamburg,3,0
79,2020-03-04,Hamburg,1,0
89,2020-03-05,Hamburg,5,0
99,2020-03-06,Hamburg,3,1
109,2020-03-07,Hamburg,4,0
120,2020-03-08,Hamburg,5,0
133,2020-03-09,Hamburg,21,0
147,2020-03-10,Hamburg,29,0
163,2020-03-11,Hamburg,30,0
179,2020-03-12,Hamburg,41,1
195,2020-03-13,Hamburg,38,1
211,2020-03-14,Hamburg,79,1
227,2020-03-15,Hamburg,78,0
242,2020-03-16,Hamburg,80,0
258,2020-03-17,Hamburg,133,1
274,2020-03-18,Hamburg,135,0
290,2020-03-19,Hamburg,186,2
306,2020-03-20,Hamburg,146,2
322,2020-03-21,Hamburg,106,1
338,2020-03-22,Hamburg,149,2
354,2020-03-23,Hamburg,132,1
370,2020-03-24,Hamburg,207,3
386,2020-03-25,Hamburg,162,13
402,2020-03-26,Hamburg,170,6
418,2020-03-27,Hamburg,142,9
434,2020-03-28,Hamburg,145,10
450,2020-03-29,Hamburg,115,1
466,2020-03-30,Hamburg,71,4
482,2020-03-31,Hamburg,159,8
498,2020-04-01,Hamburg,139,8
514,2020-04-02,Hamburg,166,14
530,2020-04-03,Hamburg,158,21
546,2020-04-04,Hamburg,108,6
562,2020-04-05,Hamburg,108,8
578,2020-04-06,Hamburg,93,11
594,2020-04-07,Hamburg,209,23
610,2020-04-08,Hamburg,118,9
626,2020-04-09,Hamburg,113,3
642,2020-04-10,Hamburg,97,1
658,2020-04-11,Hamburg,79,4
674,2020-04-12,Hamburg,46,8
690,2020-04-13,Hamburg,41,6
706,2020-04-14,Hamburg,77,8
722,2020-04-15,Hamburg,84,5
738,2020-04-16,Hamburg,73,9
754,2020-04-17,Hamburg,107,9
770,2020-04-18,Hamburg,39,1
786,2020-04-19,Hamburg,22,2
801,2020-04-20,Hamburg,33,3
817,2020-04-21,Hamburg,57,3
833,2020-04-22,Hamburg,49,2
849,2020-04-23,Hamburg,49,8
864,2020-04-24,Hamburg,41,1
880,2020-04-25,Hamburg,44,4
896,2020-04-26,Hamburg,17,2
911,2020-04-27,Hamburg,21,3
927,2020-04-28,Hamburg,25,1
943,2020-04-29,Hamburg,42,2
959,2020-04-30,Hamburg,25,1
975,2020-05-01,Hamburg,8,0
991,2020-05-02,Hamburg,13,0
1007,2020-05-03,Hamburg,3,0
1021,2020-05-04,Hamburg,9,4
1037,2020-05-05,Hamburg,21,2
1053,2020-05-06,Hamburg,22,1
1069,2020-05-07,Hamburg,17,1
1085,2020-05-08,Hamburg,12,1
1100,2020-05-09,Hamburg,10,0
1116,2020-05-10,Hamburg,3,0
1131,2020-05-11,Hamburg,4,1
1147,2020-05-12,Hamburg,2,0
1163,2020-05-13,Hamburg,14,0
1179,2020-05-14,Hamburg,10,1
1195,2020-05-15,Hamburg,12,0
1211,2020-05-16,Hamburg,6,0
1227,2020-05-17,Hamburg,1,1
1242,2020-05-18,Hamburg,1,0
1255,2020-05-19,Hamburg,3,0
1271,2020-05-20,Hamburg,13,1
1287,2020-05-21,Hamburg,2,0
1302,2020-05-22,Hamburg,3,0
1317,2020-05-23,Hamburg,3,0
1342,2020-05-25,Hamburg,1,0
1357,2020-05-26,Hamburg,3,0
1372,2020-05-27,Hamburg,1,0
1401,2020-05-29,Hamburg,5,0
1417,2020-05-30,Hamburg,1,0
1432,2020-05-31,Hamburg,6,0
1443,2020-06-01,Hamburg,2,0
1457,2020-06-02,Hamburg,2,0
1472,2020-06-03,Hamburg,10,0
1486,2020-06-04,Hamburg,6,0
1501,2020-06-05,Hamburg,5,0
1517,2020-06-06,Hamburg,1,0
1531,2020-06-07,Hamburg,1,0
1545,2020-06-08,Hamburg,3,0
1559,2020-06-09,Hamburg,2,0
1575,2020-06-10,Hamburg,4,0
1591,2020-06-11,Hamburg,7,0
1606,2020-06-12,Hamburg,4,0
1622,2020-06-13,Hamburg,3,0
1635,2020-06-14,Hamburg,1,0
1649,2020-06-15,Hamburg,1,0
1664,2020-06-16,Hamburg,3,0
1680,2020-06-17,Hamburg,7,0
1695,2020-06-18,Hamburg,8,0
1710,2020-06-19,Hamburg,4,0
1726,2020-06-20,Hamburg,4,0
1740,2020-06-21,Hamburg,4,0
1753,2020-06-22,Hamburg,3,0
1766,2020-06-23,Hamburg,9,0
1781,2020-06-24,Hamburg,11,0
1797,2020-06-25,Hamburg,4,0
1813,2020-06-26,Hamburg,8,0
1828,2020-06-27,Hamburg,2,0
1842,2020-06-28,Hamburg,7,0
1856,2020-06-29,Hamburg,1,0
1870,2020-06-30,Hamburg,3,0
1885,2020-07-01,Hamburg,9,0
1900,2020-07-02,Hamburg,2,0
1915,2020-07-03,Hamburg,2,0
1928,2020-07-04,Hamburg,1,0
1941,2020-07-05,Hamburg,3,1
1953,2020-07-06,Hamburg,3,0
1966,2020-07-07,Hamburg,4,0
1980,2020-07-08,Hamburg,3,0
1995,2020-07-09,Hamburg,2,0
2010,2020-07-10,Hamburg,2,0
2050,2020-07-13,Hamburg,1,0
2063,2020-07-14,Hamburg,2,0
2078,2020-07-15,Hamburg,1,0
2094,2020-07-16,Hamburg,6,0
2109,2020-07-17,Hamburg,4,0
2125,2020-07-18,Hamburg,1,0
2138,2020-07-19,Hamburg,2,0
2153,2020-07-20,Hamburg,5,0
2168,2020-07-21,Hamburg,9,1
2184,2020-07-22,Hamburg,24,0
2200,2020-07-23,Hamburg,12,0
2216,2020-07-24,Hamburg,22,0
2232,2020-07-25,Hamburg,15,0
2246,2020-07-26,Hamburg,4,0
2260,2020-07-27,Hamburg,7,0
2276,2020-07-28,Hamburg,15,0
2292,2020-07-29,Hamburg,30,0
2308,2020-07-30,Hamburg,21,0
2324,2020-07-31,Hamburg,19,0
2340,2020-08-01,Hamburg,17,0
2354,2020-08-02,Hamburg,6,0
2370,2020-08-03,Hamburg,43,1
2385,2020-08-04,Hamburg,36,0
2401,2020-08-05,Hamburg,58,0
2417,2020-08-06,Hamburg,60,0
2433,2020-08-07,Hamburg,34,0
2449,2020-08-08,Hamburg,34,0
2465,2020-08-09,Hamburg,14,0
2480,2020-08-10,Hamburg,34,1
2496,2020-08-11,Hamburg,29,0
2512,2020-08-12,Hamburg,48,0
2528,2020-08-13,Hamburg,26,0
2544,2020-08-14,Hamburg,34,0
2560,2020-08-15,Hamburg,10,0
2576,2020-08-16,Hamburg,8,0
2592,2020-08-17,Hamburg,17,0
2608,2020-08-18,Hamburg,32,1
2624,2020-08-19,Hamburg,35,0
2640,2020-08-20,Hamburg,29,0
2656,2020-08-21,Hamburg,34,0
2672,2020-08-22,Hamburg,16,0
2688,2020-08-23,Hamburg,22,0
2704,2020-08-24,Hamburg,26,0
2720,2020-08-25,Hamburg,32,0
2736,2020-08-26,Hamburg,30,0
2752,2020-08-27,Hamburg,19,0
2768,2020-08-28,Hamburg,38,0
2784,2020-08-29,Hamburg,40,0
2800,2020-08-30,Hamburg,19,0
2814,2020-08-31,Hamburg,27,0
2829,2020-09-01,Hamburg,30,0
2845,2020-09-02,Hamburg,55,0
2861,2020-09-03,Hamburg,50,0
2877,2020-09-04,Hamburg,40,2
2893,2020-09-05,Hamburg,35,0
2908,2020-09-06,Hamburg,32,0
2924,2020-09-07,Hamburg,23,0
2940,2020-09-08,Hamburg,57,0
2956,2020-09-09,Hamburg,69,0
2972,2020-09-10,Hamburg,51,1
2988,2020-09-11,Hamburg,54,0
3004,2020-09-12,Hamburg,30,1
3020,2020-09-13,Hamburg,35,0
3036,2020-09-14,Hamburg,46,1
3052,2020-09-15,Hamburg,45,0
3068,2020-09-16,Hamburg,56,0
3083,2020-09-17,Hamburg,81,0
3099,2020-09-18,Hamburg,75,0
3115,2020-09-19,Hamburg,65,0
3131,2020-09-20,Hamburg,31,0
3146,2020-09-21,Hamburg,45,0
3162,2020-09-22,Hamburg,78,0
3178,2020-09-23,Hamburg,75,0
3194,2020-09-24,Hamburg,90,0
3210,2020-09-25,Hamburg,96,0
3226,2020-09-26,Hamburg,75,2
3242,2020-09-27,Hamburg,50,0
3258,2020-09-28,Hamburg,58,1
3274,2020-09-29,Hamburg,91,0
3290,2020-09-30,Hamburg,101,0
3306,2020-10-01,Hamburg,77,1
3322,2020-10-02,Hamburg,153,5
3338,2020-10-03,Hamburg,82,2
3354,2020-10-04,Hamburg,76,0
3370,2020-10-05,Hamburg,98,0
3386,2020-10-06,Hamburg,95,2
3402,2020-10-07,Hamburg,106,0
3418,2020-10-08,Hamburg,128,1
3434,2020-10-09,Hamburg,119,0
3450,2020-10-10,Hamburg,59,0
3466,2020-10-11,Hamburg,82,0
3482,2020-10-12,Hamburg,143,1
3498,2020-10-13,Hamburg,95,0
3514,2020-10-14,Hamburg,194,1
3530,2020-10-15,Hamburg,159,1
3546,2020-10-16,Hamburg,169,2
3562,2020-10-17,Hamburg,155,4
3578,2020-10-18,Hamburg,96,1
