index,date,region_code,confirmed_addition,deceased_addition
37,2020-02-28,Hessen,1,0
53,2020-03-01,Hessen,4,0
59,2020-03-02,Hessen,4,0
69,2020-03-03,Hessen,4,0
80,2020-03-04,Hessen,2,0
90,2020-03-05,Hessen,6,0
100,2020-03-06,Hessen,1,0
110,2020-03-07,Hessen,4,0
134,2020-03-09,Hessen,20,0
148,2020-03-10,Hessen,16,0
164,2020-03-11,Hessen,37,0
180,2020-03-12,Hessen,38,0
196,2020-03-13,Hessen,79,0
212,2020-03-14,Hessen,83,1
228,2020-03-15,Hessen,24,0
243,2020-03-16,Hessen,127,1
259,2020-03-17,Hessen,168,1
275,2020-03-18,Hessen,224,1
291,2020-03-19,Hessen,203,1
307,2020-03-20,Hessen,211,4
323,2020-03-21,Hessen,135,3
339,2020-03-22,Hessen,58,1
355,2020-03-23,Hessen,276,5
371,2020-03-24,Hessen,235,9
387,2020-03-25,Hessen,247,5
403,2020-03-26,Hessen,302,13
419,2020-03-27,Hessen,308,16
435,2020-03-28,Hessen,185,8
451,2020-03-29,Hessen,140,11
467,2020-03-30,Hessen,183,11
483,2020-03-31,Hessen,254,13
499,2020-04-01,Hessen,329,24
515,2020-04-02,Hessen,267,23
531,2020-04-03,Hessen,250,12
547,2020-04-04,Hessen,224,18
563,2020-04-05,Hessen,91,6
579,2020-04-06,Hessen,139,21
595,2020-04-07,Hessen,255,18
611,2020-04-08,Hessen,303,19
627,2020-04-09,Hessen,292,32
643,2020-04-10,Hessen,156,15
659,2020-04-11,Hessen,150,15
675,2020-04-12,Hessen,99,12
691,2020-04-13,Hessen,77,11
707,2020-04-14,Hessen,160,15
723,2020-04-15,Hessen,227,14
739,2020-04-16,Hessen,207,15
755,2020-04-17,Hessen,190,10
771,2020-04-18,Hessen,129,12
787,2020-04-19,Hessen,73,10
802,2020-04-20,Hessen,79,8
818,2020-04-21,Hessen,169,9
834,2020-04-22,Hessen,176,12
850,2020-04-23,Hessen,125,8
865,2020-04-24,Hessen,102,6
881,2020-04-25,Hessen,89,4
897,2020-04-26,Hessen,24,3
912,2020-04-27,Hessen,68,2
928,2020-04-28,Hessen,139,4
944,2020-04-29,Hessen,121,1
960,2020-04-30,Hessen,104,7
976,2020-05-01,Hessen,79,2
992,2020-05-02,Hessen,40,1
1008,2020-05-03,Hessen,26,1
1022,2020-05-04,Hessen,28,3
1038,2020-05-05,Hessen,90,2
1054,2020-05-06,Hessen,104,3
1070,2020-05-07,Hessen,83,4
1086,2020-05-08,Hessen,86,6
1101,2020-05-09,Hessen,47,1
1117,2020-05-10,Hessen,15,0
1132,2020-05-11,Hessen,32,3
1148,2020-05-12,Hessen,82,4
1164,2020-05-13,Hessen,70,1
1180,2020-05-14,Hessen,46,0
1196,2020-05-15,Hessen,69,4
1212,2020-05-16,Hessen,34,1
1228,2020-05-17,Hessen,74,2
1243,2020-05-18,Hessen,61,1
1256,2020-05-19,Hessen,74,0
1272,2020-05-20,Hessen,102,2
1288,2020-05-21,Hessen,28,1
1303,2020-05-22,Hessen,51,0
1318,2020-05-23,Hessen,51,3
1330,2020-05-24,Hessen,14,1
1343,2020-05-25,Hessen,30,0
1358,2020-05-26,Hessen,76,0
1373,2020-05-27,Hessen,46,0
1386,2020-05-28,Hessen,58,0
1402,2020-05-29,Hessen,38,0
1418,2020-05-30,Hessen,34,0
1433,2020-05-31,Hessen,11,0
1444,2020-06-01,Hessen,2,1
1458,2020-06-02,Hessen,26,0
1473,2020-06-03,Hessen,35,0
1487,2020-06-04,Hessen,29,1
1502,2020-06-05,Hessen,24,0
1518,2020-06-06,Hessen,19,0
1532,2020-06-07,Hessen,8,0
1546,2020-06-08,Hessen,36,0
1560,2020-06-09,Hessen,17,0
1576,2020-06-10,Hessen,37,2
1592,2020-06-11,Hessen,9,0
1607,2020-06-12,Hessen,25,0
1623,2020-06-13,Hessen,19,0
1636,2020-06-14,Hessen,6,0
1650,2020-06-15,Hessen,8,0
1665,2020-06-16,Hessen,40,1
1681,2020-06-17,Hessen,57,0
1696,2020-06-18,Hessen,48,0
1711,2020-06-19,Hessen,58,2
1727,2020-06-20,Hessen,20,0
1741,2020-06-21,Hessen,7,0
1754,2020-06-22,Hessen,20,0
1767,2020-06-23,Hessen,38,0
1782,2020-06-24,Hessen,27,0
1798,2020-06-25,Hessen,39,0
1814,2020-06-26,Hessen,29,0
1829,2020-06-27,Hessen,19,0
1843,2020-06-28,Hessen,2,0
1857,2020-06-29,Hessen,20,0
1871,2020-06-30,Hessen,30,0
1886,2020-07-01,Hessen,50,0
1901,2020-07-02,Hessen,29,0
1916,2020-07-03,Hessen,31,1
1929,2020-07-04,Hessen,17,0
