index,date,region_code,confirmed_addition,deceased_addition
15,2020-02-04,Niedersachsen,1,0
54,2020-03-01,Niedersachsen,1,0
60,2020-03-02,Niedersachsen,2,0
71,2020-03-03,Niedersachsen,6,0
82,2020-03-04,Niedersachsen,4,0
92,2020-03-05,Niedersachsen,6,0
101,2020-03-06,Niedersachsen,7,0
111,2020-03-07,Niedersachsen,8,0
122,2020-03-08,Niedersachsen,4,0
136,2020-03-09,Niedersachsen,14,0
150,2020-03-10,Niedersachsen,34,1
166,2020-03-11,Niedersachsen,62,0
182,2020-03-12,Niedersachsen,68,1
198,2020-03-13,Niedersachsen,91,0
214,2020-03-14,Niedersachsen,77,0
230,2020-03-15,Niedersachsen,68,1
245,2020-03-16,Niedersachsen,157,0
261,2020-03-17,Niedersachsen,176,1
277,2020-03-18,Niedersachsen,271,5
293,2020-03-19,Niedersachsen,249,2
309,2020-03-20,Niedersachsen,266,7
325,2020-03-21,Niedersachsen,179,4
341,2020-03-22,Niedersachsen,108,0
357,2020-03-23,Niedersachsen,243,5
373,2020-03-24,Niedersachsen,294,6
389,2020-03-25,Niedersachsen,377,17
405,2020-03-26,Niedersachsen,373,11
421,2020-03-27,Niedersachsen,411,36
437,2020-03-28,Niedersachsen,347,25
453,2020-03-29,Niedersachsen,178,16
469,2020-03-30,Niedersachsen,311,21
485,2020-03-31,Niedersachsen,358,15
501,2020-04-01,Niedersachsen,368,20
517,2020-04-02,Niedersachsen,333,22
533,2020-04-03,Niedersachsen,388,32
549,2020-04-04,Niedersachsen,223,20
565,2020-04-05,Niedersachsen,142,9
581,2020-04-06,Niedersachsen,232,26
597,2020-04-07,Niedersachsen,372,19
613,2020-04-08,Niedersachsen,335,26
629,2020-04-09,Niedersachsen,315,18
645,2020-04-10,Niedersachsen,260,16
661,2020-04-11,Niedersachsen,128,9
677,2020-04-12,Niedersachsen,150,12
693,2020-04-13,Niedersachsen,80,11
709,2020-04-14,Niedersachsen,166,19
725,2020-04-15,Niedersachsen,226,21
741,2020-04-16,Niedersachsen,242,11
757,2020-04-17,Niedersachsen,197,11
773,2020-04-18,Niedersachsen,142,7
788,2020-04-19,Niedersachsen,96,9
804,2020-04-20,Niedersachsen,131,11
820,2020-04-21,Niedersachsen,163,10
836,2020-04-22,Niedersachsen,160,7
851,2020-04-23,Niedersachsen,140,12
867,2020-04-24,Niedersachsen,119,7
883,2020-04-25,Niedersachsen,67,3
898,2020-04-26,Niedersachsen,50,2
914,2020-04-27,Niedersachsen,75,10
930,2020-04-28,Niedersachsen,101,7
946,2020-04-29,Niedersachsen,85,8
962,2020-04-30,Niedersachsen,85,7
978,2020-05-01,Niedersachsen,39,0
994,2020-05-02,Niedersachsen,36,0
1009,2020-05-03,Niedersachsen,14,0
1024,2020-05-04,Niedersachsen,93,8
1040,2020-05-05,Niedersachsen,80,6
1056,2020-05-06,Niedersachsen,94,2
1072,2020-05-07,Niedersachsen,87,1
1087,2020-05-08,Niedersachsen,74,3
1103,2020-05-09,Niedersachsen,29,2
1119,2020-05-10,Niedersachsen,10,1
1134,2020-05-11,Niedersachsen,48,1
1150,2020-05-12,Niedersachsen,50,4
1166,2020-05-13,Niedersachsen,79,4
1182,2020-05-14,Niedersachsen,40,1
1198,2020-05-15,Niedersachsen,41,2
1214,2020-05-16,Niedersachsen,22,1
1230,2020-05-17,Niedersachsen,9,1
1244,2020-05-18,Niedersachsen,69,3
1258,2020-05-19,Niedersachsen,63,5
1274,2020-05-20,Niedersachsen,94,1
1289,2020-05-21,Niedersachsen,50,0
1304,2020-05-22,Niedersachsen,95,3
1319,2020-05-23,Niedersachsen,37,1
1331,2020-05-24,Niedersachsen,9,0
1345,2020-05-25,Niedersachsen,46,1
1359,2020-05-26,Niedersachsen,60,2
1374,2020-05-27,Niedersachsen,123,0
1388,2020-05-28,Niedersachsen,76,1
1404,2020-05-29,Niedersachsen,64,1
1419,2020-05-30,Niedersachsen,59,1
1434,2020-05-31,Niedersachsen,23,1
1445,2020-06-01,Niedersachsen,42,0
1459,2020-06-02,Niedersachsen,56,1
1475,2020-06-03,Niedersachsen,121,1
1489,2020-06-04,Niedersachsen,100,1
1504,2020-06-05,Niedersachsen,93,0
1520,2020-06-06,Niedersachsen,60,0
1533,2020-06-07,Niedersachsen,32,0
1547,2020-06-08,Niedersachsen,55,1
1562,2020-06-09,Niedersachsen,76,0
1578,2020-06-10,Niedersachsen,64,1
1594,2020-06-11,Niedersachsen,50,0
1609,2020-06-12,Niedersachsen,75,4
1624,2020-06-13,Niedersachsen,30,0
