index,date,region_code,confirmed_addition,deceased_addition
0,2020-01-02,Nordrhein-Westfalen,1,0
1,2020-01-07,Nordrhein-Westfalen,1,0
2,2020-01-09,Nordrhein-Westfalen,1,1
3,2020-01-12,Nordrhein-Westfalen,1,0
4,2020-01-14,Nordrhein-Westfalen,1,0
7,2020-01-25,Nordrhein-Westfalen,1,0
10,2020-01-30,Nordrhein-Westfalen,1,0
18,2020-02-10,Nordrhein-Westfalen,1,0
21,2020-02-12,Nordrhein-Westfalen,1,0
25,2020-02-20,Nordrhein-Westfalen,1,0
30,2020-02-26,Nordrhein-Westfalen,3,0
33,2020-02-27,Nordrhein-Westfalen,19,0
38,2020-02-28,Nordrhein-Westfalen,35,0
45,2020-02-29,Nordrhein-Westfalen,15,0
55,2020-03-01,Nordrhein-Westfalen,23,0
61,2020-03-02,Nordrhein-Westfalen,15,0
72,2020-03-03,Nordrhein-Westfalen,29,0
83,2020-03-04,Nordrhein-Westfalen,91,1
93,2020-03-05,Nordrhein-Westfalen,97,0
102,2020-03-06,Nordrhein-Westfalen,62,1
112,2020-03-07,Nordrhein-Westfalen,68,3
123,2020-03-08,Nordrhein-Westfalen,26,0
137,2020-03-09,Nordrhein-Westfalen,97,5
151,2020-03-10,Nordrhein-Westfalen,175,0
167,2020-03-11,Nordrhein-Westfalen,202,3
183,2020-03-12,Nordrhein-Westfalen,285,3
199,2020-03-13,Nordrhein-Westfalen,419,7
215,2020-03-14,Nordrhein-Westfalen,322,3
231,2020-03-15,Nordrhein-Westfalen,241,6
246,2020-03-16,Nordrhein-Westfalen,610,11
262,2020-03-17,Nordrhein-Westfalen,907,15
278,2020-03-18,Nordrhein-Westfalen,717,19
294,2020-03-19,Nordrhein-Westfalen,1142,23
310,2020-03-20,Nordrhein-Westfalen,876,20
326,2020-03-21,Nordrhein-Westfalen,691,16
342,2020-03-22,Nordrhein-Westfalen,435,22
358,2020-03-23,Nordrhein-Westfalen,883,26
374,2020-03-24,Nordrhein-Westfalen,798,24
390,2020-03-25,Nordrhein-Westfalen,1036,37
406,2020-03-26,Nordrhein-Westfalen,1044,39
422,2020-03-27,Nordrhein-Westfalen,1100,47
438,2020-03-28,Nordrhein-Westfalen,749,39
454,2020-03-29,Nordrhein-Westfalen,631,41
470,2020-03-30,Nordrhein-Westfalen,766,43
486,2020-03-31,Nordrhein-Westfalen,1057,60
502,2020-04-01,Nordrhein-Westfalen,1155,88
518,2020-04-02,Nordrhein-Westfalen,1205,66
534,2020-04-03,Nordrhein-Westfalen,1057,73
550,2020-04-04,Nordrhein-Westfalen,685,40
566,2020-04-05,Nordrhein-Westfalen,508,48
582,2020-04-06,Nordrhein-Westfalen,877,73
598,2020-04-07,Nordrhein-Westfalen,914,56
614,2020-04-08,Nordrhein-Westfalen,1046,76
630,2020-04-09,Nordrhein-Westfalen,1013,58
646,2020-04-10,Nordrhein-Westfalen,616,39
662,2020-04-11,Nordrhein-Westfalen,584,36
678,2020-04-12,Nordrhein-Westfalen,383,31
694,2020-04-13,Nordrhein-Westfalen,294,23
710,2020-04-14,Nordrhein-Westfalen,519,51
726,2020-04-15,Nordrhein-Westfalen,668,39
742,2020-04-16,Nordrhein-Westfalen,738,36
758,2020-04-17,Nordrhein-Westfalen,635,35
774,2020-04-18,Nordrhein-Westfalen,467,24
789,2020-04-19,Nordrhein-Westfalen,339,26
805,2020-04-20,Nordrhein-Westfalen,554,37
821,2020-04-21,Nordrhein-Westfalen,456,25
837,2020-04-22,Nordrhein-Westfalen,475,18
852,2020-04-23,Nordrhein-Westfalen,387,14
868,2020-04-24,Nordrhein-Westfalen,332,7
884,2020-04-25,Nordrhein-Westfalen,222,11
899,2020-04-26,Nordrhein-Westfalen,152,4
915,2020-04-27,Nordrhein-Westfalen,225,12
931,2020-04-28,Nordrhein-Westfalen,268,14
947,2020-04-29,Nordrhein-Westfalen,249,6
963,2020-04-30,Nordrhein-Westfalen,383,12
979,2020-05-01,Nordrhein-Westfalen,232,12
995,2020-05-02,Nordrhein-Westfalen,148,5
1010,2020-05-03,Nordrhein-Westfalen,120,6
1025,2020-05-04,Nordrhein-Westfalen,172,6
1041,2020-05-05,Nordrhein-Westfalen,240,9
1057,2020-05-06,Nordrhein-Westfalen,319,8
1073,2020-05-07,Nordrhein-Westfalen,320,9
1088,2020-05-08,Nordrhein-Westfalen,215,4
1104,2020-05-09,Nordrhein-Westfalen,191,7
1120,2020-05-10,Nordrhein-Westfalen,104,2
1135,2020-05-11,Nordrhein-Westfalen,206,3
1151,2020-05-12,Nordrhein-Westfalen,236,5
1167,2020-05-13,Nordrhein-Westfalen,211,6
1183,2020-05-14,Nordrhein-Westfalen,192,4
1199,2020-05-15,Nordrhein-Westfalen,220,6
1215,2020-05-16,Nordrhein-Westfalen,140,3
1231,2020-05-17,Nordrhein-Westfalen,90,1
1245,2020-05-18,Nordrhein-Westfalen,187,3
1259,2020-05-19,Nordrhein-Westfalen,194,1
1275,2020-05-20,Nordrhein-Westfalen,159,5
1290,2020-05-21,Nordrhein-Westfalen,108,0
1305,2020-05-22,Nordrhein-Westfalen,96,4
1320,2020-05-23,Nordrhein-Westfalen,74,0
1332,2020-05-24,Nordrhein-Westfalen,56,3
1346,2020-05-25,Nordrhein-Westfalen,135,4
1360,2020-05-26,Nordrhein-Westfalen,147,3
1375,2020-05-27,Nordrhein-Westfalen,139,3
1389,2020-05-28,Nordrhein-Westfalen,116,4
1405,2020-05-29,Nordrhein-Westfalen,97,2
1420,2020-05-30,Nordrhein-Westfalen,84,0
1435,2020-05-31,Nordrhein-Westfalen,44,0
1446,2020-06-01,Nordrhein-Westfalen,43,1
1460,2020-06-02,Nordrhein-Westfalen,91,2
1476,2020-06-03,Nordrhein-Westfalen,120,1
1490,2020-06-04,Nordrhein-Westfalen,135,1
1505,2020-06-05,Nordrhein-Westfalen,114,2
1521,2020-06-06,Nordrhein-Westfalen,95,2
1534,2020-06-07,Nordrhein-Westfalen,41,0
1548,2020-06-08,Nordrhein-Westfalen,85,2
1563,2020-06-09,Nordrhein-Westfalen,123,1
1579,2020-06-10,Nordrhein-Westfalen,143,1
1595,2020-06-11,Nordrhein-Westfalen,71,0
1610,2020-06-12,Nordrhein-Westfalen,84,0
1625,2020-06-13,Nordrhein-Westfalen,110,1
1639,2020-06-14,Nordrhein-Westfalen,76,5
1653,2020-06-15,Nordrhein-Westfalen,98,2
1668,2020-06-16,Nordrhein-Westfalen,204,5
1684,2020-06-17,Nordrhein-Westfalen,605,2
1698,2020-06-18,Nordrhein-Westfalen,221,0
1714,2020-06-19,Nordrhein-Westfalen,501,1
1729,2020-06-20,Nordrhein-Westfalen,304,3
1743,2020-06-21,Nordrhein-Westfalen,156,0
1756,2020-06-22,Nordrhein-Westfalen,287,0
1770,2020-06-23,Nordrhein-Westfalen,230,3
1785,2020-06-24,Nordrhein-Westfalen,239,1
1801,2020-06-25,Nordrhein-Westfalen,284,0
1817,2020-06-26,Nordrhein-Westfalen,258,2
1832,2020-06-27,Nordrhein-Westfalen,164,1
1845,2020-06-28,Nordrhein-Westfalen,117,0
1860,2020-06-29,Nordrhein-Westfalen,207,0
1874,2020-06-30,Nordrhein-Westfalen,179,0
1888,2020-07-01,Nordrhein-Westfalen,176,1
