index,date,region_code,confirmed_addition,deceased_addition
39,2020-02-28,Rheinland-Pfalz,1,0
46,2020-02-29,Rheinland-Pfalz,1,0
73,2020-03-03,Rheinland-Pfalz,1,0
84,2020-03-04,Rheinland-Pfalz,4,0
94,2020-03-05,Rheinland-Pfalz,1,0
103,2020-03-06,Rheinland-Pfalz,2,0
113,2020-03-07,Rheinland-Pfalz,2,0
124,2020-03-08,Rheinland-Pfalz,3,0
138,2020-03-09,Rheinland-Pfalz,6,0
152,2020-03-10,Rheinland-Pfalz,17,0
168,2020-03-11,Rheinland-Pfalz,29,0
184,2020-03-12,Rheinland-Pfalz,64,0
200,2020-03-13,Rheinland-Pfalz,58,0
216,2020-03-14,Rheinland-Pfalz,51,0
232,2020-03-15,Rheinland-Pfalz,95,1
247,2020-03-16,Rheinland-Pfalz,125,1
263,2020-03-17,Rheinland-Pfalz,168,1
279,2020-03-18,Rheinland-Pfalz,158,1
295,2020-03-19,Rheinland-Pfalz,135,4
311,2020-03-20,Rheinland-Pfalz,180,1
327,2020-03-21,Rheinland-Pfalz,115,2
343,2020-03-22,Rheinland-Pfalz,142,4
359,2020-03-23,Rheinland-Pfalz,196,0
375,2020-03-24,Rheinland-Pfalz,205,4
391,2020-03-25,Rheinland-Pfalz,170,5
407,2020-03-26,Rheinland-Pfalz,215,6
423,2020-03-27,Rheinland-Pfalz,270,6
439,2020-03-28,Rheinland-Pfalz,165,7
455,2020-03-29,Rheinland-Pfalz,142,4
471,2020-03-30,Rheinland-Pfalz,143,7
487,2020-03-31,Rheinland-Pfalz,201,11
503,2020-04-01,Rheinland-Pfalz,252,9
519,2020-04-02,Rheinland-Pfalz,189,2
535,2020-04-03,Rheinland-Pfalz,214,15
551,2020-04-04,Rheinland-Pfalz,140,4
567,2020-04-05,Rheinland-Pfalz,105,3
583,2020-04-06,Rheinland-Pfalz,140,9
599,2020-04-07,Rheinland-Pfalz,180,13
615,2020-04-08,Rheinland-Pfalz,172,11
631,2020-04-09,Rheinland-Pfalz,156,11
647,2020-04-10,Rheinland-Pfalz,131,7
663,2020-04-11,Rheinland-Pfalz,77,6
