index,date,region_code,confirmed_addition,deceased_addition
6,2020-01-23,Saarland,1,0
12,2020-01-31,Saarland,1,0
34,2020-02-27,Saarland,1,0
40,2020-02-28,Saarland,1,0
125,2020-03-08,Saarland,1,0
139,2020-03-09,Saarland,5,0
153,2020-03-10,Saarland,2,0
169,2020-03-11,Saarland,10,0
185,2020-03-12,Saarland,13,0
201,2020-03-13,Saarland,17,0
217,2020-03-14,Saarland,12,0
233,2020-03-15,Saarland,17,0
248,2020-03-16,Saarland,24,2
264,2020-03-17,Saarland,23,0
280,2020-03-18,Saarland,44,1
296,2020-03-19,Saarland,44,0
312,2020-03-20,Saarland,37,0
328,2020-03-21,Saarland,38,1
344,2020-03-22,Saarland,46,1
360,2020-03-23,Saarland,59,4
376,2020-03-24,Saarland,33,4
392,2020-03-25,Saarland,49,3
408,2020-03-26,Saarland,70,2
424,2020-03-27,Saarland,63,3
440,2020-03-28,Saarland,66,2
456,2020-03-29,Saarland,77,5
472,2020-03-30,Saarland,66,4
488,2020-03-31,Saarland,130,13
504,2020-04-01,Saarland,109,5
520,2020-04-02,Saarland,171,16
536,2020-04-03,Saarland,70,2
552,2020-04-04,Saarland,138,11
568,2020-04-05,Saarland,87,8
584,2020-04-06,Saarland,76,7
600,2020-04-07,Saarland,75,4
616,2020-04-08,Saarland,153,12
632,2020-04-09,Saarland,133,6
648,2020-04-10,Saarland,91,7
664,2020-04-11,Saarland,20,1
680,2020-04-12,Saarland,22,0
696,2020-04-13,Saarland,27,3
712,2020-04-14,Saarland,27,2
728,2020-04-15,Saarland,50,5
744,2020-04-16,Saarland,49,4
760,2020-04-17,Saarland,31,2
776,2020-04-18,Saarland,27,2
791,2020-04-19,Saarland,2,0
807,2020-04-20,Saarland,16,2
823,2020-04-21,Saarland,36,5
839,2020-04-22,Saarland,45,6
854,2020-04-23,Saarland,20,2
870,2020-04-24,Saarland,22,3
886,2020-04-25,Saarland,14,0
901,2020-04-26,Saarland,17,0
917,2020-04-27,Saarland,5,0
933,2020-04-28,Saarland,7,0
949,2020-04-29,Saarland,27,1
965,2020-04-30,Saarland,23,1
981,2020-05-01,Saarland,13,0
997,2020-05-02,Saarland,6,2
1011,2020-05-03,Saarland,4,0
1027,2020-05-04,Saarland,5,1
1043,2020-05-05,Saarland,6,1
1059,2020-05-06,Saarland,9,1
1075,2020-05-07,Saarland,11,0
1090,2020-05-08,Saarland,5,1
1106,2020-05-09,Saarland,4,0
1137,2020-05-11,Saarland,2,0
1153,2020-05-12,Saarland,7,1
1169,2020-05-13,Saarland,8,0
1185,2020-05-14,Saarland,9,0
1201,2020-05-15,Saarland,4,1
1217,2020-05-16,Saarland,2,0
1247,2020-05-18,Saarland,3,0
1261,2020-05-19,Saarland,4,1
1277,2020-05-20,Saarland,3,0
1292,2020-05-21,Saarland,3,0
1307,2020-05-22,Saarland,3,0
1322,2020-05-23,Saarland,4,0
1334,2020-05-24,Saarland,1,0
1348,2020-05-25,Saarland,4,0
1362,2020-05-26,Saarland,4,0
1377,2020-05-27,Saarland,4,2
1391,2020-05-28,Saarland,4,0
1407,2020-05-29,Saarland,6,1
1422,2020-05-30,Saarland,1,0
1436,2020-05-31,Saarland,1,0
1448,2020-06-01,Saarland,7,1
1462,2020-06-02,Saarland,2,0
1478,2020-06-03,Saarland,3,0
1492,2020-06-04,Saarland,1,0
1507,2020-06-05,Saarland,4,0
1523,2020-06-06,Saarland,5,0
1536,2020-06-07,Saarland,1,0
1550,2020-06-08,Saarland,9,0
1565,2020-06-09,Saarland,7,0
1581,2020-06-10,Saarland,5,0
1612,2020-06-12,Saarland,1,0
1627,2020-06-13,Saarland,1,0
1670,2020-06-16,Saarland,1,0
1686,2020-06-17,Saarland,2,0
1700,2020-06-18,Saarland,2,0
1716,2020-06-19,Saarland,1,0
1731,2020-06-20,Saarland,1,0
1758,2020-06-22,Saarland,1,1
1787,2020-06-24,Saarland,1,0
1803,2020-06-25,Saarland,1,0
1819,2020-06-26,Saarland,2,0
1834,2020-06-27,Saarland,1,0
1847,2020-06-28,Saarland,1,0
1890,2020-07-01,Saarland,1,0
1906,2020-07-02,Saarland,1,0
1933,2020-07-04,Saarland,1,0
1971,2020-07-07,Saarland,2,0
1985,2020-07-08,Saarland,1,0
2000,2020-07-09,Saarland,3,0
2015,2020-07-10,Saarland,4,0
2028,2020-07-11,Saarland,2,0
2041,2020-07-12,Saarland,1,0
2055,2020-07-13,Saarland,2,0
2068,2020-07-14,Saarland,2,0
2084,2020-07-15,Saarland,2,0
2099,2020-07-16,Saarland,4,0
2115,2020-07-17,Saarland,4,0
2131,2020-07-18,Saarland,2,0
2158,2020-07-20,Saarland,1,0
2174,2020-07-21,Saarland,5,0
2190,2020-07-22,Saarland,5,0
2206,2020-07-23,Saarland,2,0
2222,2020-07-24,Saarland,9,0
2237,2020-07-25,Saarland,2,0
2266,2020-07-27,Saarland,2,0
2282,2020-07-28,Saarland,7,0
2298,2020-07-29,Saarland,6,0
2314,2020-07-30,Saarland,8,0
2330,2020-07-31,Saarland,3,0
2346,2020-08-01,Saarland,5,0
2360,2020-08-02,Saarland,2,0
2391,2020-08-04,Saarland,5,0
2407,2020-08-05,Saarland,12,0
2423,2020-08-06,Saarland,8,0
2439,2020-08-07,Saarland,7,0
2455,2020-08-08,Saarland,5,0
2470,2020-08-09,Saarland,1,0
2486,2020-08-10,Saarland,14,0
2502,2020-08-11,Saarland,9,0
2518,2020-08-12,Saarland,8,0
2534,2020-08-13,Saarland,16,0
2550,2020-08-14,Saarland,18,0
2566,2020-08-15,Saarland,7,0
2582,2020-08-16,Saarland,3,0
2598,2020-08-17,Saarland,7,0
