index,date,region_code,confirmed_addition,deceased_addition
62,2020-03-02,Sachsen,1,0
104,2020-03-06,Sachsen,2,0
114,2020-03-07,Sachsen,2,0
126,2020-03-08,Sachsen,5,0
140,2020-03-09,Sachsen,5,0
154,2020-03-10,Sachsen,22,0
170,2020-03-11,Sachsen,16,0
186,2020-03-12,Sachsen,27,0
202,2020-03-13,Sachsen,37,1
218,2020-03-14,Sachsen,34,1
234,2020-03-15,Sachsen,30,0
249,2020-03-16,Sachsen,42,0
265,2020-03-17,Sachsen,87,0
281,2020-03-18,Sachsen,134,0
297,2020-03-19,Sachsen,155,1
313,2020-03-20,Sachsen,143,2
329,2020-03-21,Sachsen,129,1
345,2020-03-22,Sachsen,52,1
361,2020-03-23,Sachsen,125,3
377,2020-03-24,Sachsen,160,7
393,2020-03-25,Sachsen,181,7
409,2020-03-26,Sachsen,170,4
425,2020-03-27,Sachsen,188,7
441,2020-03-28,Sachsen,163,3
457,2020-03-29,Sachsen,71,1
473,2020-03-30,Sachsen,141,12
489,2020-03-31,Sachsen,182,17
505,2020-04-01,Sachsen,186,4
521,2020-04-02,Sachsen,224,18
537,2020-04-03,Sachsen,252,17
553,2020-04-04,Sachsen,140,8
569,2020-04-05,Sachsen,68,3
585,2020-04-06,Sachsen,82,5
601,2020-04-07,Sachsen,143,6
617,2020-04-08,Sachsen,160,8
633,2020-04-09,Sachsen,101,7
649,2020-04-10,Sachsen,130,7
665,2020-04-11,Sachsen,80,7
681,2020-04-12,Sachsen,88,3
697,2020-04-13,Sachsen,40,6
713,2020-04-14,Sachsen,73,5
729,2020-04-15,Sachsen,58,2
745,2020-04-16,Sachsen,102,5
761,2020-04-17,Sachsen,44,5
777,2020-04-18,Sachsen,47,0
792,2020-04-19,Sachsen,23,0
808,2020-04-20,Sachsen,33,4
824,2020-04-21,Sachsen,49,5
840,2020-04-22,Sachsen,51,0
855,2020-04-23,Sachsen,34,2
871,2020-04-24,Sachsen,45,4
887,2020-04-25,Sachsen,22,0
902,2020-04-26,Sachsen,20,0
918,2020-04-27,Sachsen,21,2
934,2020-04-28,Sachsen,34,1
950,2020-04-29,Sachsen,40,4
966,2020-04-30,Sachsen,35,2
982,2020-05-01,Sachsen,22,0
998,2020-05-02,Sachsen,22,1
1012,2020-05-03,Sachsen,10,0
1028,2020-05-04,Sachsen,7,0
1044,2020-05-05,Sachsen,63,4
1060,2020-05-06,Sachsen,36,0
1076,2020-05-07,Sachsen,34,0
1091,2020-05-08,Sachsen,46,1
1107,2020-05-09,Sachsen,23,0
1122,2020-05-10,Sachsen,8,0
1138,2020-05-11,Sachsen,21,1
1154,2020-05-12,Sachsen,25,0
1170,2020-05-13,Sachsen,36,2
1186,2020-05-14,Sachsen,38,1
1202,2020-05-15,Sachsen,21,2
1218,2020-05-16,Sachsen,15,3
1233,2020-05-17,Sachsen,3,0
1248,2020-05-18,Sachsen,18,0
1262,2020-05-19,Sachsen,32,1
1278,2020-05-20,Sachsen,30,1
1293,2020-05-21,Sachsen,11,1
1308,2020-05-22,Sachsen,6,0
1323,2020-05-23,Sachsen,5,0
1335,2020-05-24,Sachsen,5,1
1349,2020-05-25,Sachsen,9,1
1363,2020-05-26,Sachsen,15,1
1378,2020-05-27,Sachsen,19,1
1392,2020-05-28,Sachsen,13,0
1408,2020-05-29,Sachsen,10,0
1423,2020-05-30,Sachsen,5,0
1463,2020-06-02,Sachsen,3,0
1479,2020-06-03,Sachsen,10,0
1493,2020-06-04,Sachsen,6,0
1508,2020-06-05,Sachsen,5,1
1524,2020-06-06,Sachsen,6,0
1551,2020-06-08,Sachsen,3,0
1566,2020-06-09,Sachsen,7,0
1582,2020-06-10,Sachsen,3,0
1597,2020-06-11,Sachsen,1,0
1613,2020-06-12,Sachsen,4,0
1641,2020-06-14,Sachsen,1,0
1655,2020-06-15,Sachsen,1,0
1671,2020-06-16,Sachsen,10,0
1687,2020-06-17,Sachsen,33,0
1701,2020-06-18,Sachsen,14,0
1717,2020-06-19,Sachsen,10,0
1732,2020-06-20,Sachsen,6,0
1745,2020-06-21,Sachsen,5,0
1759,2020-06-22,Sachsen,6,0
1772,2020-06-23,Sachsen,9,0
1788,2020-06-24,Sachsen,1,0
1804,2020-06-25,Sachsen,5,0
1835,2020-06-27,Sachsen,1,0
1848,2020-06-28,Sachsen,2,0
1862,2020-06-29,Sachsen,3,0
1876,2020-06-30,Sachsen,4,0
1891,2020-07-01,Sachsen,1,0
1907,2020-07-02,Sachsen,4,0
1920,2020-07-03,Sachsen,2,0
1958,2020-07-06,Sachsen,4,0
1972,2020-07-07,Sachsen,3,0
1986,2020-07-08,Sachsen,3,0
2001,2020-07-09,Sachsen,3,0
2016,2020-07-10,Sachsen,2,0
2029,2020-07-11,Sachsen,2,0
2056,2020-07-13,Sachsen,2,0
2069,2020-07-14,Sachsen,5,0
2085,2020-07-15,Sachsen,3,0
2100,2020-07-16,Sachsen,3,0
2116,2020-07-17,Sachsen,4,0
2144,2020-07-19,Sachsen,1,0
2159,2020-07-20,Sachsen,11,0
2175,2020-07-21,Sachsen,5,0
2191,2020-07-22,Sachsen,2,0
2207,2020-07-23,Sachsen,7,0
2223,2020-07-24,Sachsen,4,0
2238,2020-07-25,Sachsen,1,0
2251,2020-07-26,Sachsen,1,0
2267,2020-07-27,Sachsen,9,0
2283,2020-07-28,Sachsen,3,0
2299,2020-07-29,Sachsen,7,0
2315,2020-07-30,Sachsen,3,0
2331,2020-07-31,Sachsen,5,0
2347,2020-08-01,Sachsen,3,0
2361,2020-08-02,Sachsen,2,0
2376,2020-08-03,Sachsen,13,0
