index,date,region_code,confirmed_addition,deceased_addition
41,2020-02-28,Schleswig-Holstein,1,0
47,2020-02-29,Schleswig-Holstein,1,0
63,2020-03-02,Schleswig-Holstein,2,0
74,2020-03-03,Schleswig-Holstein,1,0
95,2020-03-05,Schleswig-Holstein,1,0
105,2020-03-06,Schleswig-Holstein,2,0
127,2020-03-08,Schleswig-Holstein,1,0
141,2020-03-09,Schleswig-Holstein,3,0
156,2020-03-10,Schleswig-Holstein,7,0
172,2020-03-11,Schleswig-Holstein,19,0
188,2020-03-12,Schleswig-Holstein,18,1
204,2020-03-13,Schleswig-Holstein,27,0
220,2020-03-14,Schleswig-Holstein,24,0
235,2020-03-15,Schleswig-Holstein,21,0
251,2020-03-16,Schleswig-Holstein,29,0
267,2020-03-17,Schleswig-Holstein,46,2
283,2020-03-18,Schleswig-Holstein,53,4
299,2020-03-19,Schleswig-Holstein,60,0
315,2020-03-20,Schleswig-Holstein,78,1
331,2020-03-21,Schleswig-Holstein,45,3
347,2020-03-22,Schleswig-Holstein,34,3
363,2020-03-23,Schleswig-Holstein,94,3
379,2020-03-24,Schleswig-Holstein,100,4
395,2020-03-25,Schleswig-Holstein,86,4
411,2020-03-26,Schleswig-Holstein,96,4
427,2020-03-27,Schleswig-Holstein,117,2
443,2020-03-28,Schleswig-Holstein,82,1
459,2020-03-29,Schleswig-Holstein,43,2
475,2020-03-30,Schleswig-Holstein,78,5
491,2020-03-31,Schleswig-Holstein,104,5
507,2020-04-01,Schleswig-Holstein,102,7
523,2020-04-02,Schleswig-Holstein,112,4
539,2020-04-03,Schleswig-Holstein,112,7
555,2020-04-04,Schleswig-Holstein,69,3
571,2020-04-05,Schleswig-Holstein,36,1
587,2020-04-06,Schleswig-Holstein,61,5
603,2020-04-07,Schleswig-Holstein,112,11
619,2020-04-08,Schleswig-Holstein,90,5
635,2020-04-09,Schleswig-Holstein,92,5
651,2020-04-10,Schleswig-Holstein,34,1
667,2020-04-11,Schleswig-Holstein,41,3
683,2020-04-12,Schleswig-Holstein,16,0
699,2020-04-13,Schleswig-Holstein,98,12
715,2020-04-14,Schleswig-Holstein,18,1
731,2020-04-15,Schleswig-Holstein,42,3
747,2020-04-16,Schleswig-Holstein,51,3
763,2020-04-17,Schleswig-Holstein,40,3
779,2020-04-18,Schleswig-Holstein,25,2
794,2020-04-19,Schleswig-Holstein,9,1
810,2020-04-20,Schleswig-Holstein,28,4
826,2020-04-21,Schleswig-Holstein,38,2
842,2020-04-22,Schleswig-Holstein,35,5
857,2020-04-23,Schleswig-Holstein,41,2
873,2020-04-24,Schleswig-Holstein,39,2
889,2020-04-25,Schleswig-Holstein,16,2
904,2020-04-26,Schleswig-Holstein,6,1
920,2020-04-27,Schleswig-Holstein,13,1
936,2020-04-28,Schleswig-Holstein,23,1
952,2020-04-29,Schleswig-Holstein,18,0
968,2020-04-30,Schleswig-Holstein,19,1
984,2020-05-01,Schleswig-Holstein,13,1
1000,2020-05-02,Schleswig-Holstein,11,2
1014,2020-05-03,Schleswig-Holstein,49,0
1030,2020-05-04,Schleswig-Holstein,15,0
1046,2020-05-05,Schleswig-Holstein,49,0
1062,2020-05-06,Schleswig-Holstein,16,0
1078,2020-05-07,Schleswig-Holstein,34,1
1093,2020-05-08,Schleswig-Holstein,22,1
1109,2020-05-09,Schleswig-Holstein,20,0
1124,2020-05-10,Schleswig-Holstein,20,1
1140,2020-05-11,Schleswig-Holstein,5,1
1156,2020-05-12,Schleswig-Holstein,16,0
1172,2020-05-13,Schleswig-Holstein,12,0
1188,2020-05-14,Schleswig-Holstein,5,0
1204,2020-05-15,Schleswig-Holstein,7,0
1220,2020-05-16,Schleswig-Holstein,2,0
1235,2020-05-17,Schleswig-Holstein,1,0
1264,2020-05-19,Schleswig-Holstein,14,1
1280,2020-05-20,Schleswig-Holstein,9,0
1295,2020-05-21,Schleswig-Holstein,23,0
1310,2020-05-22,Schleswig-Holstein,18,1
1365,2020-05-26,Schleswig-Holstein,7,0
1394,2020-05-28,Schleswig-Holstein,6,0
1410,2020-05-29,Schleswig-Holstein,14,2
1425,2020-05-30,Schleswig-Holstein,4,0
1437,2020-05-31,Schleswig-Holstein,3,0
1450,2020-06-01,Schleswig-Holstein,5,0
1465,2020-06-02,Schleswig-Holstein,1,0
1510,2020-06-05,Schleswig-Holstein,2,0
1525,2020-06-06,Schleswig-Holstein,2,0
1538,2020-06-07,Schleswig-Holstein,1,0
1552,2020-06-08,Schleswig-Holstein,2,0
1568,2020-06-09,Schleswig-Holstein,1,0
1584,2020-06-10,Schleswig-Holstein,2,0
1599,2020-06-11,Schleswig-Holstein,3,0
1615,2020-06-12,Schleswig-Holstein,1,1
1657,2020-06-15,Schleswig-Holstein,2,0
1673,2020-06-16,Schleswig-Holstein,1,0
1703,2020-06-18,Schleswig-Holstein,9,0
1719,2020-06-19,Schleswig-Holstein,2,0
1734,2020-06-20,Schleswig-Holstein,1,0
1747,2020-06-21,Schleswig-Holstein,2,0
1774,2020-06-23,Schleswig-Holstein,1,0
1790,2020-06-24,Schleswig-Holstein,4,0
1806,2020-06-25,Schleswig-Holstein,6,1
1821,2020-06-26,Schleswig-Holstein,1,0
1837,2020-06-27,Schleswig-Holstein,3,0
1850,2020-06-28,Schleswig-Holstein,1,0
1863,2020-06-29,Schleswig-Holstein,3,0
1878,2020-06-30,Schleswig-Holstein,5,0
1893,2020-07-01,Schleswig-Holstein,12,0
1909,2020-07-02,Schleswig-Holstein,5,0
1922,2020-07-03,Schleswig-Holstein,4,0
1935,2020-07-04,Schleswig-Holstein,3,0
1947,2020-07-05,Schleswig-Holstein,5,0
1974,2020-07-07,Schleswig-Holstein,4,0
1988,2020-07-08,Schleswig-Holstein,7,1
2003,2020-07-09,Schleswig-Holstein,3,0
2018,2020-07-10,Schleswig-Holstein,1,0
2043,2020-07-12,Schleswig-Holstein,8,0
2057,2020-07-13,Schleswig-Holstein,8,1
2071,2020-07-14,Schleswig-Holstein,7,0
2087,2020-07-15,Schleswig-Holstein,8,0
2102,2020-07-16,Schleswig-Holstein,2,0
2118,2020-07-17,Schleswig-Holstein,14,1
2133,2020-07-18,Schleswig-Holstein,4,0
2146,2020-07-19,Schleswig-Holstein,7,0
2161,2020-07-20,Schleswig-Holstein,9,0
2177,2020-07-21,Schleswig-Holstein,6,0
2193,2020-07-22,Schleswig-Holstein,17,0
2209,2020-07-23,Schleswig-Holstein,8,0
2225,2020-07-24,Schleswig-Holstein,12,1
2240,2020-07-25,Schleswig-Holstein,7,0
2253,2020-07-26,Schleswig-Holstein,7,0
2269,2020-07-27,Schleswig-Holstein,23,2
2285,2020-07-28,Schleswig-Holstein,27,0
2301,2020-07-29,Schleswig-Holstein,31,0
2317,2020-07-30,Schleswig-Holstein,26,0
2333,2020-07-31,Schleswig-Holstein,24,0
2349,2020-08-01,Schleswig-Holstein,16,0
2363,2020-08-02,Schleswig-Holstein,7,0
2378,2020-08-03,Schleswig-Holstein,17,0
2394,2020-08-04,Schleswig-Holstein,22,0
2410,2020-08-05,Schleswig-Holstein,17,1
2426,2020-08-06,Schleswig-Holstein,36,0
2442,2020-08-07,Schleswig-Holstein,10,0
2458,2020-08-08,Schleswig-Holstein,9,0
2473,2020-08-09,Schleswig-Holstein,8,0
2489,2020-08-10,Schleswig-Holstein,35,0
2505,2020-08-11,Schleswig-Holstein,52,0
2521,2020-08-12,Schleswig-Holstein,38,1
2537,2020-08-13,Schleswig-Holstein,22,0
2553,2020-08-14,Schleswig-Holstein,33,0
2569,2020-08-15,Schleswig-Holstein,19,0
2585,2020-08-16,Schleswig-Holstein,2,0
2601,2020-08-17,Schleswig-Holstein,15,0
2617,2020-08-18,Schleswig-Holstein,18,0
2633,2020-08-19,Schleswig-Holstein,22,0
2649,2020-08-20,Schleswig-Holstein,24,0
2665,2020-08-21,Schleswig-Holstein,14,0
2681,2020-08-22,Schleswig-Holstein,14,0
2697,2020-08-23,Schleswig-Holstein,6,0
2713,2020-08-24,Schleswig-Holstein,22,0
2729,2020-08-25,Schleswig-Holstein,28,0
2745,2020-08-26,Schleswig-Holstein,22,0
2761,2020-08-27,Schleswig-Holstein,18,0
2777,2020-08-28,Schleswig-Holstein,17,0
2793,2020-08-29,Schleswig-Holstein,5,0
2808,2020-08-30,Schleswig-Holstein,9,0
2822,2020-08-31,Schleswig-Holstein,15,0
2838,2020-09-01,Schleswig-Holstein,16,0
2854,2020-09-02,Schleswig-Holstein,26,0
2870,2020-09-03,Schleswig-Holstein,21,0
2886,2020-09-04,Schleswig-Holstein,9,0
2902,2020-09-05,Schleswig-Holstein,8,0
2917,2020-09-06,Schleswig-Holstein,4,0
2933,2020-09-07,Schleswig-Holstein,19,0
2949,2020-09-08,Schleswig-Holstein,21,0
2965,2020-09-09,Schleswig-Holstein,24,0
2981,2020-09-10,Schleswig-Holstein,16,0
2997,2020-09-11,Schleswig-Holstein,11,0
3013,2020-09-12,Schleswig-Holstein,9,0
3029,2020-09-13,Schleswig-Holstein,9,0
3045,2020-09-14,Schleswig-Holstein,24,0
3061,2020-09-15,Schleswig-Holstein,35,0
3076,2020-09-16,Schleswig-Holstein,30,0
3092,2020-09-17,Schleswig-Holstein,36,0
3108,2020-09-18,Schleswig-Holstein,32,0
3124,2020-09-19,Schleswig-Holstein,29,0
3139,2020-09-20,Schleswig-Holstein,17,0
3155,2020-09-21,Schleswig-Holstein,27,1
3171,2020-09-22,Schleswig-Holstein,30,0
3187,2020-09-23,Schleswig-Holstein,48,0
3203,2020-09-24,Schleswig-Holstein,57,0
3219,2020-09-25,Schleswig-Holstein,58,1
3235,2020-09-26,Schleswig-Holstein,23,0
3251,2020-09-27,Schleswig-Holstein,7,0
3267,2020-09-28,Schleswig-Holstein,44,0
3283,2020-09-29,Schleswig-Holstein,46,0
3299,2020-09-30,Schleswig-Holstein,44,0
3315,2020-10-01,Schleswig-Holstein,37,0
3331,2020-10-02,Schleswig-Holstein,39,0
3347,2020-10-03,Schleswig-Holstein,19,0
3363,2020-10-04,Schleswig-Holstein,23,1
3379,2020-10-05,Schleswig-Holstein,35,0
3395,2020-10-06,Schleswig-Holstein,54,0
3411,2020-10-07,Schleswig-Holstein,54,0
3427,2020-10-08,Schleswig-Holstein,63,0
3443,2020-10-09,Schleswig-Holstein,57,0
3459,2020-10-10,Schleswig-Holstein,27,0
3475,2020-10-11,Schleswig-Holstein,22,0
3491,2020-10-12,Schleswig-Holstein,66,1
3507,2020-10-13,Schleswig-Holstein,66,0
3523,2020-10-14,Schleswig-Holstein,71,1
3539,2020-10-15,Schleswig-Holstein,80,2
3555,2020-10-16,Schleswig-Holstein,94,3
3571,2020-10-17,Schleswig-Holstein,51,0
3587,2020-10-18,Schleswig-Holstein,34,2
3603,2020-10-19,Schleswig-Holstein,158,3
3619,2020-10-20,Schleswig-Holstein,125,5
3635,2020-10-21,Schleswig-Holstein,162,1
3651,2020-10-22,Schleswig-Holstein,225,4
3667,2020-10-23,Schleswig-Holstein,193,4
3683,2020-10-24,Schleswig-Holstein,151,1
3699,2020-10-25,Schleswig-Holstein,78,2
3715,2020-10-26,Schleswig-Holstein,156,3
3731,2020-10-27,Schleswig-Holstein,284,8
3747,2020-10-28,Schleswig-Holstein,269,4
3763,2020-10-29,Schleswig-Holstein,252,3
3779,2020-10-30,Schleswig-Holstein,303,3
3795,2020-10-31,Schleswig-Holstein,240,7
3811,2020-11-01,Schleswig-Holstein,150,2
3827,2020-11-02,Schleswig-Holstein,174,5
3843,2020-11-03,Schleswig-Holstein,219,0
3859,2020-11-04,Schleswig-Holstein,249,7
3875,2020-11-05,Schleswig-Holstein,258,3
3891,2020-11-06,Schleswig-Holstein,233,3
3907,2020-11-07,Schleswig-Holstein,248,1
3923,2020-11-08,Schleswig-Holstein,154,1
3939,2020-11-09,Schleswig-Holstein,246,3
3955,2020-11-10,Schleswig-Holstein,209,2
3971,2020-11-11,Schleswig-Holstein,285,3
3987,2020-11-12,Schleswig-Holstein,227,1
4003,2020-11-13,Schleswig-Holstein,288,3
4019,2020-11-14,Schleswig-Holstein,189,1
4035,2020-11-15,Schleswig-Holstein,100,0
4051,2020-11-16,Schleswig-Holstein,127,5
4067,2020-11-17,Schleswig-Holstein,246,2
4083,2020-11-18,Schleswig-Holstein,233,0
4099,2020-11-19,Schleswig-Holstein,233,2
4115,2020-11-20,Schleswig-Holstein,269,0
4131,2020-11-21,Schleswig-Holstein,142,0
4147,2020-11-22,Schleswig-Holstein,114,1
4163,2020-11-23,Schleswig-Holstein,151,2
4179,2020-11-24,Schleswig-Holstein,220,0
4195,2020-11-25,Schleswig-Holstein,268,2
4211,2020-11-26,Schleswig-Holstein,235,8
4227,2020-11-27,Schleswig-Holstein,229,4
4243,2020-11-28,Schleswig-Holstein,169,2
4259,2020-11-29,Schleswig-Holstein,76,0
4275,2020-11-30,Schleswig-Holstein,107,4
4291,2020-12-01,Schleswig-Holstein,205,3
4307,2020-12-02,Schleswig-Holstein,281,3
4323,2020-12-03,Schleswig-Holstein,251,11
4339,2020-12-04,Schleswig-Holstein,273,4
4355,2020-12-05,Schleswig-Holstein,260,7
4371,2020-12-06,Schleswig-Holstein,119,5
4387,2020-12-07,Schleswig-Holstein,176,3
4403,2020-12-08,Schleswig-Holstein,356,9
4419,2020-12-09,Schleswig-Holstein,341,12
4435,2020-12-10,Schleswig-Holstein,459,23
4451,2020-12-11,Schleswig-Holstein,425,5
4467,2020-12-12,Schleswig-Holstein,439,7
4483,2020-12-13,Schleswig-Holstein,142,3
4499,2020-12-14,Schleswig-Holstein,211,9
4515,2020-12-15,Schleswig-Holstein,496,15
4531,2020-12-16,Schleswig-Holstein,517,24
4547,2020-12-17,Schleswig-Holstein,482,10
4563,2020-12-18,Schleswig-Holstein,550,16
4579,2020-12-19,Schleswig-Holstein,435,8
4595,2020-12-20,Schleswig-Holstein,190,7
4611,2020-12-21,Schleswig-Holstein,275,15
4627,2020-12-22,Schleswig-Holstein,583,23
4643,2020-12-23,Schleswig-Holstein,665,27
4659,2020-12-24,Schleswig-Holstein,364,15
4675,2020-12-25,Schleswig-Holstein,175,6
4691,2020-12-26,Schleswig-Holstein,199,8
4707,2020-12-27,Schleswig-Holstein,187,14
4723,2020-12-28,Schleswig-Holstein,267,30
4739,2020-12-29,Schleswig-Holstein,572,37
4755,2020-12-30,Schleswig-Holstein,461,14
4771,2020-12-31,Schleswig-Holstein,352,14
4787,2021-01-01,Schleswig-Holstein,136,7
4803,2021-01-02,Schleswig-Holstein,263,24
4819,2021-01-03,Schleswig-Holstein,201,10
4835,2021-01-04,Schleswig-Holstein,260,15
4851,2021-01-05,Schleswig-Holstein,538,12
4867,2021-01-06,Schleswig-Holstein,532,22
4883,2021-01-07,Schleswig-Holstein,479,13
4899,2021-01-08,Schleswig-Holstein,523,18
4915,2021-01-09,Schleswig-Holstein,405,13
4931,2021-01-10,Schleswig-Holstein,141,13
4947,2021-01-11,Schleswig-Holstein,258,14
4963,2021-01-12,Schleswig-Holstein,403,15
4979,2021-01-13,Schleswig-Holstein,489,18
4995,2021-01-14,Schleswig-Holstein,422,13
5011,2021-01-15,Schleswig-Holstein,412,17
5027,2021-01-16,Schleswig-Holstein,353,18
5043,2021-01-17,Schleswig-Holstein,201,8
5059,2021-01-18,Schleswig-Holstein,237,9
5075,2021-01-19,Schleswig-Holstein,469,25
5091,2021-01-20,Schleswig-Holstein,483,16
5107,2021-01-21,Schleswig-Holstein,497,22
5123,2021-01-22,Schleswig-Holstein,460,27
5139,2021-01-23,Schleswig-Holstein,439,11
5155,2021-01-24,Schleswig-Holstein,156,9
5171,2021-01-25,Schleswig-Holstein,163,16
5187,2021-01-26,Schleswig-Holstein,544,17
5203,2021-01-27,Schleswig-Holstein,463,20
5219,2021-01-28,Schleswig-Holstein,383,14
5235,2021-01-29,Schleswig-Holstein,346,28
5251,2021-01-30,Schleswig-Holstein,260,5
5267,2021-01-31,Schleswig-Holstein,179,7
5283,2021-02-01,Schleswig-Holstein,129,5
5299,2021-02-02,Schleswig-Holstein,362,11
5315,2021-02-03,Schleswig-Holstein,339,7
5331,2021-02-04,Schleswig-Holstein,327,7
5347,2021-02-05,Schleswig-Holstein,261,4
5363,2021-02-06,Schleswig-Holstein,268,5
5379,2021-02-07,Schleswig-Holstein,106,0
5395,2021-02-08,Schleswig-Holstein,135,5
5411,2021-02-09,Schleswig-Holstein,310,2
5427,2021-02-10,Schleswig-Holstein,335,4
5443,2021-02-11,Schleswig-Holstein,357,2
5459,2021-02-12,Schleswig-Holstein,227,0
5475,2021-02-13,Schleswig-Holstein,190,1
5491,2021-02-14,Schleswig-Holstein,115,2
5507,2021-02-15,Schleswig-Holstein,142,1
5523,2021-02-16,Schleswig-Holstein,248,2
5539,2021-02-17,Schleswig-Holstein,245,0
5555,2021-02-18,Schleswig-Holstein,256,0
5571,2021-02-19,Schleswig-Holstein,271,0
5586,2021-02-20,Schleswig-Holstein,202,0
5600,2021-02-21,Schleswig-Holstein,113,0
