index,date,region_code,confirmed_addition,deceased_addition
75,2020-03-03,Thüringen,1,0
115,2020-03-07,Thüringen,1,0
157,2020-03-10,Thüringen,9,0
173,2020-03-11,Thüringen,1,0
189,2020-03-12,Thüringen,11,0
205,2020-03-13,Thüringen,10,0
221,2020-03-14,Thüringen,18,0
236,2020-03-15,Thüringen,1,0
252,2020-03-16,Thüringen,18,0
268,2020-03-17,Thüringen,31,0
284,2020-03-18,Thüringen,37,0
300,2020-03-19,Thüringen,54,0
316,2020-03-20,Thüringen,76,0
332,2020-03-21,Thüringen,38,2
348,2020-03-22,Thüringen,27,1
364,2020-03-23,Thüringen,52,1
380,2020-03-24,Thüringen,72,3
396,2020-03-25,Thüringen,79,3
412,2020-03-26,Thüringen,74,3
428,2020-03-27,Thüringen,73,4
444,2020-03-28,Thüringen,68,1
460,2020-03-29,Thüringen,20,1
476,2020-03-30,Thüringen,35,1
492,2020-03-31,Thüringen,79,4
508,2020-04-01,Thüringen,58,2
524,2020-04-02,Thüringen,85,5
540,2020-04-03,Thüringen,70,4
556,2020-04-04,Thüringen,50,3
572,2020-04-05,Thüringen,40,5
588,2020-04-06,Thüringen,26,2
604,2020-04-07,Thüringen,72,8
620,2020-04-08,Thüringen,64,4
636,2020-04-09,Thüringen,70,6
652,2020-04-10,Thüringen,27,8
668,2020-04-11,Thüringen,27,4
684,2020-04-12,Thüringen,32,5
700,2020-04-13,Thüringen,20,2
716,2020-04-14,Thüringen,44,8
732,2020-04-15,Thüringen,42,5
748,2020-04-16,Thüringen,81,1
764,2020-04-17,Thüringen,36,3
780,2020-04-18,Thüringen,47,4
795,2020-04-19,Thüringen,16,1
811,2020-04-20,Thüringen,38,7
827,2020-04-21,Thüringen,75,4
843,2020-04-22,Thüringen,56,3
858,2020-04-23,Thüringen,66,2
874,2020-04-24,Thüringen,46,2
890,2020-04-25,Thüringen,25,3
905,2020-04-26,Thüringen,21,1
921,2020-04-27,Thüringen,28,3
937,2020-04-28,Thüringen,77,8
953,2020-04-29,Thüringen,43,3
969,2020-04-30,Thüringen,60,8
985,2020-05-01,Thüringen,14,0
1001,2020-05-02,Thüringen,21,4
1015,2020-05-03,Thüringen,1,1
1031,2020-05-04,Thüringen,30,2
1047,2020-05-05,Thüringen,41,1
1063,2020-05-06,Thüringen,45,5
1079,2020-05-07,Thüringen,48,4
1094,2020-05-08,Thüringen,26,1
1110,2020-05-09,Thüringen,31,1
1125,2020-05-10,Thüringen,8,1
1141,2020-05-11,Thüringen,32,1
1157,2020-05-12,Thüringen,28,0
1173,2020-05-13,Thüringen,16,1
1189,2020-05-14,Thüringen,25,2
1205,2020-05-15,Thüringen,21,2
1221,2020-05-16,Thüringen,24,1
1236,2020-05-17,Thüringen,9,1
1249,2020-05-18,Thüringen,10,1
1265,2020-05-19,Thüringen,34,0
1281,2020-05-20,Thüringen,21,1
1296,2020-05-21,Thüringen,20,0
1311,2020-05-22,Thüringen,18,1
1324,2020-05-23,Thüringen,14,2
1336,2020-05-24,Thüringen,11,0
1351,2020-05-25,Thüringen,18,2
1366,2020-05-26,Thüringen,36,1
1380,2020-05-27,Thüringen,24,0
1395,2020-05-28,Thüringen,36,2
1411,2020-05-29,Thüringen,16,0
1426,2020-05-30,Thüringen,13,3
1438,2020-05-31,Thüringen,7,1
1451,2020-06-01,Thüringen,2,0
1466,2020-06-02,Thüringen,4,0
1480,2020-06-03,Thüringen,20,0
1495,2020-06-04,Thüringen,16,0
1511,2020-06-05,Thüringen,20,0
1526,2020-06-06,Thüringen,6,2
1539,2020-06-07,Thüringen,6,0
1553,2020-06-08,Thüringen,6,0
1569,2020-06-09,Thüringen,14,0
1585,2020-06-10,Thüringen,22,1
1600,2020-06-11,Thüringen,19,0
1616,2020-06-12,Thüringen,8,0
1629,2020-06-13,Thüringen,11,0
1643,2020-06-14,Thüringen,5,0
1658,2020-06-15,Thüringen,2,0
1674,2020-06-16,Thüringen,15,0
1689,2020-06-17,Thüringen,6,0
1704,2020-06-18,Thüringen,5,0
1720,2020-06-19,Thüringen,6,0
1735,2020-06-20,Thüringen,8,0
1761,2020-06-22,Thüringen,5,0
1775,2020-06-23,Thüringen,2,0
1791,2020-06-24,Thüringen,3,0
1807,2020-06-25,Thüringen,4,0
1822,2020-06-26,Thüringen,5,1
1864,2020-06-29,Thüringen,2,0
1879,2020-06-30,Thüringen,5,0
1894,2020-07-01,Thüringen,1,0
1910,2020-07-02,Thüringen,10,0
1936,2020-07-04,Thüringen,2,0
1948,2020-07-05,Thüringen,2,0
1960,2020-07-06,Thüringen,5,1
1975,2020-07-07,Thüringen,7,0
1989,2020-07-08,Thüringen,3,0
2004,2020-07-09,Thüringen,2,0
2019,2020-07-10,Thüringen,1,0
2031,2020-07-11,Thüringen,3,0
2044,2020-07-12,Thüringen,1,0
2058,2020-07-13,Thüringen,3,0
2072,2020-07-14,Thüringen,7,0
2088,2020-07-15,Thüringen,9,0
2103,2020-07-16,Thüringen,5,0
2119,2020-07-17,Thüringen,3,0
2134,2020-07-18,Thüringen,1,0
2147,2020-07-19,Thüringen,1,0
2162,2020-07-20,Thüringen,2,0
2178,2020-07-21,Thüringen,1,0
2194,2020-07-22,Thüringen,1,0
2210,2020-07-23,Thüringen,12,0
2226,2020-07-24,Thüringen,2,0
2241,2020-07-25,Thüringen,6,0
2254,2020-07-26,Thüringen,1,0
2270,2020-07-27,Thüringen,4,0
2286,2020-07-28,Thüringen,6,1
2302,2020-07-29,Thüringen,3,0
2318,2020-07-30,Thüringen,6,1
2334,2020-07-31,Thüringen,6,0
2350,2020-08-01,Thüringen,3,0
2364,2020-08-02,Thüringen,1,0
2379,2020-08-03,Thüringen,10,0
2395,2020-08-04,Thüringen,4,0
2411,2020-08-05,Thüringen,11,0
2427,2020-08-06,Thüringen,14,0
2443,2020-08-07,Thüringen,10,0
2459,2020-08-08,Thüringen,2,0
2474,2020-08-09,Thüringen,1,0
2490,2020-08-10,Thüringen,13,0
2506,2020-08-11,Thüringen,14,0
2522,2020-08-12,Thüringen,19,0
2538,2020-08-13,Thüringen,11,0
2554,2020-08-14,Thüringen,11,0
2570,2020-08-15,Thüringen,1,0
2586,2020-08-16,Thüringen,2,0
2602,2020-08-17,Thüringen,5,0
2618,2020-08-18,Thüringen,13,0
2634,2020-08-19,Thüringen,6,0
2650,2020-08-20,Thüringen,13,0
2666,2020-08-21,Thüringen,9,0
2682,2020-08-22,Thüringen,7,0
2698,2020-08-23,Thüringen,4,0
2714,2020-08-24,Thüringen,10,1
2730,2020-08-25,Thüringen,9,0
2746,2020-08-26,Thüringen,7,0
2762,2020-08-27,Thüringen,14,0
2778,2020-08-28,Thüringen,23,0
2794,2020-08-29,Thüringen,9,0
2823,2020-08-31,Thüringen,5,0
2839,2020-09-01,Thüringen,10,0
2855,2020-09-02,Thüringen,11,0
2871,2020-09-03,Thüringen,12,0
2887,2020-09-04,Thüringen,18,0
2903,2020-09-05,Thüringen,4,0
2918,2020-09-06,Thüringen,7,1
2934,2020-09-07,Thüringen,4,0
2950,2020-09-08,Thüringen,10,0
2966,2020-09-09,Thüringen,19,0
2982,2020-09-10,Thüringen,19,0
2998,2020-09-11,Thüringen,24,1
3014,2020-09-12,Thüringen,23,0
3030,2020-09-13,Thüringen,13,0
3046,2020-09-14,Thüringen,17,0
3062,2020-09-15,Thüringen,26,1
3077,2020-09-16,Thüringen,25,0
3093,2020-09-17,Thüringen,25,0
3109,2020-09-18,Thüringen,32,0
3125,2020-09-19,Thüringen,7,0
3140,2020-09-20,Thüringen,6,0
3156,2020-09-21,Thüringen,26,1
3172,2020-09-22,Thüringen,17,0
3188,2020-09-23,Thüringen,21,0
3204,2020-09-24,Thüringen,21,0
3220,2020-09-25,Thüringen,18,0
3236,2020-09-26,Thüringen,7,1
3252,2020-09-27,Thüringen,3,0
3268,2020-09-28,Thüringen,8,0
3284,2020-09-29,Thüringen,15,0
3300,2020-09-30,Thüringen,31,1
3316,2020-10-01,Thüringen,29,0
3332,2020-10-02,Thüringen,30,0
3348,2020-10-03,Thüringen,42,0
3364,2020-10-04,Thüringen,7,0
3380,2020-10-05,Thüringen,10,0
3396,2020-10-06,Thüringen,18,1
3412,2020-10-07,Thüringen,44,1
3428,2020-10-08,Thüringen,48,0
3444,2020-10-09,Thüringen,60,0
3460,2020-10-10,Thüringen,53,2
3476,2020-10-11,Thüringen,8,0
3492,2020-10-12,Thüringen,59,0
3508,2020-10-13,Thüringen,59,1
3524,2020-10-14,Thüringen,78,1
3540,2020-10-15,Thüringen,74,1
3556,2020-10-16,Thüringen,124,1
3572,2020-10-17,Thüringen,70,0
3588,2020-10-18,Thüringen,32,1
3604,2020-10-19,Thüringen,64,0
3620,2020-10-20,Thüringen,117,4
3636,2020-10-21,Thüringen,163,1
3652,2020-10-22,Thüringen,164,2
3668,2020-10-23,Thüringen,198,3
3684,2020-10-24,Thüringen,205,10
3700,2020-10-25,Thüringen,68,1
3716,2020-10-26,Thüringen,95,1
3732,2020-10-27,Thüringen,256,6
3748,2020-10-28,Thüringen,227,3
3764,2020-10-29,Thüringen,229,4
3780,2020-10-30,Thüringen,335,9
3796,2020-10-31,Thüringen,168,3
3812,2020-11-01,Thüringen,59,5
3828,2020-11-02,Thüringen,205,5
3844,2020-11-03,Thüringen,283,8
3860,2020-11-04,Thüringen,330,9
3876,2020-11-05,Thüringen,305,9
3892,2020-11-06,Thüringen,301,5
3908,2020-11-07,Thüringen,234,3
3924,2020-11-08,Thüringen,98,6
3940,2020-11-09,Thüringen,207,4
3956,2020-11-10,Thüringen,299,5
3972,2020-11-11,Thüringen,354,16
3988,2020-11-12,Thüringen,406,14
4004,2020-11-13,Thüringen,387,14
