,date,iso3166-2,RelativeHumiditySurface,SolarRadiation,Surfacepressure,TemperatureAboveGround,Totalprecipitation,UVIndex,WindSpeed
11,2020-02-13,DE-SH,88.33686999999999,523403.754369,2406366.3522119997,275.98947000000004,0.004933,1.525916,4.786011
65,2020-02-14,DE-SH,87.943697,526568.5161,2432635.617851,277.292078,0.00038199999999999996,0.9897229999999999,2.34213
119,2020-02-15,DE-SH,81.388508,1152649.00965,2425773.260612,280.77509,0.0014039999999999999,0.987489,6.5418400000000005
173,2020-02-16,DE-SH,80.603193,22382.621279,2386873.664991,283.84762,0.012884999999999999,0.064343,9.331656
227,2020-02-17,DE-SH,73.876024,4380567.921023,2407204.167113,280.650408,0.002424,3.885165,9.280466
281,2020-02-18,DE-SH,81.56184499999999,3056033.220509,2421803.319482,279.10906600000004,0.00445,2.861483,7.9783919999999995
335,2020-02-19,DE-SH,83.79915799999999,3038921.924765,2420074.658512,278.559821,0.004894,3.8990169999999997,6.630302
389,2020-02-20,DE-SH,90.721853,74717.762694,2415918.768432,278.72941299999997,0.008514,0.320375,6.602009
443,2020-02-21,DE-SH,82.865977,2871144.54485,2431060.4897229997,279.038471,0.002747,1.912422,7.810122
497,2020-02-22,DE-SH,80.788555,135570.375477,2414971.154714,280.488388,0.006531,0.899911,10.697647
551,2020-02-23,DE-SH,84.057139,1538.502205,2411281.3294240003,278.37714,0.009321,1.7712240000000001,7.618110000000001
605,2020-02-24,DE-SH,89.698396,112132.96182899999,2414592.719839,277.88369500000005,0.011502,2.401251,5.398002
659,2020-02-25,DE-SH,80.198699,4754685.511841,2372845.020889,278.453427,0.003196,4.058534,9.497247999999999
713,2020-02-26,DE-SH,84.92070600000001,4181674.135221,2380299.607015,276.071048,0.00116,4.761394,3.6368199999999997
767,2020-02-27,DE-SH,86.410962,3180734.805518,2393804.984361,275.884593,0.0019420000000000001,4.147453,3.367771
821,2020-02-28,DE-SH,79.631934,5305529.55429,2413475.581323,277.531327,0.003023,5.022787999999999,5.514158999999999
875,2020-02-29,DE-SH,86.318487,2580991.057473,2370710.0559650003,279.583913,0.010565,4.205094,6.588939
929,2020-03-01,DE-SH,74.676938,3526115.9371089996,2370407.351877,278.81561800000003,0.001511,4.082216000000001,7.090056
983,2020-03-02,DE-SH,80.32459399999999,3611098.855004,2375466.642426,278.74876,0.001501,4.365952,3.0276099999999997
1037,2020-03-03,DE-SH,84.906759,2369597.1159099997,2393680.032507,278.200315,0.005429,4.0719389999999995,2.97201
1091,2020-03-04,DE-SH,89.167527,4420861.104613,2411975.318029,277.00853,0.000588,4.613494,3.198082
1145,2020-03-05,DE-SH,87.665483,3915754.273905,2396918.757038,277.128855,0.000472,5.117069,3.6799489999999997
