index,date,region,absolute_infections,absolute_deaths,region_code,population,infections_(per_100.000),deaths_(per_100.000)
8,2020-01-28,Bayern,2,0,DE-BY,13076721,0.01529435398981136,0.0
9,2020-01-29,Bayern,2,0,DE-BY,13076721,0.01529435398981136,0.0
11,2020-01-31,Bayern,4,0,DE-BY,13076721,0.03058870797962272,0.0
13,2020-02-03,Bayern,1,0,DE-BY,13076721,0.00764717699490568,0.0
14,2020-02-04,Bayern,3,0,DE-BY,13076721,0.022941530984717042,0.0
16,2020-02-06,Bayern,1,0,DE-BY,13076721,0.00764717699490568,0.0
17,2020-02-07,Bayern,1,0,DE-BY,13076721,0.00764717699490568,0.0
19,2020-02-11,Bayern,2,0,DE-BY,13076721,0.01529435398981136,0.0
20,2020-02-12,Bayern,1,0,DE-BY,13076721,0.00764717699490568,0.0
32,2020-02-27,Bayern,1,0,DE-BY,13076721,0.00764717699490568,0.0
36,2020-02-28,Bayern,2,0,DE-BY,13076721,0.01529435398981136,0.0
43,2020-02-29,Bayern,2,0,DE-BY,13076721,0.01529435398981136,0.0
49,2020-03-01,Bayern,4,0,DE-BY,13076721,0.03058870797962272,0.0
57,2020-03-02,Bayern,6,0,DE-BY,13076721,0.045883061969434084,0.0
65,2020-03-03,Bayern,6,0,DE-BY,13076721,0.045883061969434084,0.0
77,2020-03-04,Bayern,10,0,DE-BY,13076721,0.0764717699490568,0.0
86,2020-03-05,Bayern,19,1,DE-BY,13076721,0.14529636290320794,0.00764717699490568
97,2020-03-06,Bayern,51,0,DE-BY,13076721,0.3900060267401897,0.0
107,2020-03-07,Bayern,20,0,DE-BY,13076721,0.1529435398981136,0.0
117,2020-03-08,Bayern,20,0,DE-BY,13076721,0.1529435398981136,0.0
129,2020-03-09,Bayern,87,0,DE-BY,13076721,0.6653043985567941,0.0
143,2020-03-10,Bayern,111,3,DE-BY,13076721,0.8488366464345305,0.022941530984717042
159,2020-03-11,Bayern,120,1,DE-BY,13076721,0.9176612393886816,0.00764717699490568
175,2020-03-12,Bayern,136,3,DE-BY,13076721,1.0400160713071724,0.022941530984717042
191,2020-03-13,Bayern,252,3,DE-BY,13076721,1.9270886027162315,0.022941530984717042
207,2020-03-14,Bayern,232,5,DE-BY,13076721,1.774145062818118,0.0382358849745284
223,2020-03-15,Bayern,169,3,DE-BY,13076721,1.29237291213906,0.022941530984717042
238,2020-03-16,Bayern,270,8,DE-BY,13076721,2.0647377886245337,0.06117741595924544
254,2020-03-17,Bayern,472,10,DE-BY,13076721,3.609467541595481,0.0764717699490568
270,2020-03-18,Bayern,753,12,DE-BY,13076721,5.758324277163977,0.09176612393886817
286,2020-03-19,Bayern,821,11,DE-BY,13076721,6.278332312817564,0.08411894694396248
302,2020-03-20,Bayern,866,26,DE-BY,13076721,6.62245527758832,0.1988266018675477
318,2020-03-21,Bayern,1110,41,DE-BY,13076721,8.488366464345305,0.3135342567911329
334,2020-03-22,Bayern,559,20,DE-BY,13076721,4.2747719401522755,0.1529435398981136
