index,date,region,absolute_infections,absolute_deaths,region_code,population,infections_(per_100.000),deaths_(per_100.000)
5,2020-01-19,Berlin,1,0,DE-BE,3644826,0.027436151958968685,0.0
66,2020-03-03,Berlin,6,0,DE-BE,3644826,0.16461691175381213,0.0
78,2020-03-04,Berlin,3,0,DE-BE,3644826,0.08230845587690606,0.0
87,2020-03-05,Berlin,10,0,DE-BE,3644826,0.27436151958968685,0.0
98,2020-03-06,Berlin,5,0,DE-BE,3644826,0.13718075979484343,0.0
108,2020-03-07,Berlin,1,0,DE-BE,3644826,0.027436151958968685,0.0
118,2020-03-08,Berlin,12,0,DE-BE,3644826,0.32923382350762426,0.0
130,2020-03-09,Berlin,22,0,DE-BE,3644826,0.6035953430973111,0.0
144,2020-03-10,Berlin,34,0,DE-BE,3644826,0.9328291666049352,0.0
160,2020-03-11,Berlin,42,0,DE-BE,3644826,1.1523183822766847,0.0
176,2020-03-12,Berlin,47,0,DE-BE,3644826,1.2894991420715283,0.0
192,2020-03-13,Berlin,59,0,DE-BE,3644826,1.6187329655791525,0.0
208,2020-03-14,Berlin,29,0,DE-BE,3644826,0.7956484068100919,0.0
224,2020-03-15,Berlin,26,0,DE-BE,3644826,0.7133399509331858,0.0
239,2020-03-16,Berlin,63,0,DE-BE,3644826,1.728477573415027,0.0
255,2020-03-17,Berlin,93,0,DE-BE,3644826,2.551562132184088,0.0
271,2020-03-18,Berlin,146,2,DE-BE,3644826,4.005678186009429,0.05487230391793737
287,2020-03-19,Berlin,180,1,DE-BE,3644826,4.938507352614364,0.027436151958968685
303,2020-03-20,Berlin,170,2,DE-BE,3644826,4.664145833024676,0.05487230391793737
319,2020-03-21,Berlin,127,2,DE-BE,3644826,3.484391298789023,0.05487230391793737
335,2020-03-22,Berlin,68,1,DE-BE,3644826,1.8656583332098704,0.027436151958968685
351,2020-03-23,Berlin,159,4,DE-BE,3644826,4.362348161476021,0.10974460783587474
367,2020-03-24,Berlin,199,5,DE-BE,3644826,5.4597942398347685,0.13718075979484343
383,2020-03-25,Berlin,244,2,DE-BE,3644826,6.694421077988359,0.05487230391793737
399,2020-03-26,Berlin,286,4,DE-BE,3644826,7.846739460265045,0.10974460783587474
415,2020-03-27,Berlin,205,5,DE-BE,3644826,5.62441115158858,0.13718075979484343
431,2020-03-28,Berlin,197,3,DE-BE,3644826,5.404921935916831,0.08230845587690606
447,2020-03-29,Berlin,88,4,DE-BE,3644826,2.4143813723892444,0.10974460783587474
463,2020-03-30,Berlin,167,5,DE-BE,3644826,4.58183737714777,0.13718075979484343
479,2020-03-31,Berlin,213,3,DE-BE,3644826,5.84390036726033,0.08230845587690606
495,2020-04-01,Berlin,187,8,DE-BE,3644826,5.130560416327144,0.21948921567174948
511,2020-04-02,Berlin,239,7,DE-BE,3644826,6.557240318193516,0.1920530637127808
527,2020-04-03,Berlin,239,17,DE-BE,3644826,6.557240318193516,0.4664145833024676
543,2020-04-04,Berlin,108,2,DE-BE,3644826,2.963104411568618,0.05487230391793737
559,2020-04-05,Berlin,78,5,DE-BE,3644826,2.1400198527995578,0.13718075979484343
575,2020-04-06,Berlin,144,9,DE-BE,3644826,3.950805882091491,0.24692536763071818
591,2020-04-07,Berlin,202,15,DE-BE,3644826,5.542102695711675,0.4115422793845303
607,2020-04-08,Berlin,178,6,DE-BE,3644826,4.8836350486964255,0.16461691175381213
623,2020-04-09,Berlin,177,10,DE-BE,3644826,4.856198896737457,0.27436151958968685
639,2020-04-10,Berlin,83,5,DE-BE,3644826,2.277200612594401,0.13718075979484343
655,2020-04-11,Berlin,87,2,DE-BE,3644826,2.3869452204302757,0.05487230391793737
671,2020-04-12,Berlin,55,0,DE-BE,3644826,1.5089883577432779,0.0
687,2020-04-13,Berlin,59,3,DE-BE,3644826,1.6187329655791525,0.08230845587690606
