index,date,region,absolute_infections,absolute_deaths,region_code,population,infections_(per_100.000),deaths_(per_100.000)
23,2020-02-17,Brandenburg,1,0,DE-BB,2511917,0.03981023258332182,0.0
24,2020-02-18,Brandenburg,1,0,DE-BB,2511917,0.03981023258332182,0.0
28,2020-02-25,Brandenburg,1,0,DE-BB,2511917,0.03981023258332182,0.0
50,2020-03-01,Brandenburg,1,0,DE-BB,2511917,0.03981023258332182,0.0
88,2020-03-05,Brandenburg,2,0,DE-BB,2511917,0.07962046516664364,0.0
119,2020-03-08,Brandenburg,4,0,DE-BB,2511917,0.1592409303332873,0.0
131,2020-03-09,Brandenburg,4,0,DE-BB,2511917,0.1592409303332873,0.0
145,2020-03-10,Brandenburg,9,0,DE-BB,2511917,0.3582920932498964,0.0
161,2020-03-11,Brandenburg,8,0,DE-BB,2511917,0.3184818606665746,0.0
177,2020-03-12,Brandenburg,25,0,DE-BB,2511917,0.9952558145830456,0.0
193,2020-03-13,Brandenburg,20,0,DE-BB,2511917,0.7962046516664365,0.0
209,2020-03-14,Brandenburg,13,0,DE-BB,2511917,0.5175330235831838,0.0
225,2020-03-15,Brandenburg,20,0,DE-BB,2511917,0.7962046516664365,0.0
240,2020-03-16,Brandenburg,19,0,DE-BB,2511917,0.7563944190831147,0.0
256,2020-03-17,Brandenburg,63,0,DE-BB,2511917,2.5080446527492746,0.0
272,2020-03-18,Brandenburg,45,0,DE-BB,2511917,1.791460466249482,0.0
288,2020-03-19,Brandenburg,57,1,DE-BB,2511917,2.2691832572493436,0.03981023258332182
304,2020-03-20,Brandenburg,63,1,DE-BB,2511917,2.5080446527492746,0.03981023258332182
320,2020-03-21,Brandenburg,24,0,DE-BB,2511917,0.9554455819997237,0.0
336,2020-03-22,Brandenburg,21,0,DE-BB,2511917,0.8360148842497583,0.0
352,2020-03-23,Brandenburg,52,0,DE-BB,2511917,2.070132094332735,0.0
368,2020-03-24,Brandenburg,56,0,DE-BB,2511917,2.229373024666022,0.0
384,2020-03-25,Brandenburg,96,4,DE-BB,2511917,3.821782327998895,0.1592409303332873
400,2020-03-26,Brandenburg,73,2,DE-BB,2511917,2.906146978582493,0.07962046516664364
416,2020-03-27,Brandenburg,79,6,DE-BB,2511917,3.1450083740824235,0.23886139549993093
432,2020-03-28,Brandenburg,44,0,DE-BB,2511917,1.7516502336661604,0.0
448,2020-03-29,Brandenburg,27,0,DE-BB,2511917,1.0748762797496891,0.0
464,2020-03-30,Brandenburg,94,13,DE-BB,2511917,3.7421618628322513,0.5175330235831838
480,2020-03-31,Brandenburg,129,8,DE-BB,2511917,5.135520003248515,0.3184818606665746
496,2020-04-01,Brandenburg,69,7,DE-BB,2511917,2.7469060482492056,0.27867162808325274
512,2020-04-02,Brandenburg,115,9,DE-BB,2511917,4.578176747082009,0.3582920932498964
528,2020-04-03,Brandenburg,136,15,DE-BB,2511917,5.414191631331768,0.5971534887498273
544,2020-04-04,Brandenburg,40,2,DE-BB,2511917,1.592409303332873,0.07962046516664364
560,2020-04-05,Brandenburg,27,3,DE-BB,2511917,1.0748762797496891,0.11943069774996547
576,2020-04-06,Brandenburg,75,6,DE-BB,2511917,2.9857674437491366,0.23886139549993093
592,2020-04-07,Brandenburg,106,8,DE-BB,2511917,4.219884653832113,0.3184818606665746
608,2020-04-08,Brandenburg,118,3,DE-BB,2511917,4.6976074448319745,0.11943069774996547
624,2020-04-09,Brandenburg,115,10,DE-BB,2511917,4.578176747082009,0.39810232583321825
640,2020-04-10,Brandenburg,75,2,DE-BB,2511917,2.9857674437491366,0.07962046516664364
656,2020-04-11,Brandenburg,49,5,DE-BB,2511917,1.9507013965827693,0.19905116291660913
672,2020-04-12,Brandenburg,44,6,DE-BB,2511917,1.7516502336661604,0.23886139549993093
688,2020-04-13,Brandenburg,12,0,DE-BB,2511917,0.47772279099986187,0.0
704,2020-04-14,Brandenburg,58,2,DE-BB,2511917,2.3089934898326656,0.07962046516664364
720,2020-04-15,Brandenburg,69,9,DE-BB,2511917,2.7469060482492056,0.3582920932498964
736,2020-04-16,Brandenburg,62,5,DE-BB,2511917,2.468234420165953,0.19905116291660913
752,2020-04-17,Brandenburg,113,0,DE-BB,2511917,4.4985562819153655,0.0
768,2020-04-18,Brandenburg,61,4,DE-BB,2511917,2.428424187582631,0.1592409303332873
784,2020-04-19,Brandenburg,29,2,DE-BB,2511917,1.1544967449163328,0.07962046516664364
799,2020-04-20,Brandenburg,57,9,DE-BB,2511917,2.2691832572493436,0.3582920932498964
815,2020-04-21,Brandenburg,65,4,DE-BB,2511917,2.5876651179159182,0.1592409303332873
831,2020-04-22,Brandenburg,50,1,DE-BB,2511917,1.9905116291660911,0.03981023258332182
847,2020-04-23,Brandenburg,40,3,DE-BB,2511917,1.592409303332873,0.11943069774996547
862,2020-04-24,Brandenburg,85,2,DE-BB,2511917,3.383869769582355,0.07962046516664364
878,2020-04-25,Brandenburg,24,1,DE-BB,2511917,0.9554455819997237,0.03981023258332182
894,2020-04-26,Brandenburg,7,0,DE-BB,2511917,0.27867162808325274,0.0
909,2020-04-27,Brandenburg,38,3,DE-BB,2511917,1.5127888381662293,0.11943069774996547
925,2020-04-28,Brandenburg,67,2,DE-BB,2511917,2.667285583082562,0.07962046516664364
941,2020-04-29,Brandenburg,37,1,DE-BB,2511917,1.4729786055829075,0.03981023258332182
957,2020-04-30,Brandenburg,35,2,DE-BB,2511917,1.3933581404162638,0.07962046516664364
973,2020-05-01,Brandenburg,33,2,DE-BB,2511917,1.3137376752496202,0.07962046516664364
989,2020-05-02,Brandenburg,15,0,DE-BB,2511917,0.5971534887498273,0.0
1005,2020-05-03,Brandenburg,6,0,DE-BB,2511917,0.23886139549993093,0.0
1019,2020-05-04,Brandenburg,20,2,DE-BB,2511917,0.7962046516664365,0.07962046516664364
1035,2020-05-05,Brandenburg,43,0,DE-BB,2511917,1.7118400010828383,0.0
1051,2020-05-06,Brandenburg,26,0,DE-BB,2511917,1.0350660471663675,0.0
1067,2020-05-07,Brandenburg,12,1,DE-BB,2511917,0.47772279099986187,0.03981023258332182
1083,2020-05-08,Brandenburg,16,0,DE-BB,2511917,0.6369637213331492,0.0
1098,2020-05-09,Brandenburg,5,0,DE-BB,2511917,0.19905116291660913,0.0
1114,2020-05-10,Brandenburg,3,0,DE-BB,2511917,0.11943069774996547,0.0
1129,2020-05-11,Brandenburg,9,0,DE-BB,2511917,0.3582920932498964,0.0
1145,2020-05-12,Brandenburg,6,0,DE-BB,2511917,0.23886139549993093,0.0
1161,2020-05-13,Brandenburg,10,1,DE-BB,2511917,0.39810232583321825,0.03981023258332182
1177,2020-05-14,Brandenburg,16,0,DE-BB,2511917,0.6369637213331492,0.0
1193,2020-05-15,Brandenburg,7,0,DE-BB,2511917,0.27867162808325274,0.0
1209,2020-05-16,Brandenburg,13,0,DE-BB,2511917,0.5175330235831838,0.0
1225,2020-05-17,Brandenburg,1,0,DE-BB,2511917,0.03981023258332182,0.0
1240,2020-05-18,Brandenburg,6,0,DE-BB,2511917,0.23886139549993093,0.0
1253,2020-05-19,Brandenburg,4,0,DE-BB,2511917,0.1592409303332873,0.0
1269,2020-05-20,Brandenburg,13,0,DE-BB,2511917,0.5175330235831838,0.0
1285,2020-05-21,Brandenburg,3,0,DE-BB,2511917,0.11943069774996547,0.0
1300,2020-05-22,Brandenburg,5,0,DE-BB,2511917,0.19905116291660913,0.0
1315,2020-05-23,Brandenburg,5,0,DE-BB,2511917,0.19905116291660913,0.0
1328,2020-05-24,Brandenburg,1,0,DE-BB,2511917,0.03981023258332182,0.0
1340,2020-05-25,Brandenburg,7,0,DE-BB,2511917,0.27867162808325274,0.0
1355,2020-05-26,Brandenburg,5,0,DE-BB,2511917,0.19905116291660913,0.0
1370,2020-05-27,Brandenburg,6,1,DE-BB,2511917,0.23886139549993093,0.03981023258332182
1384,2020-05-28,Brandenburg,6,1,DE-BB,2511917,0.23886139549993093,0.03981023258332182
1399,2020-05-29,Brandenburg,3,0,DE-BB,2511917,0.11943069774996547,0.0
1415,2020-05-30,Brandenburg,5,0,DE-BB,2511917,0.19905116291660913,0.0
1430,2020-05-31,Brandenburg,1,0,DE-BB,2511917,0.03981023258332182,0.0
1455,2020-06-02,Brandenburg,4,0,DE-BB,2511917,0.1592409303332873,0.0
1470,2020-06-03,Brandenburg,5,0,DE-BB,2511917,0.19905116291660913,0.0
1484,2020-06-04,Brandenburg,3,0,DE-BB,2511917,0.11943069774996547,0.0
1499,2020-06-05,Brandenburg,3,0,DE-BB,2511917,0.11943069774996547,0.0
1515,2020-06-06,Brandenburg,1,0,DE-BB,2511917,0.03981023258332182,0.0
1543,2020-06-08,Brandenburg,2,0,DE-BB,2511917,0.07962046516664364,0.0
