index,date,region,absolute_infections,absolute_deaths,region_code,population,infections_(per_100.000),deaths_(per_100.000)
44,2020-02-29,Hamburg,1,0,DE-HH,1841179,0.05431302442619648,0.0
52,2020-03-01,Hamburg,1,0,DE-HH,1841179,0.05431302442619648,0.0
68,2020-03-03,Hamburg,3,0,DE-HH,1841179,0.16293907327858942,0.0
79,2020-03-04,Hamburg,1,0,DE-HH,1841179,0.05431302442619648,0.0
89,2020-03-05,Hamburg,5,0,DE-HH,1841179,0.27156512213098233,0.0
99,2020-03-06,Hamburg,3,1,DE-HH,1841179,0.16293907327858942,0.05431302442619648
109,2020-03-07,Hamburg,4,0,DE-HH,1841179,0.21725209770478593,0.0
120,2020-03-08,Hamburg,5,0,DE-HH,1841179,0.27156512213098233,0.0
133,2020-03-09,Hamburg,21,0,DE-HH,1841179,1.140573512950126,0.0
147,2020-03-10,Hamburg,29,0,DE-HH,1841179,1.5750777083596976,0.0
163,2020-03-11,Hamburg,30,0,DE-HH,1841179,1.629390732785894,0.0
179,2020-03-12,Hamburg,41,1,DE-HH,1841179,2.2268340014740557,0.05431302442619648
195,2020-03-13,Hamburg,38,1,DE-HH,1841179,2.063894928195466,0.05431302442619648
211,2020-03-14,Hamburg,79,1,DE-HH,1841179,4.2907289296695215,0.05431302442619648
227,2020-03-15,Hamburg,78,0,DE-HH,1841179,4.236415905243325,0.0
242,2020-03-16,Hamburg,80,0,DE-HH,1841179,4.345041954095717,0.0
258,2020-03-17,Hamburg,133,1,DE-HH,1841179,7.223632248684131,0.05431302442619648
274,2020-03-18,Hamburg,135,0,DE-HH,1841179,7.332258297536525,0.0
290,2020-03-19,Hamburg,186,2,DE-HH,1841179,10.102222543272545,0.10862604885239296
306,2020-03-20,Hamburg,146,2,DE-HH,1841179,7.929701566224686,0.10862604885239296
322,2020-03-21,Hamburg,106,1,DE-HH,1841179,5.757180589176826,0.05431302442619648
338,2020-03-22,Hamburg,149,2,DE-HH,1841179,8.092640639503275,0.10862604885239296
354,2020-03-23,Hamburg,132,1,DE-HH,1841179,7.1693192242579356,0.05431302442619648
370,2020-03-24,Hamburg,207,3,DE-HH,1841179,11.242796056222671,0.16293907327858942
386,2020-03-25,Hamburg,162,13,DE-HH,1841179,8.79870995704383,0.7060693175405542
402,2020-03-26,Hamburg,170,6,DE-HH,1841179,9.233214152453401,0.32587814655717884
418,2020-03-27,Hamburg,142,9,DE-HH,1841179,7.712449468519899,0.48881721983576826
434,2020-03-28,Hamburg,145,10,DE-HH,1841179,7.875388541798489,0.5431302442619647
450,2020-03-29,Hamburg,115,1,DE-HH,1841179,6.245997809012595,0.05431302442619648
466,2020-03-30,Hamburg,71,4,DE-HH,1841179,3.8562247342599494,0.21725209770478593
482,2020-03-31,Hamburg,159,8,DE-HH,1841179,8.63577088376524,0.43450419540957186
498,2020-04-01,Hamburg,139,8,DE-HH,1841179,7.5495103952413105,0.43450419540957186
514,2020-04-02,Hamburg,166,14,DE-HH,1841179,9.015962054748615,0.7603823419667506
530,2020-04-03,Hamburg,158,21,DE-HH,1841179,8.581457859339043,1.140573512950126
546,2020-04-04,Hamburg,108,6,DE-HH,1841179,5.865806638029219,0.32587814655717884
562,2020-04-05,Hamburg,108,8,DE-HH,1841179,5.865806638029219,0.43450419540957186
578,2020-04-06,Hamburg,93,11,DE-HH,1841179,5.051111271636272,0.5974432686881612
594,2020-04-07,Hamburg,209,23,DE-HH,1841179,11.351422105075063,1.249199561802519
610,2020-04-08,Hamburg,118,9,DE-HH,1841179,6.408936882291185,0.48881721983576826
626,2020-04-09,Hamburg,113,3,DE-HH,1841179,6.137371760160201,0.16293907327858942
642,2020-04-10,Hamburg,97,1,DE-HH,1841179,5.268363369341058,0.05431302442619648
658,2020-04-11,Hamburg,79,4,DE-HH,1841179,4.2907289296695215,0.21725209770478593
674,2020-04-12,Hamburg,46,8,DE-HH,1841179,2.498399123605038,0.43450419540957186
