index,date,region,absolute_infections,absolute_deaths,region_code,population,infections_(per_100.000),deaths_(per_100.000)
37,2020-02-28,Hessen,1,0,DE-HE,6265809,0.015959631070784314,0.0
53,2020-03-01,Hessen,4,0,DE-HE,6265809,0.06383852428313726,0.0
59,2020-03-02,Hessen,4,0,DE-HE,6265809,0.06383852428313726,0.0
69,2020-03-03,Hessen,4,0,DE-HE,6265809,0.06383852428313726,0.0
80,2020-03-04,Hessen,2,0,DE-HE,6265809,0.03191926214156863,0.0
90,2020-03-05,Hessen,6,0,DE-HE,6265809,0.09575778642470589,0.0
100,2020-03-06,Hessen,1,0,DE-HE,6265809,0.015959631070784314,0.0
110,2020-03-07,Hessen,4,0,DE-HE,6265809,0.06383852428313726,0.0
134,2020-03-09,Hessen,20,0,DE-HE,6265809,0.31919262141568633,0.0
148,2020-03-10,Hessen,16,0,DE-HE,6265809,0.25535409713254903,0.0
164,2020-03-11,Hessen,37,0,DE-HE,6265809,0.5905063496190196,0.0
180,2020-03-12,Hessen,38,0,DE-HE,6265809,0.6064659806898041,0.0
196,2020-03-13,Hessen,79,0,DE-HE,6265809,1.260810854591961,0.0
212,2020-03-14,Hessen,83,1,DE-HE,6265809,1.3246493788750981,0.015959631070784314
228,2020-03-15,Hessen,24,0,DE-HE,6265809,0.38303114569882357,0.0
243,2020-03-16,Hessen,127,1,DE-HE,6265809,2.026873145989608,0.015959631070784314
259,2020-03-17,Hessen,168,1,DE-HE,6265809,2.681218019891765,0.015959631070784314
275,2020-03-18,Hessen,224,1,DE-HE,6265809,3.574957359855687,0.015959631070784314
291,2020-03-19,Hessen,203,1,DE-HE,6265809,3.2398051073692162,0.015959631070784314
307,2020-03-20,Hessen,211,4,DE-HE,6265809,3.3674821559354906,0.06383852428313726
323,2020-03-21,Hessen,135,3,DE-HE,6265809,2.1545501945558825,0.047878893212352946
339,2020-03-22,Hessen,58,1,DE-HE,6265809,0.9256586021054903,0.015959631070784314
355,2020-03-23,Hessen,276,5,DE-HE,6265809,4.404858175536471,0.07979815535392158
371,2020-03-24,Hessen,235,9,DE-HE,6265809,3.750513301634314,0.14363667963705884
387,2020-03-25,Hessen,247,5,DE-HE,6265809,3.9420288744837255,0.07979815535392158
403,2020-03-26,Hessen,302,13,DE-HE,6265809,4.8198085833768625,0.20747520392019608
419,2020-03-27,Hessen,308,16,DE-HE,6265809,4.915566369801569,0.25535409713254903
435,2020-03-28,Hessen,185,8,DE-HE,6265809,2.9525317480950983,0.12767704856627451
451,2020-03-29,Hessen,140,11,DE-HE,6265809,2.234348349909804,0.17555594177862746
467,2020-03-30,Hessen,183,11,DE-HE,6265809,2.9206124859535296,0.17555594177862746
483,2020-03-31,Hessen,254,13,DE-HE,6265809,4.053746291979216,0.20747520392019608
499,2020-04-01,Hessen,329,24,DE-HE,6265809,5.25071862228804,0.38303114569882357
515,2020-04-02,Hessen,267,23,DE-HE,6265809,4.261221495899412,0.3670715146280392
531,2020-04-03,Hessen,250,12,DE-HE,6265809,3.989907767696079,0.19151557284941179
547,2020-04-04,Hessen,224,18,DE-HE,6265809,3.574957359855687,0.2872733592741177
563,2020-04-05,Hessen,91,6,DE-HE,6265809,1.4523264274413727,0.09575778642470589
579,2020-04-06,Hessen,139,21,DE-HE,6265809,2.21838871883902,0.3351522524864706
595,2020-04-07,Hessen,255,18,DE-HE,6265809,4.06970592305,0.2872733592741177
611,2020-04-08,Hessen,303,19,DE-HE,6265809,4.835768214447648,0.30323299034490203
627,2020-04-09,Hessen,292,32,DE-HE,6265809,4.660212272669019,0.5107081942650981
643,2020-04-10,Hessen,156,15,DE-HE,6265809,2.489702447042353,0.23939446606176473
659,2020-04-11,Hessen,150,15,DE-HE,6265809,2.393944660617647,0.23939446606176473
675,2020-04-12,Hessen,99,12,DE-HE,6265809,1.5800034760076471,0.19151557284941179
691,2020-04-13,Hessen,77,11,DE-HE,6265809,1.2288915924503923,0.17555594177862746
707,2020-04-14,Hessen,160,15,DE-HE,6265809,2.5535409713254906,0.23939446606176473
723,2020-04-15,Hessen,227,14,DE-HE,6265809,3.6228362530680394,0.22343483499098044
739,2020-04-16,Hessen,207,15,DE-HE,6265809,3.303643631652353,0.23939446606176473
755,2020-04-17,Hessen,190,10,DE-HE,6265809,3.03232990344902,0.15959631070784316
771,2020-04-18,Hessen,129,12,DE-HE,6265809,2.058792408131177,0.19151557284941179
787,2020-04-19,Hessen,73,10,DE-HE,6265809,1.1650530681672548,0.15959631070784316
802,2020-04-20,Hessen,79,8,DE-HE,6265809,1.260810854591961,0.12767704856627451
818,2020-04-21,Hessen,169,9,DE-HE,6265809,2.697177650962549,0.14363667963705884
834,2020-04-22,Hessen,176,12,DE-HE,6265809,2.8088950684580394,0.19151557284941179
850,2020-04-23,Hessen,125,8,DE-HE,6265809,1.9949538838480394,0.12767704856627451
865,2020-04-24,Hessen,102,6,DE-HE,6265809,1.62788236922,0.09575778642470589
881,2020-04-25,Hessen,89,4,DE-HE,6265809,1.420407165299804,0.06383852428313726
897,2020-04-26,Hessen,24,3,DE-HE,6265809,0.38303114569882357,0.047878893212352946
912,2020-04-27,Hessen,68,2,DE-HE,6265809,1.0852549128133335,0.03191926214156863
928,2020-04-28,Hessen,139,4,DE-HE,6265809,2.21838871883902,0.06383852428313726
944,2020-04-29,Hessen,121,1,DE-HE,6265809,1.9311153595649022,0.015959631070784314
960,2020-04-30,Hessen,104,7,DE-HE,6265809,1.6598016313615687,0.11171741749549022
976,2020-05-01,Hessen,79,2,DE-HE,6265809,1.260810854591961,0.03191926214156863
992,2020-05-02,Hessen,40,1,DE-HE,6265809,0.6383852428313727,0.015959631070784314
1008,2020-05-03,Hessen,26,1,DE-HE,6265809,0.41495040784039217,0.015959631070784314
1022,2020-05-04,Hessen,28,3,DE-HE,6265809,0.44686966998196087,0.047878893212352946
1038,2020-05-05,Hessen,90,2,DE-HE,6265809,1.4363667963705884,0.03191926214156863
1054,2020-05-06,Hessen,104,3,DE-HE,6265809,1.6598016313615687,0.047878893212352946
1070,2020-05-07,Hessen,83,4,DE-HE,6265809,1.3246493788750981,0.06383852428313726
1086,2020-05-08,Hessen,86,6,DE-HE,6265809,1.3725282720874512,0.09575778642470589
1101,2020-05-09,Hessen,47,1,DE-HE,6265809,0.7501026603268628,0.015959631070784314
1117,2020-05-10,Hessen,15,0,DE-HE,6265809,0.23939446606176473,0.0
1132,2020-05-11,Hessen,32,3,DE-HE,6265809,0.5107081942650981,0.047878893212352946
1148,2020-05-12,Hessen,82,4,DE-HE,6265809,1.3086897478043138,0.06383852428313726
1164,2020-05-13,Hessen,70,1,DE-HE,6265809,1.117174174954902,0.015959631070784314
1180,2020-05-14,Hessen,46,0,DE-HE,6265809,0.7341430292560784,0.0
1196,2020-05-15,Hessen,69,4,DE-HE,6265809,1.1012145438841177,0.06383852428313726
1212,2020-05-16,Hessen,34,1,DE-HE,6265809,0.5426274564066668,0.015959631070784314
1228,2020-05-17,Hessen,74,2,DE-HE,6265809,1.1810126992380392,0.03191926214156863
1243,2020-05-18,Hessen,61,1,DE-HE,6265809,0.9735374953178433,0.015959631070784314
1256,2020-05-19,Hessen,74,0,DE-HE,6265809,1.1810126992380392,0.0
1272,2020-05-20,Hessen,102,2,DE-HE,6265809,1.62788236922,0.03191926214156863
1288,2020-05-21,Hessen,28,1,DE-HE,6265809,0.44686966998196087,0.015959631070784314
1303,2020-05-22,Hessen,51,0,DE-HE,6265809,0.81394118461,0.0
