index,date,region,absolute_infections,absolute_deaths,region_code,population,infections_(per_100.000),deaths_(per_100.000)
22,2020-02-16,Mecklenburg-Vorpommern,1,0,DE-MV,1609675,0.062124341870253307,0.0
70,2020-03-03,Mecklenburg-Vorpommern,2,0,DE-MV,1609675,0.12424868374050661,0.0
81,2020-03-04,Mecklenburg-Vorpommern,2,0,DE-MV,1609675,0.12424868374050661,0.0
91,2020-03-05,Mecklenburg-Vorpommern,1,0,DE-MV,1609675,0.062124341870253307,0.0
121,2020-03-08,Mecklenburg-Vorpommern,2,0,DE-MV,1609675,0.12424868374050661,0.0
135,2020-03-09,Mecklenburg-Vorpommern,4,0,DE-MV,1609675,0.24849736748101323,0.0
149,2020-03-10,Mecklenburg-Vorpommern,1,0,DE-MV,1609675,0.062124341870253307,0.0
165,2020-03-11,Mecklenburg-Vorpommern,8,0,DE-MV,1609675,0.49699473496202645,0.0
181,2020-03-12,Mecklenburg-Vorpommern,9,0,DE-MV,1609675,0.5591190768322798,0.0
197,2020-03-13,Mecklenburg-Vorpommern,9,0,DE-MV,1609675,0.5591190768322798,0.0
213,2020-03-14,Mecklenburg-Vorpommern,1,0,DE-MV,1609675,0.062124341870253307,0.0
229,2020-03-15,Mecklenburg-Vorpommern,1,0,DE-MV,1609675,0.062124341870253307,0.0
244,2020-03-16,Mecklenburg-Vorpommern,14,0,DE-MV,1609675,0.8697407861835463,0.0
260,2020-03-17,Mecklenburg-Vorpommern,31,0,DE-MV,1609675,1.9258545979778525,0.0
276,2020-03-18,Mecklenburg-Vorpommern,43,0,DE-MV,1609675,2.6713467004208926,0.0
292,2020-03-19,Mecklenburg-Vorpommern,34,0,DE-MV,1609675,2.1122276235886126,0.0
308,2020-03-20,Mecklenburg-Vorpommern,16,0,DE-MV,1609675,0.9939894699240529,0.0
324,2020-03-21,Mecklenburg-Vorpommern,11,0,DE-MV,1609675,0.6833677605727864,0.0
340,2020-03-22,Mecklenburg-Vorpommern,1,0,DE-MV,1609675,0.062124341870253307,0.0
356,2020-03-23,Mecklenburg-Vorpommern,13,0,DE-MV,1609675,0.807616444313293,0.0
372,2020-03-24,Mecklenburg-Vorpommern,37,1,DE-MV,1609675,2.298600649199373,0.062124341870253307
388,2020-03-25,Mecklenburg-Vorpommern,24,1,DE-MV,1609675,1.4909842048860795,0.062124341870253307
404,2020-03-26,Mecklenburg-Vorpommern,24,0,DE-MV,1609675,1.4909842048860795,0.0
420,2020-03-27,Mecklenburg-Vorpommern,42,1,DE-MV,1609675,2.6092223585506393,0.062124341870253307
436,2020-03-28,Mecklenburg-Vorpommern,21,2,DE-MV,1609675,1.3046111792753197,0.12424868374050661
452,2020-03-29,Mecklenburg-Vorpommern,11,0,DE-MV,1609675,0.6833677605727864,0.0
