index,date,region,absolute_infections,absolute_deaths,region_code,population,infections_(per_100.000),deaths_(per_100.000)
15,2020-02-04,Niedersachsen,1,0,DE-NI,7982448,0.012527485302754243,0.0
54,2020-03-01,Niedersachsen,1,0,DE-NI,7982448,0.012527485302754243,0.0
60,2020-03-02,Niedersachsen,2,0,DE-NI,7982448,0.025054970605508486,0.0
71,2020-03-03,Niedersachsen,6,0,DE-NI,7982448,0.07516491181652546,0.0
82,2020-03-04,Niedersachsen,4,0,DE-NI,7982448,0.05010994121101697,0.0
92,2020-03-05,Niedersachsen,6,0,DE-NI,7982448,0.07516491181652546,0.0
101,2020-03-06,Niedersachsen,7,0,DE-NI,7982448,0.0876923971192797,0.0
111,2020-03-07,Niedersachsen,8,0,DE-NI,7982448,0.10021988242203395,0.0
122,2020-03-08,Niedersachsen,4,0,DE-NI,7982448,0.05010994121101697,0.0
136,2020-03-09,Niedersachsen,14,0,DE-NI,7982448,0.1753847942385594,0.0
150,2020-03-10,Niedersachsen,34,1,DE-NI,7982448,0.42593450029364427,0.012527485302754243
166,2020-03-11,Niedersachsen,62,0,DE-NI,7982448,0.776704088770763,0.0
182,2020-03-12,Niedersachsen,68,1,DE-NI,7982448,0.8518690005872885,0.012527485302754243
198,2020-03-13,Niedersachsen,91,0,DE-NI,7982448,1.140001162550636,0.0
214,2020-03-14,Niedersachsen,77,0,DE-NI,7982448,0.9646163683120768,0.0
230,2020-03-15,Niedersachsen,68,1,DE-NI,7982448,0.8518690005872885,0.012527485302754243
245,2020-03-16,Niedersachsen,157,0,DE-NI,7982448,1.966815192532416,0.0
261,2020-03-17,Niedersachsen,176,1,DE-NI,7982448,2.204837413284747,0.012527485302754243
277,2020-03-18,Niedersachsen,271,5,DE-NI,7982448,3.3949485170463993,0.06263742651377122
293,2020-03-19,Niedersachsen,249,2,DE-NI,7982448,3.119343840385807,0.025054970605508486
309,2020-03-20,Niedersachsen,266,7,DE-NI,7982448,3.3323110905326283,0.0876923971192797
325,2020-03-21,Niedersachsen,179,4,DE-NI,7982448,2.2424198691930095,0.05010994121101697
341,2020-03-22,Niedersachsen,108,0,DE-NI,7982448,1.3529684126974582,0.0
357,2020-03-23,Niedersachsen,243,5,DE-NI,7982448,3.044178928569281,0.06263742651377122
373,2020-03-24,Niedersachsen,294,6,DE-NI,7982448,3.6830806790097474,0.07516491181652546
389,2020-03-25,Niedersachsen,377,17,DE-NI,7982448,4.72286195913835,0.21296725014682213
405,2020-03-26,Niedersachsen,373,11,DE-NI,7982448,4.6727520179273325,0.13780233833029668
421,2020-03-27,Niedersachsen,411,36,DE-NI,7982448,5.148796459431994,0.4509894708991527
437,2020-03-28,Niedersachsen,347,25,DE-NI,7982448,4.347037400055722,0.31318713256885605
453,2020-03-29,Niedersachsen,178,16,DE-NI,7982448,2.229892383890255,0.2004397648440679
469,2020-03-30,Niedersachsen,311,21,DE-NI,7982448,3.8960479291565697,0.2630771913578391
485,2020-03-31,Niedersachsen,358,15,DE-NI,7982448,4.484839738386019,0.18791227954131365
501,2020-04-01,Niedersachsen,368,20,DE-NI,7982448,4.610114591413562,0.25054970605508486
517,2020-04-02,Niedersachsen,333,22,DE-NI,7982448,4.1716526058171635,0.27560467666059335
533,2020-04-03,Niedersachsen,388,32,DE-NI,7982448,4.860664297468646,0.4008795296881358
549,2020-04-04,Niedersachsen,223,20,DE-NI,7982448,2.793629222514196,0.25054970605508486
565,2020-04-05,Niedersachsen,142,9,DE-NI,7982448,1.7789029129911023,0.11274736772478818
581,2020-04-06,Niedersachsen,232,26,DE-NI,7982448,2.906376590238984,0.3257146178716103
597,2020-04-07,Niedersachsen,372,19,DE-NI,7982448,4.660224532624578,0.23802222075233062
613,2020-04-08,Niedersachsen,335,26,DE-NI,7982448,4.196707576422671,0.3257146178716103
629,2020-04-09,Niedersachsen,315,18,DE-NI,7982448,3.9461578703675864,0.22549473544957635
645,2020-04-10,Niedersachsen,260,16,DE-NI,7982448,3.2571461787161033,0.2004397648440679
661,2020-04-11,Niedersachsen,128,9,DE-NI,7982448,1.6035181187525431,0.11274736772478818
677,2020-04-12,Niedersachsen,150,12,DE-NI,7982448,1.8791227954131364,0.15032982363305092
693,2020-04-13,Niedersachsen,80,11,DE-NI,7982448,1.0021988242203395,0.13780233833029668
709,2020-04-14,Niedersachsen,166,19,DE-NI,7982448,2.0795625602572043,0.23802222075233062
725,2020-04-15,Niedersachsen,226,21,DE-NI,7982448,2.831211678422459,0.2630771913578391
741,2020-04-16,Niedersachsen,242,11,DE-NI,7982448,3.0316514432665267,0.13780233833029668
757,2020-04-17,Niedersachsen,197,11,DE-NI,7982448,2.4679146046425857,0.13780233833029668
773,2020-04-18,Niedersachsen,142,7,DE-NI,7982448,1.7789029129911023,0.0876923971192797
788,2020-04-19,Niedersachsen,96,9,DE-NI,7982448,1.2026385890644073,0.11274736772478818
804,2020-04-20,Niedersachsen,131,11,DE-NI,7982448,1.6411005746608056,0.13780233833029668
820,2020-04-21,Niedersachsen,163,10,DE-NI,7982448,2.0419801043489416,0.12527485302754243
836,2020-04-22,Niedersachsen,160,7,DE-NI,7982448,2.004397648440679,0.0876923971192797
851,2020-04-23,Niedersachsen,140,12,DE-NI,7982448,1.7538479423855942,0.15032982363305092
867,2020-04-24,Niedersachsen,119,7,DE-NI,7982448,1.4907707510277548,0.0876923971192797
883,2020-04-25,Niedersachsen,67,3,DE-NI,7982448,0.8393415152845343,0.03758245590826273
898,2020-04-26,Niedersachsen,50,2,DE-NI,7982448,0.6263742651377121,0.025054970605508486
914,2020-04-27,Niedersachsen,75,10,DE-NI,7982448,0.9395613977065682,0.12527485302754243
930,2020-04-28,Niedersachsen,101,7,DE-NI,7982448,1.2652760155781786,0.0876923971192797
946,2020-04-29,Niedersachsen,85,8,DE-NI,7982448,1.0648362507341107,0.10021988242203395
962,2020-04-30,Niedersachsen,85,7,DE-NI,7982448,1.0648362507341107,0.0876923971192797
978,2020-05-01,Niedersachsen,39,0,DE-NI,7982448,0.4885719268074155,0.0
994,2020-05-02,Niedersachsen,36,0,DE-NI,7982448,0.4509894708991527,0.0
1009,2020-05-03,Niedersachsen,14,0,DE-NI,7982448,0.1753847942385594,0.0
1024,2020-05-04,Niedersachsen,93,8,DE-NI,7982448,1.1650561331561444,0.10021988242203395
1040,2020-05-05,Niedersachsen,80,6,DE-NI,7982448,1.0021988242203395,0.07516491181652546
1056,2020-05-06,Niedersachsen,94,2,DE-NI,7982448,1.1775836184588988,0.025054970605508486
1072,2020-05-07,Niedersachsen,87,1,DE-NI,7982448,1.089891221339619,0.012527485302754243
1087,2020-05-08,Niedersachsen,74,3,DE-NI,7982448,0.9270339124038139,0.03758245590826273
1103,2020-05-09,Niedersachsen,29,2,DE-NI,7982448,0.363297073779873,0.025054970605508486
