index,date,region,absolute_infections,absolute_deaths,region_code,population,infections_(per_100.000),deaths_(per_100.000)
0,2020-01-02,Nordrhein-Westfalen,1,0,DE-NW,17932651,0.005576420351904468,0.0
1,2020-01-07,Nordrhein-Westfalen,1,0,DE-NW,17932651,0.005576420351904468,0.0
2,2020-01-09,Nordrhein-Westfalen,1,1,DE-NW,17932651,0.005576420351904468,0.005576420351904468
3,2020-01-12,Nordrhein-Westfalen,1,0,DE-NW,17932651,0.005576420351904468,0.0
4,2020-01-14,Nordrhein-Westfalen,1,0,DE-NW,17932651,0.005576420351904468,0.0
7,2020-01-25,Nordrhein-Westfalen,1,0,DE-NW,17932651,0.005576420351904468,0.0
10,2020-01-30,Nordrhein-Westfalen,1,0,DE-NW,17932651,0.005576420351904468,0.0
18,2020-02-10,Nordrhein-Westfalen,1,0,DE-NW,17932651,0.005576420351904468,0.0
21,2020-02-12,Nordrhein-Westfalen,1,0,DE-NW,17932651,0.005576420351904468,0.0
25,2020-02-20,Nordrhein-Westfalen,1,0,DE-NW,17932651,0.005576420351904468,0.0
30,2020-02-26,Nordrhein-Westfalen,3,0,DE-NW,17932651,0.0167292610557134,0.0
33,2020-02-27,Nordrhein-Westfalen,19,0,DE-NW,17932651,0.10595198668618488,0.0
38,2020-02-28,Nordrhein-Westfalen,35,0,DE-NW,17932651,0.19517471231665637,0.0
45,2020-02-29,Nordrhein-Westfalen,15,0,DE-NW,17932651,0.08364630527856702,0.0
55,2020-03-01,Nordrhein-Westfalen,23,0,DE-NW,17932651,0.12825766809380276,0.0
61,2020-03-02,Nordrhein-Westfalen,15,0,DE-NW,17932651,0.08364630527856702,0.0
72,2020-03-03,Nordrhein-Westfalen,29,0,DE-NW,17932651,0.16171619020522957,0.0
83,2020-03-04,Nordrhein-Westfalen,91,1,DE-NW,17932651,0.5074542520233065,0.005576420351904468
93,2020-03-05,Nordrhein-Westfalen,97,0,DE-NW,17932651,0.5409127741347334,0.0
102,2020-03-06,Nordrhein-Westfalen,62,1,DE-NW,17932651,0.345738061818077,0.005576420351904468
112,2020-03-07,Nordrhein-Westfalen,68,3,DE-NW,17932651,0.3791965839295038,0.0167292610557134
123,2020-03-08,Nordrhein-Westfalen,26,0,DE-NW,17932651,0.14498692914951614,0.0
137,2020-03-09,Nordrhein-Westfalen,97,5,DE-NW,17932651,0.5409127741347334,0.027882101759522337
151,2020-03-10,Nordrhein-Westfalen,175,0,DE-NW,17932651,0.9758735615832819,0.0
167,2020-03-11,Nordrhein-Westfalen,202,3,DE-NW,17932651,1.1264369110847026,0.0167292610557134
183,2020-03-12,Nordrhein-Westfalen,285,3,DE-NW,17932651,1.589279800292773,0.0167292610557134
199,2020-03-13,Nordrhein-Westfalen,419,7,DE-NW,17932651,2.336520127447972,0.03903494246333127
215,2020-03-14,Nordrhein-Westfalen,322,3,DE-NW,17932651,1.7956073533132384,0.0167292610557134
231,2020-03-15,Nordrhein-Westfalen,241,6,DE-NW,17932651,1.3439173048089768,0.0334585221114268
246,2020-03-16,Nordrhein-Westfalen,610,11,DE-NW,17932651,3.401616414661725,0.06134062387094914
262,2020-03-17,Nordrhein-Westfalen,907,15,DE-NW,17932651,5.057813259177352,0.08364630527856702
278,2020-03-18,Nordrhein-Westfalen,717,19,DE-NW,17932651,3.998293392315503,0.10595198668618488
294,2020-03-19,Nordrhein-Westfalen,1142,23,DE-NW,17932651,6.368272041874902,0.12825766809380276
310,2020-03-20,Nordrhein-Westfalen,876,20,DE-NW,17932651,4.8849442282683135,0.11152840703808935
326,2020-03-21,Nordrhein-Westfalen,691,16,DE-NW,17932651,3.8533064631659872,0.08922272563047148
342,2020-03-22,Nordrhein-Westfalen,435,22,DE-NW,17932651,2.4257428530784435,0.12268124774189829
358,2020-03-23,Nordrhein-Westfalen,883,26,DE-NW,17932651,4.923979170731645,0.14498692914951614
374,2020-03-24,Nordrhein-Westfalen,798,24,DE-NW,17932651,4.449983440819765,0.1338340884457072
390,2020-03-25,Nordrhein-Westfalen,1036,37,DE-NW,17932651,5.777171484573029,0.20632755302046532
406,2020-03-26,Nordrhein-Westfalen,1044,39,DE-NW,17932651,5.821782847388264,0.21748039372427425
422,2020-03-27,Nordrhein-Westfalen,1100,47,DE-NW,17932651,6.1340623870949145,0.26209175653950995
438,2020-03-28,Nordrhein-Westfalen,749,39,DE-NW,17932651,4.176738843576445,0.21748039372427425
454,2020-03-29,Nordrhein-Westfalen,631,41,DE-NW,17932651,3.5187212420517193,0.22863323442808317
470,2020-03-30,Nordrhein-Westfalen,766,43,DE-NW,17932651,4.271537989558822,0.2397860751318921
486,2020-03-31,Nordrhein-Westfalen,1057,60,DE-NW,17932651,5.894276311963022,0.3345852211142681
502,2020-04-01,Nordrhein-Westfalen,1155,88,DE-NW,17932651,6.440765506449661,0.49072499096759314
518,2020-04-02,Nordrhein-Westfalen,1205,66,DE-NW,17932651,6.7195865240448835,0.36804374322569483
534,2020-04-03,Nordrhein-Westfalen,1057,73,DE-NW,17932651,5.894276311963022,0.4070786856890261
550,2020-04-04,Nordrhein-Westfalen,685,40,DE-NW,17932651,3.81984794105456,0.2230568140761787
566,2020-04-05,Nordrhein-Westfalen,508,48,DE-NW,17932651,2.8328215387674693,0.2676681768914144
582,2020-04-06,Nordrhein-Westfalen,877,73,DE-NW,17932651,4.890520648620218,0.4070786856890261
598,2020-04-07,Nordrhein-Westfalen,914,56,DE-NW,17932651,5.096848201640683,0.3122795397066502
614,2020-04-08,Nordrhein-Westfalen,1046,76,DE-NW,17932651,5.832935688092073,0.42380794674473954
630,2020-04-09,Nordrhein-Westfalen,1013,58,DE-NW,17932651,5.648913816479226,0.32343238041045913
646,2020-04-10,Nordrhein-Westfalen,616,39,DE-NW,17932651,3.4350749367731517,0.21748039372427425
662,2020-04-11,Nordrhein-Westfalen,584,36,DE-NW,17932651,3.256629485512209,0.20075113266856084
678,2020-04-12,Nordrhein-Westfalen,383,31,DE-NW,17932651,2.135768994779411,0.1728690309090385
694,2020-04-13,Nordrhein-Westfalen,294,23,DE-NW,17932651,1.6394675834599133,0.12825766809380276
710,2020-04-14,Nordrhein-Westfalen,519,51,DE-NW,17932651,2.894162162638419,0.28439743794712785
726,2020-04-15,Nordrhein-Westfalen,668,39,DE-NW,17932651,3.7250487950721847,0.21748039372427425
742,2020-04-16,Nordrhein-Westfalen,738,36,DE-NW,17932651,4.115398219705497,0.20075113266856084
758,2020-04-17,Nordrhein-Westfalen,635,35,DE-NW,17932651,3.541026923459337,0.19517471231665637
774,2020-04-18,Nordrhein-Westfalen,467,24,DE-NW,17932651,2.6041883043393863,0.1338340884457072
789,2020-04-19,Nordrhein-Westfalen,339,26,DE-NW,17932651,1.8904064992956144,0.14498692914951614
805,2020-04-20,Nordrhein-Westfalen,554,37,DE-NW,17932651,3.089336874955075,0.20632755302046532
821,2020-04-21,Nordrhein-Westfalen,456,25,DE-NW,17932651,2.5428476804684372,0.1394105087976117
837,2020-04-22,Nordrhein-Westfalen,475,18,DE-NW,17932651,2.648799667154622,0.10037556633428042
852,2020-04-23,Nordrhein-Westfalen,387,14,DE-NW,17932651,2.158074676187029,0.07806988492666254
868,2020-04-24,Nordrhein-Westfalen,332,7,DE-NW,17932651,1.851371556832283,0.03903494246333127
884,2020-04-25,Nordrhein-Westfalen,222,11,DE-NW,17932651,1.2379653181227919,0.06134062387094914
899,2020-04-26,Nordrhein-Westfalen,152,4,DE-NW,17932651,0.8476158934894791,0.02230568140761787
915,2020-04-27,Nordrhein-Westfalen,225,12,DE-NW,17932651,1.2546945791785051,0.0669170442228536
931,2020-04-28,Nordrhein-Westfalen,268,14,DE-NW,17932651,1.4944806543103972,0.07806988492666254
947,2020-04-29,Nordrhein-Westfalen,249,6,DE-NW,17932651,1.3885286676242123,0.0334585221114268
963,2020-04-30,Nordrhein-Westfalen,383,12,DE-NW,17932651,2.135768994779411,0.0669170442228536
979,2020-05-01,Nordrhein-Westfalen,232,12,DE-NW,17932651,1.2937295216418365,0.0669170442228536
995,2020-05-02,Nordrhein-Westfalen,148,5,DE-NW,17932651,0.8253102120818613,0.027882101759522337
1010,2020-05-03,Nordrhein-Westfalen,120,6,DE-NW,17932651,0.6691704422285362,0.0334585221114268
1025,2020-05-04,Nordrhein-Westfalen,172,6,DE-NW,17932651,0.9591443005275684,0.0334585221114268
1041,2020-05-05,Nordrhein-Westfalen,240,9,DE-NW,17932651,1.3383408844570723,0.05018778316714021
1057,2020-05-06,Nordrhein-Westfalen,319,8,DE-NW,17932651,1.7788780922575251,0.04461136281523574
1073,2020-05-07,Nordrhein-Westfalen,320,9,DE-NW,17932651,1.7844545126094296,0.05018778316714021
1088,2020-05-08,Nordrhein-Westfalen,215,4,DE-NW,17932651,1.1989303756594605,0.02230568140761787
1104,2020-05-09,Nordrhein-Westfalen,191,7,DE-NW,17932651,1.0650962872137533,0.03903494246333127
1120,2020-05-10,Nordrhein-Westfalen,104,2,DE-NW,17932651,0.5799477165980645,0.011152840703808935
1135,2020-05-11,Nordrhein-Westfalen,206,3,DE-NW,17932651,1.1487425924923202,0.0167292610557134
1151,2020-05-12,Nordrhein-Westfalen,236,5,DE-NW,17932651,1.3160352030494544,0.027882101759522337
1167,2020-05-13,Nordrhein-Westfalen,211,6,DE-NW,17932651,1.1766246942518426,0.0334585221114268
1183,2020-05-14,Nordrhein-Westfalen,192,4,DE-NW,17932651,1.0706727075656577,0.02230568140761787
1199,2020-05-15,Nordrhein-Westfalen,220,6,DE-NW,17932651,1.226812477418983,0.0334585221114268
1215,2020-05-16,Nordrhein-Westfalen,140,3,DE-NW,17932651,0.7806988492666255,0.0167292610557134
1231,2020-05-17,Nordrhein-Westfalen,90,1,DE-NW,17932651,0.5018778316714021,0.005576420351904468
1245,2020-05-18,Nordrhein-Westfalen,187,3,DE-NW,17932651,1.0427906058061354,0.0167292610557134
1259,2020-05-19,Nordrhein-Westfalen,194,1,DE-NW,17932651,1.0818255482694668,0.005576420351904468
1275,2020-05-20,Nordrhein-Westfalen,159,5,DE-NW,17932651,0.8866508359528104,0.027882101759522337
1290,2020-05-21,Nordrhein-Westfalen,108,0,DE-NW,17932651,0.6022533980056824,0.0
1305,2020-05-22,Nordrhein-Westfalen,96,4,DE-NW,17932651,0.5353363537828288,0.02230568140761787
1320,2020-05-23,Nordrhein-Westfalen,74,0,DE-NW,17932651,0.41265510604093064,0.0
1332,2020-05-24,Nordrhein-Westfalen,56,3,DE-NW,17932651,0.3122795397066502,0.0167292610557134
1346,2020-05-25,Nordrhein-Westfalen,135,4,DE-NW,17932651,0.7528167475071031,0.02230568140761787
1360,2020-05-26,Nordrhein-Westfalen,147,3,DE-NW,17932651,0.8197337917299566,0.0167292610557134
1375,2020-05-27,Nordrhein-Westfalen,139,3,DE-NW,17932651,0.7751224289147209,0.0167292610557134
1389,2020-05-28,Nordrhein-Westfalen,116,4,DE-NW,17932651,0.6468647608209183,0.02230568140761787
1405,2020-05-29,Nordrhein-Westfalen,97,2,DE-NW,17932651,0.5409127741347334,0.011152840703808935
1420,2020-05-30,Nordrhein-Westfalen,84,0,DE-NW,17932651,0.4684193095599753,0.0
1435,2020-05-31,Nordrhein-Westfalen,44,0,DE-NW,17932651,0.24536249548379657,0.0
1446,2020-06-01,Nordrhein-Westfalen,43,1,DE-NW,17932651,0.2397860751318921,0.005576420351904468
1460,2020-06-02,Nordrhein-Westfalen,91,2,DE-NW,17932651,0.5074542520233065,0.011152840703808935
1476,2020-06-03,Nordrhein-Westfalen,120,1,DE-NW,17932651,0.6691704422285362,0.005576420351904468
1490,2020-06-04,Nordrhein-Westfalen,135,1,DE-NW,17932651,0.7528167475071031,0.005576420351904468
1505,2020-06-05,Nordrhein-Westfalen,114,2,DE-NW,17932651,0.6357119201171093,0.011152840703808935
1521,2020-06-06,Nordrhein-Westfalen,95,2,DE-NW,17932651,0.5297599334309244,0.011152840703808935
1534,2020-06-07,Nordrhein-Westfalen,41,0,DE-NW,17932651,0.22863323442808317,0.0
1548,2020-06-08,Nordrhein-Westfalen,85,2,DE-NW,17932651,0.4739957299118797,0.011152840703808935
1563,2020-06-09,Nordrhein-Westfalen,123,1,DE-NW,17932651,0.6858997032842494,0.005576420351904468
1579,2020-06-10,Nordrhein-Westfalen,143,1,DE-NW,17932651,0.7974281103223387,0.005576420351904468
1595,2020-06-11,Nordrhein-Westfalen,71,0,DE-NW,17932651,0.39592584498521716,0.0
1610,2020-06-12,Nordrhein-Westfalen,84,0,DE-NW,17932651,0.4684193095599753,0.0
