index,date,region,absolute_infections,absolute_deaths,region_code,population,infections_(per_100.000),deaths_(per_100.000)
39,2020-02-28,Rheinland-Pfalz,1,0,DE-RP,4084844,0.024480739044134857,0.0
46,2020-02-29,Rheinland-Pfalz,1,0,DE-RP,4084844,0.024480739044134857,0.0
73,2020-03-03,Rheinland-Pfalz,1,0,DE-RP,4084844,0.024480739044134857,0.0
84,2020-03-04,Rheinland-Pfalz,4,0,DE-RP,4084844,0.09792295617653943,0.0
94,2020-03-05,Rheinland-Pfalz,1,0,DE-RP,4084844,0.024480739044134857,0.0
103,2020-03-06,Rheinland-Pfalz,2,0,DE-RP,4084844,0.048961478088269714,0.0
113,2020-03-07,Rheinland-Pfalz,2,0,DE-RP,4084844,0.048961478088269714,0.0
124,2020-03-08,Rheinland-Pfalz,3,0,DE-RP,4084844,0.07344221713240456,0.0
138,2020-03-09,Rheinland-Pfalz,6,0,DE-RP,4084844,0.14688443426480913,0.0
152,2020-03-10,Rheinland-Pfalz,17,0,DE-RP,4084844,0.4161725637502926,0.0
168,2020-03-11,Rheinland-Pfalz,29,0,DE-RP,4084844,0.7099414322799108,0.0
184,2020-03-12,Rheinland-Pfalz,64,0,DE-RP,4084844,1.5667672988246308,0.0
200,2020-03-13,Rheinland-Pfalz,58,0,DE-RP,4084844,1.4198828645598216,0.0
216,2020-03-14,Rheinland-Pfalz,51,0,DE-RP,4084844,1.2485176912508777,0.0
232,2020-03-15,Rheinland-Pfalz,95,1,DE-RP,4084844,2.325670209192811,0.024480739044134857
247,2020-03-16,Rheinland-Pfalz,125,1,DE-RP,4084844,3.060092380516857,0.024480739044134857
263,2020-03-17,Rheinland-Pfalz,168,1,DE-RP,4084844,4.112764159414656,0.024480739044134857
279,2020-03-18,Rheinland-Pfalz,158,1,DE-RP,4084844,3.867956768973307,0.024480739044134857
295,2020-03-19,Rheinland-Pfalz,135,4,DE-RP,4084844,3.304899770958206,0.09792295617653943
311,2020-03-20,Rheinland-Pfalz,180,1,DE-RP,4084844,4.406533027944274,0.024480739044134857
327,2020-03-21,Rheinland-Pfalz,115,2,DE-RP,4084844,2.8152849900755084,0.048961478088269714
343,2020-03-22,Rheinland-Pfalz,142,4,DE-RP,4084844,3.4762649442671494,0.09792295617653943
359,2020-03-23,Rheinland-Pfalz,196,0,DE-RP,4084844,4.798224852650431,0.0
375,2020-03-24,Rheinland-Pfalz,205,4,DE-RP,4084844,5.018551504047646,0.09792295617653943
391,2020-03-25,Rheinland-Pfalz,170,5,DE-RP,4084844,4.161725637502926,0.12240369522067428
407,2020-03-26,Rheinland-Pfalz,215,6,DE-RP,4084844,5.263358894488994,0.14688443426480913
423,2020-03-27,Rheinland-Pfalz,270,6,DE-RP,4084844,6.609799541916412,0.14688443426480913
439,2020-03-28,Rheinland-Pfalz,165,7,DE-RP,4084844,4.0393219422822515,0.171365173308944
455,2020-03-29,Rheinland-Pfalz,142,4,DE-RP,4084844,3.4762649442671494,0.09792295617653943
471,2020-03-30,Rheinland-Pfalz,143,7,DE-RP,4084844,3.500745683311284,0.171365173308944
487,2020-03-31,Rheinland-Pfalz,201,11,DE-RP,4084844,4.9206285478711065,0.2692881294854834
503,2020-04-01,Rheinland-Pfalz,252,9,DE-RP,4084844,6.169146239121984,0.2203266513972137
519,2020-04-02,Rheinland-Pfalz,189,2,DE-RP,4084844,4.626859679341488,0.048961478088269714
535,2020-04-03,Rheinland-Pfalz,214,15,DE-RP,4084844,5.238878155444859,0.3672110856620228
551,2020-04-04,Rheinland-Pfalz,140,4,DE-RP,4084844,3.4273034661788797,0.09792295617653943
567,2020-04-05,Rheinland-Pfalz,105,3,DE-RP,4084844,2.57047759963416,0.07344221713240456
583,2020-04-06,Rheinland-Pfalz,140,9,DE-RP,4084844,3.4273034661788797,0.2203266513972137
599,2020-04-07,Rheinland-Pfalz,180,13,DE-RP,4084844,4.406533027944274,0.31824960757375315
615,2020-04-08,Rheinland-Pfalz,172,11,DE-RP,4084844,4.210687115591195,0.2692881294854834
631,2020-04-09,Rheinland-Pfalz,156,11,DE-RP,4084844,3.8189952908850375,0.2692881294854834
647,2020-04-10,Rheinland-Pfalz,131,7,DE-RP,4084844,3.206976814781666,0.171365173308944
663,2020-04-11,Rheinland-Pfalz,77,6,DE-RP,4084844,1.885016906398384,0.14688443426480913
679,2020-04-12,Rheinland-Pfalz,65,3,DE-RP,4084844,1.5912480378687657,0.07344221713240456
695,2020-04-13,Rheinland-Pfalz,73,4,DE-RP,4084844,1.7870939502218444,0.09792295617653943
711,2020-04-14,Rheinland-Pfalz,100,8,DE-RP,4084844,2.4480739044134854,0.19584591235307885
727,2020-04-15,Rheinland-Pfalz,119,6,DE-RP,4084844,2.9132079462520477,0.14688443426480913
743,2020-04-16,Rheinland-Pfalz,116,7,DE-RP,4084844,2.839765729119643,0.171365173308944
759,2020-04-17,Rheinland-Pfalz,129,7,DE-RP,4084844,3.1580153366933965,0.171365173308944
775,2020-04-18,Rheinland-Pfalz,87,4,DE-RP,4084844,2.1298242968397325,0.09792295617653943
790,2020-04-19,Rheinland-Pfalz,26,1,DE-RP,4084844,0.6364992151475063,0.024480739044134857
806,2020-04-20,Rheinland-Pfalz,35,3,DE-RP,4084844,0.8568258665447199,0.07344221713240456
822,2020-04-21,Rheinland-Pfalz,61,5,DE-RP,4084844,1.4933250816922263,0.12240369522067428
838,2020-04-22,Rheinland-Pfalz,85,8,DE-RP,4084844,2.080862818751463,0.19584591235307885
853,2020-04-23,Rheinland-Pfalz,55,1,DE-RP,4084844,1.346440647427417,0.024480739044134857
869,2020-04-24,Rheinland-Pfalz,62,5,DE-RP,4084844,1.5178058207363612,0.12240369522067428
885,2020-04-25,Rheinland-Pfalz,30,0,DE-RP,4084844,0.7344221713240456,0.0
900,2020-04-26,Rheinland-Pfalz,30,0,DE-RP,4084844,0.7344221713240456,0.0
916,2020-04-27,Rheinland-Pfalz,42,2,DE-RP,4084844,1.028191039853664,0.048961478088269714
932,2020-04-28,Rheinland-Pfalz,31,5,DE-RP,4084844,0.7589029103681806,0.12240369522067428
948,2020-04-29,Rheinland-Pfalz,61,3,DE-RP,4084844,1.4933250816922263,0.07344221713240456
964,2020-04-30,Rheinland-Pfalz,46,1,DE-RP,4084844,1.1261139960302033,0.024480739044134857
980,2020-05-01,Rheinland-Pfalz,39,0,DE-RP,4084844,0.9547488227212594,0.0
996,2020-05-02,Rheinland-Pfalz,20,0,DE-RP,4084844,0.4896147808826971,0.0
1026,2020-05-04,Rheinland-Pfalz,28,3,DE-RP,4084844,0.685460693235776,0.07344221713240456
1042,2020-05-05,Rheinland-Pfalz,32,1,DE-RP,4084844,0.7833836494123154,0.024480739044134857
1058,2020-05-06,Rheinland-Pfalz,30,0,DE-RP,4084844,0.7344221713240456,0.0
1074,2020-05-07,Rheinland-Pfalz,37,3,DE-RP,4084844,0.9057873446329896,0.07344221713240456
1089,2020-05-08,Rheinland-Pfalz,24,0,DE-RP,4084844,0.5875377370592365,0.0
1105,2020-05-09,Rheinland-Pfalz,28,0,DE-RP,4084844,0.685460693235776,0.0
1121,2020-05-10,Rheinland-Pfalz,15,1,DE-RP,4084844,0.3672110856620228,0.024480739044134857
1136,2020-05-11,Rheinland-Pfalz,19,0,DE-RP,4084844,0.4651340418385623,0.0
1152,2020-05-12,Rheinland-Pfalz,21,1,DE-RP,4084844,0.514095519926832,0.024480739044134857
1168,2020-05-13,Rheinland-Pfalz,39,0,DE-RP,4084844,0.9547488227212594,0.0
1184,2020-05-14,Rheinland-Pfalz,30,0,DE-RP,4084844,0.7344221713240456,0.0
1200,2020-05-15,Rheinland-Pfalz,35,1,DE-RP,4084844,0.8568258665447199,0.024480739044134857
1216,2020-05-16,Rheinland-Pfalz,10,0,DE-RP,4084844,0.24480739044134855,0.0
1232,2020-05-17,Rheinland-Pfalz,17,0,DE-RP,4084844,0.4161725637502926,0.0
1246,2020-05-18,Rheinland-Pfalz,19,0,DE-RP,4084844,0.4651340418385623,0.0
1260,2020-05-19,Rheinland-Pfalz,22,0,DE-RP,4084844,0.5385762589709668,0.0
1276,2020-05-20,Rheinland-Pfalz,30,0,DE-RP,4084844,0.7344221713240456,0.0
1291,2020-05-21,Rheinland-Pfalz,6,0,DE-RP,4084844,0.14688443426480913,0.0
1306,2020-05-22,Rheinland-Pfalz,12,0,DE-RP,4084844,0.29376886852961825,0.0
1321,2020-05-23,Rheinland-Pfalz,7,0,DE-RP,4084844,0.171365173308944,0.0
1333,2020-05-24,Rheinland-Pfalz,1,0,DE-RP,4084844,0.024480739044134857,0.0
1347,2020-05-25,Rheinland-Pfalz,11,0,DE-RP,4084844,0.2692881294854834,0.0
1361,2020-05-26,Rheinland-Pfalz,40,0,DE-RP,4084844,0.9792295617653942,0.0
1376,2020-05-27,Rheinland-Pfalz,21,1,DE-RP,4084844,0.514095519926832,0.024480739044134857
1390,2020-05-28,Rheinland-Pfalz,8,0,DE-RP,4084844,0.19584591235307885,0.0
1406,2020-05-29,Rheinland-Pfalz,18,0,DE-RP,4084844,0.4406533027944274,0.0
1421,2020-05-30,Rheinland-Pfalz,11,0,DE-RP,4084844,0.2692881294854834,0.0
1447,2020-06-01,Rheinland-Pfalz,3,0,DE-RP,4084844,0.07344221713240456,0.0
1461,2020-06-02,Rheinland-Pfalz,7,1,DE-RP,4084844,0.171365173308944,0.024480739044134857
1477,2020-06-03,Rheinland-Pfalz,15,1,DE-RP,4084844,0.3672110856620228,0.024480739044134857
1491,2020-06-04,Rheinland-Pfalz,28,0,DE-RP,4084844,0.685460693235776,0.0
1506,2020-06-05,Rheinland-Pfalz,22,0,DE-RP,4084844,0.5385762589709668,0.0
1522,2020-06-06,Rheinland-Pfalz,8,0,DE-RP,4084844,0.19584591235307885,0.0
1535,2020-06-07,Rheinland-Pfalz,1,0,DE-RP,4084844,0.024480739044134857,0.0
1549,2020-06-08,Rheinland-Pfalz,15,0,DE-RP,4084844,0.3672110856620228,0.0
1564,2020-06-09,Rheinland-Pfalz,16,0,DE-RP,4084844,0.3916918247061577,0.0
1580,2020-06-10,Rheinland-Pfalz,7,0,DE-RP,4084844,0.171365173308944,0.0
