index,date,region,absolute_infections,absolute_deaths,region_code,population,infections_(per_100.000),deaths_(per_100.000)
62,2020-03-02,Sachsen,1,0,DE-SN,4077937,0.024522203261109723,0.0
104,2020-03-06,Sachsen,2,0,DE-SN,4077937,0.04904440652221945,0.0
114,2020-03-07,Sachsen,2,0,DE-SN,4077937,0.04904440652221945,0.0
126,2020-03-08,Sachsen,5,0,DE-SN,4077937,0.1226110163055486,0.0
140,2020-03-09,Sachsen,5,0,DE-SN,4077937,0.1226110163055486,0.0
154,2020-03-10,Sachsen,22,0,DE-SN,4077937,0.5394884717444139,0.0
170,2020-03-11,Sachsen,16,0,DE-SN,4077937,0.3923552521777556,0.0
186,2020-03-12,Sachsen,27,0,DE-SN,4077937,0.6620994880499624,0.0
202,2020-03-13,Sachsen,37,1,DE-SN,4077937,0.9073215206610599,0.024522203261109723
218,2020-03-14,Sachsen,34,1,DE-SN,4077937,0.8337549108777306,0.024522203261109723
234,2020-03-15,Sachsen,30,0,DE-SN,4077937,0.7356660978332917,0.0
249,2020-03-16,Sachsen,42,0,DE-SN,4077937,1.0299325369666084,0.0
265,2020-03-17,Sachsen,87,0,DE-SN,4077937,2.133431683716546,0.0
281,2020-03-18,Sachsen,134,0,DE-SN,4077937,3.285975236988703,0.0
297,2020-03-19,Sachsen,155,1,DE-SN,4077937,3.8009415054720073,0.024522203261109723
313,2020-03-20,Sachsen,143,2,DE-SN,4077937,3.5066750663386905,0.04904440652221945
329,2020-03-21,Sachsen,129,1,DE-SN,4077937,3.1633642206831545,0.024522203261109723
345,2020-03-22,Sachsen,52,1,DE-SN,4077937,1.2751545695777056,0.024522203261109723
361,2020-03-23,Sachsen,125,3,DE-SN,4077937,3.0652754076387154,0.07356660978332917
377,2020-03-24,Sachsen,160,7,DE-SN,4077937,3.9235525217775553,0.17165542282776808
393,2020-03-25,Sachsen,181,7,DE-SN,4077937,4.43851879026086,0.17165542282776808
409,2020-03-26,Sachsen,170,4,DE-SN,4077937,4.168774554388653,0.0980888130444389
425,2020-03-27,Sachsen,188,7,DE-SN,4077937,4.610174213088627,0.17165542282776808
