index,date,region_code,relative_humidity_surface,solar_radiation,surface_pressure,temperature_above_ground,total_precipiation,uv_index,wind_speed,region
3,2020-02-13,DE-BY,81.554346,2363012.9499419997,2275361.322811,2.4330530000000294,0.005227000000000001,4.417797,3.6774139999999997,Bayern
57,2020-02-14,DE-BY,84.977489,2219763.8839439997,2294450.845539,4.262258000000031,0.004148,3.712586,4.504508,Bayern
111,2020-02-15,DE-BY,80.861961,4471885.033249,2303373.3973060003,4.002327000000037,1e-05,5.0605519999999995,2.3270150000000003,Bayern
165,2020-02-16,DE-BY,60.833139,1417309.670928,2288621.444865,7.732125999999994,0.00010400000000000001,5.0195099999999995,3.601319,Bayern
219,2020-02-17,DE-BY,76.924236,1188775.891263,2291492.459386,7.663249000000064,0.005979,3.842018,3.896042,Bayern
273,2020-02-18,DE-BY,71.030948,4684769.982323,2305616.7619950003,4.712938000000008,0.001385,5.303236,5.433165,Bayern
327,2020-02-19,DE-BY,76.193136,2242221.7463169997,2296165.421507,2.7996459999999956,0.0052829999999999995,4.515465,5.008552,Bayern
381,2020-02-20,DE-BY,78.69309799999999,1604491.367556,2295682.457071,3.3098810000000185,0.001068,4.20985,3.2923519999999997,Bayern
435,2020-02-21,DE-BY,66.69340799999999,5631760.6342589995,2309216.62037,3.7884970000000635,0.0020510000000000003,7.009993,5.192761,Bayern
489,2020-02-22,DE-BY,57.209070999999994,7167756.002103999,2308437.368266,6.600945000000024,0.000775,8.048061,4.491445,Bayern
543,2020-02-23,DE-BY,74.153979,1573973.5558489999,2293440.6786619998,9.265265,0.00853,4.5195099999999995,8.230143,Bayern
597,2020-02-24,DE-BY,84.494919,558717.1789279999,2290711.1492,5.30720500000001,0.005375,4.9270760000000005,3.8522199999999995,Bayern
651,2020-02-25,DE-BY,80.751379,1317061.960923,2257233.007786,6.204250000000002,0.004723,5.340351999999999,5.066294999999999,Bayern
705,2020-02-26,DE-BY,79.655141,4636539.051662,2250767.3348060003,1.801208000000031,0.005319,6.186533,6.316189,Bayern
759,2020-02-27,DE-BY,79.941348,2558723.044034,2253618.533039,1.222135000000037,0.009826999999999999,6.5981440000000005,5.101208,Bayern
813,2020-02-28,DE-BY,77.18003,3919467.7049660003,2284250.2095959997,1.0132750000000215,0.002888,7.368546,4.619968,Bayern
867,2020-02-29,DE-BY,74.130986,5608246.797559,2256685.6414139997,5.295816000000059,0.00337,7.399952000000001,3.9780580000000003,Bayern
921,2020-03-01,DE-BY,74.595619,5893701.32702,2249901.838173,6.307999000000052,0.002746,8.27064,4.385224,Bayern
