index,date,region_code,relative_humidity_surface,solar_radiation,surface_pressure,temperature_above_ground,total_precipiation,uv_index,wind_speed,region
1,2020-02-13,DE-BE,76.065297,1786373.222902,2408181.7027970003,3.6946330000000103,0.0035229999999999997,4.671329,4.761508999999999,Berlin
55,2020-02-14,DE-BE,93.20614599999999,188050.73601400002,2425379.4300700002,3.819991000000016,0.000322,0.643357,2.29662,Berlin
109,2020-02-15,DE-BE,81.577388,1411348.291084,2434691.0262240004,5.633129000000054,4e-06,4.986014,4.266375,Berlin
163,2020-02-16,DE-BE,59.40955699999999,81840.16297,2402813.153846,11.664425999999992,0.0023239999999999997,4.622378,7.008421,Berlin
217,2020-02-17,DE-BE,62.309206999999994,927161.193182,2414022.65035,9.513694000000044,0.001129,4.93007,6.874067999999999,Berlin
271,2020-02-18,DE-BE,70.38382800000001,3818026.828671,2426222.8986009997,6.860550999999987,0.002352,4.9930069999999995,6.597873,Berlin
325,2020-02-19,DE-BE,80.905857,1589213.6215030001,2418611.515734,5.304482000000007,0.00594,3.4335660000000003,6.232372,Berlin
379,2020-02-20,DE-BE,80.80810100000001,934876.1013989999,2423727.22028,5.065299000000039,0.001446,3.615385,4.85609,Berlin
433,2020-02-21,DE-BE,73.233071,3180871.5646849996,2432057.3006990002,6.034440000000018,0.003988,4.986014,6.8244169999999995,Berlin
487,2020-02-22,DE-BE,63.467890000000004,832595.976836,2421976.4790209997,8.36669500000005,0.00343,4.377622,7.964044,Berlin
541,2020-02-23,DE-BE,83.258186,1270.661024,2406060.555944,6.5969650000000115,0.01659,2.9510490000000003,6.274825,Berlin
595,2020-02-24,DE-BE,79.796093,345297.389642,2415231.012238,5.357723000000021,0.006239,4.090909,5.794522,Berlin
649,2020-02-25,DE-BE,74.395394,3176315.339161,2376131.106643,7.7573430000000485,0.0013210000000000001,5.0069930000000005,5.73514,Berlin
703,2020-02-26,DE-BE,90.96182900000001,807675.34528,2373126.3881119997,2.8190910000000144,0.002376,3.5804199999999997,3.9859269999999998,Berlin
757,2020-02-27,DE-BE,81.454139,3385435.2027970003,2388448.256993,3.455043000000046,0.001732,4.412587,3.3947550000000004,Berlin
811,2020-02-28,DE-BE,75.08135,4230922.45979,2412028.671329,3.8092940000000226,0.001802,5.1118879999999995,4.739219,Berlin
865,2020-02-29,DE-BE,79.086188,2926308.3583919997,2380218.954545,6.822433000000046,0.007568999999999999,5.370629,5.602826,Berlin
919,2020-03-01,DE-BE,72.35463299999999,4178990.7972029997,2377043.482517,6.967341000000033,0.0014609999999999998,6.0979019999999995,5.119959,Berlin
973,2020-03-02,DE-BE,82.526398,1846395.9938810002,2371234.323427,5.928997000000038,0.002366,5.9790209999999995,3.622057,Berlin
1027,2020-03-03,DE-BE,86.788519,98010.405212,2384159.534965,4.695541000000048,0.002902,3.8881120000000005,3.6519809999999997,Berlin
1081,2020-03-04,DE-BE,78.04195899999999,6561092.538462,2408197.592657,4.307875000000024,0.001684,7.083916,3.355536,Berlin
1135,2020-03-05,DE-BE,71.595219,7470545.555944,2391672.326923,5.440674999999999,9.4e-05,9.678322,3.672786,Berlin
1189,2020-03-06,DE-BE,92.30515600000001,683928.99257,2370905.1083919997,5.328327000000002,0.004924,5.0,3.946416,Berlin
1243,2020-03-07,DE-BE,83.997902,2614947.575175,2414428.47028,4.23006700000002,0.0020670000000000003,5.0209790000000005,5.0979019999999995,Berlin
1297,2020-03-08,DE-BE,78.989248,3955450.351399,2422298.284965,5.206762000000026,0.0,8.461538000000001,3.910111,Berlin
1351,2020-03-09,DE-BE,83.79289,990098.97465,2412438.70979,7.005623000000014,0.003827,5.776224,3.072931,Berlin
1405,2020-03-10,DE-BE,89.667916,285835.479349,2398154.386364,6.224093000000039,0.007923000000000001,6.0,5.786597,Berlin
1459,2020-03-11,DE-BE,74.464715,4164214.405594,2404245.152098,9.840934000000004,0.002141,9.587413,5.811131,Berlin
1513,2020-03-12,DE-BE,64.059498,5185372.325175,2398848.795455,9.715383000000031,0.004775,9.167832,7.7479309999999995,Berlin
1567,2020-03-13,DE-BE,68.44595,4649679.496503,2413111.120629,6.205535999999995,0.002403,7.104895,7.384994,Berlin
1621,2020-03-14,DE-BE,60.721270999999994,10751786.559441,2444203.910839,3.5981899999999882,0.0,11.0,2.452914,Berlin
1675,2020-03-15,DE-BE,46.846591,8693902.65035,2434140.7290209997,5.99414500000006,0.0,10.678322,5.323718,Berlin
1729,2020-03-16,DE-BE,54.615152,8790681.916083999,2433163.772727,9.386302999999998,0.0,11.195803999999999,2.991375,Berlin
1783,2020-03-17,DE-BE,68.751922,6093043.108392,2450948.120629,9.359849000000054,0.000713,11.888112,2.6746790000000003,Berlin
1837,2020-03-18,DE-BE,59.645775,6692098.146853,2446554.896853,11.268939999999986,0.0,11.20979,3.838199,Berlin
1891,2020-03-19,DE-BE,73.425291,2206538.677448,2445702.571678,10.495141000000046,4.8e-05,10.384615,3.0590029999999997,Berlin
1945,2020-03-20,DE-BE,69.827331,2558687.9965029997,2448340.8653849997,7.737091000000021,0.00028399999999999996,9.153846000000001,2.95609,Berlin
1999,2020-03-21,DE-BE,59.992803,9273832.230769001,2460583.477273,4.262851000000012,2e-06,12.251748,5.278788,Berlin
2053,2020-03-22,DE-BE,49.677069,11359182.888112,2474526.501748,2.1786109999999894,0.0,14.0,4.033188,Berlin
2107,2020-03-23,DE-BE,44.414249,13145882.678322,2480204.386364,1.627679999999998,0.0,14.0,3.009003,Berlin
2161,2020-03-24,DE-BE,40.86084,13392887.811189,2474693.468531,2.801776000000018,0.0,14.755245,3.309994,Berlin
2215,2020-03-25,DE-BE,37.233304,13545994.377622,2463562.597902,4.313340000000039,0.0,15.86014,4.3744760000000005,Berlin
2269,2020-03-26,DE-BE,39.694144,13211713.034965,2452515.604895,6.231089000000054,0.0,16.776224,4.319376,Berlin
2323,2020-03-27,DE-BE,45.157052,13045340.230769001,2441080.961538,9.851223000000005,0.0,17.0,3.4251169999999997,Berlin
2377,2020-03-28,DE-BE,56.981789,13603475.153846001,2431369.88986,8.441870999999992,0.0,17.0,3.6999419999999996,Berlin
2431,2020-03-29,DE-BE,69.245251,1296333.7194059999,2442106.41958,3.1079540000000065,0.001837,8.146853,5.136189,Berlin
2485,2020-03-30,DE-BE,71.451369,4207435.666084,2449546.416084,0.6199280000000158,0.001761,10.727273,3.692628,Berlin
2539,2020-03-31,DE-BE,61.046125,7105416.111888001,2455619.3513990003,1.8807430000000522,0.000181,15.538461999999999,2.770746,Berlin
2593,2020-04-01,DE-BE,54.089539,11407516.979021,2432258.354895,4.713664000000051,2e-06,17.664336,4.3535260000000005,Berlin
2647,2020-04-02,DE-BE,58.678233999999996,6582630.671329,2410037.7744759996,7.239533999999992,7.000000000000001e-06,15.097902,5.102855,Berlin
2701,2020-04-03,DE-BE,53.228671999999996,7851927.755245,2417217.870629,7.573016000000052,0.000334,17.153845999999998,5.431556,Berlin
2755,2020-04-04,DE-BE,49.915442999999996,6926935.073427,2448089.9405590002,8.14860299999998,3.3e-05,19.0,2.197174,Berlin
2809,2020-04-05,DE-BE,45.841201,15110834.867132999,2455298.6328669996,10.176518000000044,0.0,19.286713,4.40102,Berlin
2863,2020-04-06,DE-BE,39.693269,15884255.888112,2443543.2972029997,13.554337000000032,0.0,20.0,4.329487,Berlin
2917,2020-04-07,DE-BE,50.904051,15251936.811189001,2458189.424825,13.756733000000054,0.0,20.440559,3.3853150000000003,Berlin
2971,2020-04-08,DE-BE,46.087703999999995,15789706.923076998,2449621.704545,14.306032000000016,0.0,21.055944,2.543211,Berlin
3025,2020-04-09,DE-BE,54.449185,10882469.321678,2442187.286713,12.619290000000035,5e-06,21.895104999999997,3.729575,Berlin
3079,2020-04-10,DE-BE,51.398688,13552403.734266,2448410.0576919997,10.271593999999993,0.0,22.041957999999997,2.486509,Berlin
3133,2020-04-11,DE-BE,51.358014000000004,15351609.496503,2448069.286713,9.796737000000007,0.0,22.741259,1.6602860000000002,Berlin
3187,2020-04-12,DE-BE,47.203643,16393541.699301,2421256.627622,14.323080000000004,0.0,23.041957999999997,2.7062939999999998,Berlin
3241,2020-04-13,DE-BE,52.155885999999995,9393074.125874,2420514.9527970003,8.279950999999983,0.001267,20.27972,5.3358099999999995,Berlin
3295,2020-04-14,DE-BE,49.81926,8425198.986014,2437209.743007,6.633272000000034,0.000198,24.468531,4.953001,Berlin
3349,2020-04-15,DE-BE,53.527884,13318276.811189,2436175.832168,9.72333900000001,0.0,20.895104999999997,5.354691000000001,Berlin
3403,2020-04-16,DE-BE,52.068909999999995,15503311.951048998,2425496.305944,12.165763000000027,0.0,24.307692000000003,3.585198,Berlin
3457,2020-04-17,DE-BE,51.291346000000004,16788571.335664,2428871.7604900002,11.722379000000046,0.0,25.0,2.329254,Berlin
3511,2020-04-18,DE-BE,36.394493,18386099.328671,2429951.106643,11.422781000000043,0.0,25.0,3.3927739999999997,Berlin
3565,2020-04-19,DE-BE,38.416317,18496883.65035,2440606.895105,9.690389000000039,0.0,25.0,4.94968,Berlin
3619,2020-04-20,DE-BE,43.797494,18648419.874126002,2448758.65035,10.531965000000014,0.0,25.0,4.701865,Berlin
3673,2020-04-21,DE-BE,44.285461,18524862.951049,2448635.961538,11.76681000000002,0.0,25.566434,5.296533,Berlin
3727,2020-04-22,DE-BE,47.949358000000004,18607629.79021,2447864.646853,13.020954000000017,0.0,27.496503000000004,3.843357,Berlin
3781,2020-04-23,DE-BE,47.098046999999994,18819316.335664,2437613.444056,14.573627999999985,0.0,28.0,2.1147139999999998,Berlin
3835,2020-04-24,DE-BE,46.325815999999996,12780925.874126,2405781.356643,14.58814000000001,0.0,27.706294,4.255012000000001,Berlin
3889,2020-04-25,DE-BE,54.385199,4258017.178322,2410093.762238,11.521853000000021,0.00023199999999999997,24.188810999999998,4.036276,Berlin
3943,2020-04-26,DE-BE,49.537879,6004663.174825,2412445.375874,12.387672000000066,0.000283,28.41958,1.949126,Berlin
3997,2020-04-27,DE-BE,48.228029,16524183.72028,2404710.571678,14.825553000000014,0.0,29.0,2.208829,Berlin
4051,2020-04-28,DE-BE,49.802039,12941981.0,2395217.118881,16.792366000000015,0.000982,28.251748,2.818677,Berlin
4105,2020-04-29,DE-BE,80.26678199999999,4879268.575175,2398050.506993,12.179922000000033,0.005251,18.902098000000002,2.272465,Berlin
4159,2020-04-30,DE-BE,76.482166,3269979.8094409998,2395187.907343,13.655714999999987,0.000596,23.076923,3.627185,Berlin
4213,2020-05-01,DE-BE,64.33566400000001,12981890.104895,2390015.29021,13.20200699999998,0.00085,26.062936999999998,4.205595,Berlin
4267,2020-05-02,DE-BE,79.97089100000001,9975809.461538,2400085.0646849996,10.256466000000046,0.004353,26.06993,3.52264,Berlin
4321,2020-05-03,DE-BE,72.55771899999999,6516338.437063,2424115.536713,10.67150300000003,0.000239,24.034965,3.4985720000000002,Berlin
4375,2020-05-04,DE-BE,81.426339,1889649.395979,2426719.980769,8.965382000000034,0.005018,18.867133,2.122057,Berlin
4429,2020-05-05,DE-BE,70.081817,14618178.062936999,2431154.407343,7.753961000000004,0.001381,28.762238,3.8852269999999995,Berlin
4483,2020-05-06,DE-BE,53.606235999999996,18157465.230769,2437660.7062939997,11.909006000000034,0.0,33.447552,4.726078,Berlin
