index,date,iso3166-2,relative_humidity_surface,solar_radiation,surface_pressure,temperature_above_ground,total_precipiation,uv_index,wind_speed
0,2020-02-13,DE-BB,76.33744399999999,1824290.33235,2403340.782011,3.4015730000000417,0.003355,2.777806,4.542822
54,2020-02-14,DE-BB,92.49224699999999,340598.631015,2420690.100301,3.5882210000000327,0.000759,0.1647,2.010873
108,2020-02-15,DE-BB,81.744497,1360050.407411,2429750.571993,5.3145339999999806,1.1e-05,3.0780819999999998,3.9662699999999997
162,2020-02-16,DE-BB,59.691964,71680.948591,2398150.336179,11.39806900000002,0.002381,2.15064,6.984798
216,2020-02-17,DE-BB,64.189273,900750.37285,2409194.305925,9.162595000000067,0.001005,2.631685,6.319781
270,2020-02-18,DE-BB,71.90463000000001,4042940.094841,2421420.7968240003,6.529468000000065,0.002388,4.037911,6.150824
324,2020-02-19,DE-BB,79.759939,1639041.604883,2413970.93127,5.042659000000015,0.005639,2.7346220000000003,5.5319769999999995
378,2020-02-20,DE-BB,80.749201,1479898.246367,2418812.456628,4.849939000000063,0.001714,2.642229,4.40761
432,2020-02-21,DE-BB,73.943321,3374838.530128,2427199.258599,5.658542000000011,0.0037409999999999995,3.2365049999999997,6.232444999999999
486,2020-02-22,DE-BB,63.869861,908341.952515,2417218.233618,8.058378000000005,0.00233,3.3329150000000003,7.414942
540,2020-02-23,DE-BB,83.19403100000001,3419.046054,2401500.375471,6.5240779999999745,0.014594999999999999,3.0263619999999998,6.116087
594,2020-02-24,DE-BB,80.062149,707353.148388,2410546.895368,5.131586000000027,0.0064269999999999996,3.030128,5.307055
648,2020-02-25,DE-BB,75.394159,3458871.574975,2371364.551783,7.512527000000034,0.002096,4.8541300000000005,5.4202129999999995
702,2020-02-26,DE-BB,88.125721,1182080.973277,2368445.502197,2.950353000000007,0.0038759999999999997,3.266131,3.80635
756,2020-02-27,DE-BB,82.98975899999999,3423350.503232,2383668.429136,2.9118250000000216,0.0017239999999999998,3.885011,3.06661
810,2020-02-28,DE-BB,77.739603,4305668.820864,2407210.053352,3.2660589999999843,0.001449,4.833291,4.299093
864,2020-02-29,DE-BB,79.560579,2900736.8678450002,2375591.602498,6.30308100000002,0.007115000000000001,4.553603,5.320685
918,2020-03-01,DE-BB,73.78609300000001,4293435.485062,2372252.0472009997,6.4602500000000305,0.001053,5.0110470000000005,4.622045
972,2020-03-02,DE-BB,82.75846999999999,1966327.077909,2366659.966859,5.464341999999988,0.0025399999999999997,4.765754,3.036896
1026,2020-03-03,DE-BB,88.325616,148724.57722,2379526.2875349997,4.1632620000000315,0.00375,3.4426309999999996,2.9741299999999997
1080,2020-03-04,DE-BB,80.970087,5735484.226808,2403447.851054,3.660681000000011,0.0009570000000000001,6.109214,3.044389
1134,2020-03-05,DE-BB,73.288751,6975351.833919,2386858.400452,4.971277000000043,0.000285,8.811198,3.262604
1188,2020-03-06,DE-BB,88.77551899999999,955978.60095,2366954.295255,4.9390560000000505,0.0052640000000000004,4.546573,3.6707370000000004
1242,2020-03-07,DE-BB,84.642065,2370403.397345,2409831.365993,4.08540499999998,0.00245,4.817725,4.521953
1296,2020-03-08,DE-BB,78.583378,4456373.386016,2417359.855825,5.201976999999999,5e-06,6.217675,3.4498900000000003
1350,2020-03-09,DE-BB,84.02995,1394872.406358,2407796.073186,6.690674000000058,0.003549,5.090133,2.766725
1404,2020-03-10,DE-BB,88.73896500000001,455603.729859,2393542.288099,6.1075720000000615,0.007871,5.539041,5.356882
1458,2020-03-11,DE-BB,75.270234,3960080.887616,2399572.965039,9.535521000000017,0.0026219999999999998,8.289228999999999,5.314865
1512,2020-03-12,DE-BB,66.222424,5350144.087433999,2394222.352937,9.188356999999996,0.004567,7.405975,7.10486
1566,2020-03-13,DE-BB,70.70650400000001,5289576.4520459995,2408450.745041,5.682954999999993,0.0018809999999999999,6.751444,6.6953320000000005
