index,date,region_code,relative_humidity_surface,solar_radiation,surface_pressure,temperature_above_ground,total_precipiation,uv_index,wind_speed,region
7,2020-02-13,DE-MV,81.246496,2115141.10456,2407069.641877,3.205814000000032,0.002628,2.02164,4.910115,Mecklenburg-Vorpommern
61,2020-02-14,DE-MV,90.76779499999999,1387902.0716459998,2428617.86879,3.3608140000000617,0.000521,1.166717,1.77613,Mecklenburg-Vorpommern
115,2020-02-15,DE-MV,80.426192,1500811.648278,2430373.589607,6.133045000000038,6.500000000000001e-05,2.712283,4.998651000000001,Mecklenburg-Vorpommern
169,2020-02-16,DE-MV,69.818665,45624.242306,2392858.416184,11.144049000000052,0.004640999999999999,0.211216,7.888859,Mecklenburg-Vorpommern
223,2020-02-17,DE-MV,66.23200899999999,2787734.0064580003,2408404.8089,8.142117000000042,0.001263,4.251448,7.232292999999999,Mecklenburg-Vorpommern
277,2020-02-18,DE-MV,76.107405,4205696.517144,2421167.019125,6.131951000000015,0.002487,1.8661990000000002,6.622201,Mecklenburg-Vorpommern
331,2020-02-19,DE-MV,81.333444,2413389.283107,2416154.474398,5.2307160000000295,0.004261,2.896068,5.995393,Mecklenburg-Vorpommern
385,2020-02-20,DE-MV,87.168346,487558.09942700004,2419479.3546169996,4.669583999999986,0.0039759999999999995,0.819262,5.254581,Mecklenburg-Vorpommern
439,2020-02-21,DE-MV,78.477082,4009606.301318,2428428.390354,5.763436000000013,0.002512,2.998781,6.934083,Mecklenburg-Vorpommern
493,2020-02-22,DE-MV,72.74830899999999,102339.277752,2414388.443386,7.469112999999993,0.002971,1.042975,8.591076,Mecklenburg-Vorpommern
547,2020-02-23,DE-MV,81.418141,34272.202808999995,2405039.17388,5.132306000000028,0.008165,2.428223,6.582761,Mecklenburg-Vorpommern
601,2020-02-24,DE-MV,83.44110699999999,1090400.293208,2413171.692396,4.920418000000041,0.007487000000000001,2.1594029999999997,5.470791,Mecklenburg-Vorpommern
