index,date,region_code,relative_humidity_surface,solar_radiation,surface_pressure,temperature_above_ground,total_precipiation,uv_index,wind_speed,region
8,2020-02-13,DE-NI,87.179525,60634.84104,2391909.217105,2.721952999999985,0.007431,1.937668,4.307425,Niedersachsen
62,2020-02-14,DE-NI,86.996504,824224.9398640001,2419371.311404,5.095692000000042,0.000681,1.112356,2.924893,Niedersachsen
116,2020-02-15,DE-NI,74.627255,2436644.610334,2416637.833333,8.006437000000062,0.000246,3.089948,5.7832040000000005,Niedersachsen
170,2020-02-16,DE-NI,70.159924,155358.763022,2382696.285088,12.237283000000048,0.008062999999999999,1.714376,9.269395,Niedersachsen
224,2020-02-17,DE-NI,71.63832099999999,2827433.817914,2402500.169956,7.572361000000001,0.002444,4.252012000000001,7.580417,Niedersachsen
278,2020-02-18,DE-NI,76.476773,4204908.077851,2416821.533991,6.22893700000003,0.004055,3.8433010000000003,7.290762,Niedersachsen
332,2020-02-19,DE-NI,80.279185,3348160.011239,2413550.358004,4.876781000000051,0.0050420000000000005,3.2766290000000002,6.110318,Niedersachsen
386,2020-02-20,DE-NI,84.49665,274146.056401,2407866.503289,6.076264000000037,0.0067079999999999996,2.4683599999999997,6.045674,Niedersachsen
440,2020-02-21,DE-NI,75.808251,2035300.216968,2426326.139254,5.945464000000015,0.0013650000000000001,3.259271,7.1820330000000006,Niedersachsen
494,2020-02-22,DE-NI,72.298546,496951.2046,2413630.339912,7.929498000000024,0.004814,2.8278369999999997,8.974083,Niedersachsen
548,2020-02-23,DE-NI,85.394269,3013.198042,2404558.783443,6.341775999999982,0.018432,2.848035,6.570009,Niedersachsen
602,2020-02-24,DE-NI,85.83796,139639.67159100002,2405165.913925,5.471259000000032,0.009883,3.744674,5.675518,Niedersachsen
656,2020-02-25,DE-NI,74.836292,5048511.036184,2368609.961623,6.250107000000014,0.002232,5.538741,7.150778,Niedersachsen
710,2020-02-26,DE-NI,88.170288,2152842.672697,2369826.363487,2.8645200000000273,0.004654,4.283257,3.8044019999999996,Niedersachsen
764,2020-02-27,DE-NI,85.512553,977733.622567,2381925.310307,2.6935789999999997,0.0023539999999999998,4.656146,3.442303,Niedersachsen
818,2020-02-28,DE-NI,79.20559399999999,4036267.6502190004,2403796.8327849996,3.7367000000000417,0.0052369999999999995,5.296828,5.400403,Niedersachsen
872,2020-02-29,DE-NI,78.009799,3416796.378838,2361353.535636,7.6729910000000245,0.004377000000000001,5.580401,6.748639999999999,Niedersachsen
926,2020-03-01,DE-NI,68.69981899999999,4281495.817982,2361127.456689,6.250206000000048,0.002344,5.264321,6.06579,Niedersachsen
980,2020-03-02,DE-NI,78.72458,2503429.630688,2360141.004386,6.098092000000008,0.003914,5.227237000000001,3.184054,Niedersachsen
1034,2020-03-03,DE-NI,81.437349,4829445.133498,2381525.8640349996,4.9754970000000185,0.003657,5.697175,3.50461,Niedersachsen
1088,2020-03-04,DE-NI,87.035818,3057380.583607,2400248.285088,3.6458170000000223,0.001371,4.870601000000001,2.845434,Niedersachsen
1142,2020-03-05,DE-NI,78.469043,4011155.429825,2376608.858004,4.9879190000000335,0.002353,6.164747,3.616195,Niedersachsen
1196,2020-03-06,DE-NI,90.143897,41778.576070999996,2368459.718202,4.165644000000043,0.010749,4.135711,4.698517,Niedersachsen
1250,2020-03-07,DE-NI,77.18139000000001,3528475.8366230004,2414228.723136,5.171789000000047,0.000534,6.210668,4.050517,Niedersachsen
1304,2020-03-08,DE-NI,76.13758399999999,1961735.264254,2406051.1123900004,8.007066000000066,0.0014140000000000001,5.38646,5.216876,Niedersachsen
1358,2020-03-09,DE-NI,80.032474,4470836.807566,2404020.611294,7.522506000000021,0.002362,6.3569510000000005,4.127553,Niedersachsen
1412,2020-03-10,DE-NI,89.35467,209178.57671700002,2384444.632127,8.306594000000018,0.011422,4.807638,6.788138000000001,Niedersachsen
1466,2020-03-11,DE-NI,76.418353,3520863.418243,2398058.768092,9.923927000000049,0.003256,8.039924000000001,5.348492,Niedersachsen
1520,2020-03-12,DE-NI,67.755009,7302990.910088001,2392632.449561,8.204002000000003,0.004935,9.454474000000001,8.515958,Niedersachsen
1574,2020-03-13,DE-NI,77.140582,4444656.821272,2410439.050439,5.384951999999998,0.003933,7.381726,6.657045,Niedersachsen
1628,2020-03-14,DE-NI,72.62471500000001,6944681.112389999,2431142.773575,4.215977000000009,2.5e-05,9.667508,3.068403,Niedersachsen
1682,2020-03-15,DE-NI,63.107565,4066187.099507,2414639.183114,9.115972999999997,7.4e-05,7.797696000000001,5.206632,Niedersachsen
1736,2020-03-16,DE-NI,70.13952900000001,7120953.4067979995,2425796.669408,9.135199999999998,8.9e-05,8.834938000000001,2.708805,Niedersachsen
1790,2020-03-17,DE-NI,68.774683,7493286.981360001,2444394.776316,8.723500000000001,0.000407,9.16238,3.568829,Niedersachsen
1844,2020-03-18,DE-NI,65.02974499999999,4231224.390428,2438595.361842,10.569277999999997,0.000242,8.507653,4.537097,Niedersachsen
1898,2020-03-19,DE-NI,80.700848,2567136.085526,2441197.9873900004,8.700445000000059,0.000277,7.013255,2.5241540000000002,Niedersachsen
1952,2020-03-20,DE-NI,76.262116,1017253.767441,2445459.668311,6.394768000000056,0.001213,7.149913000000001,3.512826,Niedersachsen
