index,date,region_code,relative_humidity_surface,solar_radiation,surface_pressure,temperature_above_ground,total_precipiation,uv_index,wind_speed,region
10,2020-02-13,DE-RP,89.927054,765036.315103,2326436.248215,2.9071970000000533,0.006326,3.7128120000000004,4.820924,Rheinland-Pfalz
64,2020-02-14,DE-RP,83.97186500000001,1257506.689459,2356881.0074380003,5.431289000000049,0.000715,3.225307,4.144386,Rheinland-Pfalz
118,2020-02-15,DE-RP,80.347102,4044580.7261010003,2357504.604621,6.141733000000045,7.900000000000001e-05,5.408171,3.8419339999999997,Rheinland-Pfalz
172,2020-02-16,DE-RP,62.079962,2202728.4363349997,2335395.07735,12.080356000000052,0.0046159999999999994,5.547005,8.292641999999999,Rheinland-Pfalz
226,2020-02-17,DE-RP,82.825281,507557.93178199994,2348892.063963,6.6646089999999845,0.0059770000000000005,4.246331,5.8144800000000005,Rheinland-Pfalz
280,2020-02-18,DE-RP,77.36768000000001,3143448.0961419996,2364367.7878819997,5.228825000000029,0.001644,3.977787,6.222789,Rheinland-Pfalz
334,2020-02-19,DE-RP,76.26004,4486802.019437,2357036.199028,4.267307000000017,0.005442,5.554939,5.8514610000000005,Rheinland-Pfalz
388,2020-02-20,DE-RP,82.4481,1526039.485968,2352007.7441490004,5.834130000000016,0.004017,4.036493,6.173808,Rheinland-Pfalz
442,2020-02-21,DE-RP,75.056461,3344991.572194,2372561.535006,3.9938510000000065,8.4e-05,5.368108,5.193176,Rheinland-Pfalz
496,2020-02-22,DE-RP,73.77809599999999,3983148.6991769997,2367013.2275880002,6.206365000000005,0.001354,5.9373260000000005,6.681905,Rheinland-Pfalz
550,2020-02-23,DE-RP,86.755364,109366.529451,2354815.059004,8.912114000000031,0.007384999999999999,4.02142,8.554511999999999,Rheinland-Pfalz
604,2020-02-24,DE-RP,87.068423,49452.939857,2348215.095696,6.902958000000012,0.004557,3.9397059999999997,4.815265,Rheinland-Pfalz
658,2020-02-25,DE-RP,83.256729,2775848.532933,2314031.481952,6.480970000000013,0.007663,5.576755,6.180471,Rheinland-Pfalz
712,2020-02-26,DE-RP,82.268321,2232595.064756,2313037.8875450003,2.1217720000000213,0.0037990000000000003,4.810393,6.187591,Rheinland-Pfalz
766,2020-02-27,DE-RP,89.982954,86298.970124,2313741.450714,1.1541760000000068,0.015441999999999999,4.690996,4.724309,Rheinland-Pfalz
820,2020-02-28,DE-RP,77.58709499999999,5470363.807418,2343791.7975009996,2.7354910000000245,0.0014140000000000001,7.903213,4.601767,Rheinland-Pfalz
874,2020-02-29,DE-RP,79.502515,2929368.422005,2305919.820904,7.159298000000035,0.004684000000000001,8.211424000000001,6.070967,Rheinland-Pfalz
928,2020-03-01,DE-RP,77.963627,2930393.5596990003,2301032.954582,6.074952000000053,0.010027,6.927410000000001,6.235429,Rheinland-Pfalz
