index,date,region_code,relative_humidity_surface,solar_radiation,surface_pressure,temperature_above_ground,total_precipiation,uv_index,wind_speed,region
12,2020-02-13,DE-SL,88.784533,910951.307065,2330070.100543,3.3924410000000194,0.00758,4.013587,5.792912,Saarland
66,2020-02-14,DE-SL,86.623994,1159753.789742,2360819.6616849997,5.937704000000053,0.001261,3.538043,4.77603,Saarland
120,2020-02-15,DE-SL,80.994812,4552454.992527,2361113.618207,6.44208500000002,2e-05,5.184783,3.768818,Saarland
174,2020-02-16,DE-SL,64.712737,3236937.27038,2341198.287364,11.684954000000005,0.003256,6.076087,8.459715,Saarland
228,2020-02-17,DE-SL,88.192335,309264.677968,2353728.08288,6.4889610000000175,0.011262000000000001,4.029891,6.242844,Saarland
282,2020-02-18,DE-SL,78.974003,2289971.460598,2369592.502038,5.240715000000023,0.001888,4.078804,6.9227240000000005,Saarland
336,2020-02-19,DE-SL,78.645607,4714542.198369999,2361983.222147,4.465431000000024,0.007243,5.701087,6.501268,Saarland
390,2020-02-20,DE-SL,84.993862,1981491.1379080003,2356942.725543,5.797816000000012,0.0038439999999999998,4.529891,7.0624210000000005,Saarland
444,2020-02-21,DE-SL,77.167698,2788752.040761,2377315.852582,4.083979999999997,2.8000000000000003e-05,5.752717,5.245822,Saarland
498,2020-02-22,DE-SL,74.668081,6065723.5910330005,2373208.3444290003,6.062872000000027,0.000609,7.809783,7.091417,Saarland
552,2020-02-23,DE-SL,90.79508299999999,99578.91465,2361813.121603,8.933596000000023,0.00788,4.0,9.662772,Saarland
606,2020-02-24,DE-SL,89.469314,39634.695588,2352559.821332,7.496547000000021,0.004242,3.5706519999999995,5.506386,Saarland
660,2020-02-25,DE-SL,88.49556,2071990.826936,2319086.193614,6.113925999999992,0.014504,5.0434779999999995,7.207609,Saarland
714,2020-02-26,DE-SL,84.924162,3063424.347826,2318891.888587,1.9617430000000127,0.003811,5.130434999999999,6.777695,Saarland
768,2020-02-27,DE-SL,91.917503,24134.484847,2316544.5149459997,1.1323480000000359,0.015113999999999999,5.0190220000000005,5.726585,Saarland
822,2020-02-28,DE-SL,73.167062,6530871.6779889995,2347503.173234,3.604287999999997,0.000291,8.682065,4.818127,Saarland
876,2020-02-29,DE-SL,80.28590200000001,2908168.805027,2310022.438859,7.368034000000023,0.006966,9.095108999999999,7.146342999999999,Saarland
930,2020-03-01,DE-SL,80.523052,2266049.942255,2304821.938859,6.208356999999978,0.0113,6.570652000000001,7.596773,Saarland
984,2020-03-02,DE-SL,90.0574,3124076.275136,2293702.983016,4.5080990000000725,0.011149,5.6875,3.6637,Saarland
1038,2020-03-03,DE-SL,86.976776,4866884.600543,2322917.925272,2.6340569999999843,0.001779,6.353261,4.19683,Saarland
1092,2020-03-04,DE-SL,87.839729,2704870.396739,2338381.045516,3.259749000000056,0.001541,5.983696,3.3624089999999995,Saarland
1146,2020-03-05,DE-SL,95.29155,3029.062416,2298738.6148099997,5.582362000000046,0.021899000000000002,5.127717,4.582428,Saarland
1200,2020-03-06,DE-SL,90.652855,535767.678371,2308525.5163040003,4.322044000000005,0.010719,5.336957,6.731827,Saarland
1254,2020-03-07,DE-SL,77.20760899999999,4941851.817935,2355453.5835599997,4.443168000000014,0.001275,7.3315220000000005,3.671875,Saarland
1308,2020-03-08,DE-SL,78.529075,1900674.930707,2348627.056386,6.9670300000000225,0.0031379999999999997,6.899457000000001,5.30428,Saarland
1362,2020-03-09,DE-SL,85.63047900000001,2787169.9116849997,2347029.057745,5.83674400000001,0.0025399999999999997,9.331522,4.635394,Saarland
1416,2020-03-10,DE-SL,95.894018,1124.661674,2340942.081522,7.304755,0.016344,6.0815220000000005,8.058809,Saarland
1470,2020-03-11,DE-SL,84.94111099999999,843446.009171,2348537.006114,11.970234000000005,0.002419,6.88587,8.30214,Saarland
1524,2020-03-12,DE-SL,82.277524,2525056.141984,2345407.522418,8.90945499999998,0.002779,7.095109,7.3579479999999995,Saarland
1578,2020-03-13,DE-SL,71.779404,4187423.8451089994,2359152.2914400003,5.4912029999999845,0.00037799999999999997,9.603261,5.44837,Saarland
1632,2020-03-14,DE-SL,74.981601,5348736.694293,2360719.785326,5.3115060000000085,0.000938,10.921196,1.9950970000000001,Saarland
1686,2020-03-15,DE-SL,60.790115,8711746.565217,2349872.834239,8.637016000000017,2e-06,13.535326000000001,3.021377,Saarland
1740,2020-03-16,DE-SL,66.884895,9651543.649457,2359177.634511,10.471589999999992,1e-06,14.377717,2.774411,Saarland
1794,2020-03-17,DE-SL,77.25268299999999,5346760.328804,2380309.930027,10.54974900000002,4.2e-05,12.649457,2.264414,Saarland
1848,2020-03-18,DE-SL,76.880162,5835222.457880001,2376776.200408,9.58180299999998,0.000176,13.559783,1.6033629999999999,Saarland
1902,2020-03-19,DE-SL,67.926642,6167424.845109,2367644.444293,10.69133800000003,5e-06,16.970109,1.872611,Saarland
1956,2020-03-20,DE-SL,69.869111,7962417.168478,2361225.85462,11.062374000000034,0.00049,17.0,3.930186,Saarland
2010,2020-03-21,DE-SL,83.093046,145976.4223,2362633.152853,4.0172790000000305,0.007508,8.657608999999999,7.57825,Saarland
2064,2020-03-22,DE-SL,49.841158,14974055.396739002,2371883.330163,3.8125330000000304,0.0,17.206522,8.819271,Saarland
2118,2020-03-23,DE-SL,39.10051,15383010.326087,2381081.112092,2.8303339999999935,0.0,17.883152,7.2619679999999995,Saarland
2172,2020-03-24,DE-SL,36.419644,15459078.747282999,2377992.360734,3.3580630000000156,0.0,18.0,5.847079,Saarland
2226,2020-03-25,DE-SL,35.008719,15680148.567935001,2363765.4225540003,3.8256339999999796,0.0,18.209239,6.275713,Saarland
2280,2020-03-26,DE-SL,46.488678,15030421.76087,2352929.241168,4.306261000000006,0.0,18.839674,6.077582,Saarland
2334,2020-03-27,DE-SL,54.909579,14971239.548913,2349342.6100540003,7.729948000000036,0.0,19.0,3.9684779999999997,Saarland
