index,date,region_code,relative_humidity_surface,solar_radiation,surface_pressure,temperature_above_ground,total_precipiation,uv_index,wind_speed,region
14,2020-02-13,DE-ST,80.708839,416147.902607,2385273.834958,2.935706000000039,0.004409000000000001,2.1033470000000003,4.396736,Sachsen-Anhalt
68,2020-02-14,DE-ST,87.509912,1794070.701625,2405792.59875,4.779194000000018,0.00106,1.620816,2.8253340000000002,Sachsen-Anhalt
122,2020-02-15,DE-ST,76.490605,2621737.413893,2411977.025561,6.238166000000035,1.9e-05,3.3571169999999997,4.241414,Sachsen-Anhalt
176,2020-02-16,DE-ST,57.338917,388159.918963,2381671.737128,12.636517000000026,0.002473,1.867966,7.735612,Sachsen-Anhalt
230,2020-02-17,DE-ST,67.164436,621975.257942,2395040.7825490003,8.457626000000005,0.001602,2.2596540000000003,6.182969,Sachsen-Anhalt
284,2020-02-18,DE-ST,71.24211,4710643.543582,2407932.501563,6.406586000000004,0.001638,4.363001000000001,6.5034220000000005,Sachsen-Anhalt
338,2020-02-19,DE-ST,74.637888,2692556.908146,2400936.6141959997,5.190385000000049,0.004746,3.7955129999999997,5.902899,Sachsen-Anhalt
392,2020-02-20,DE-ST,78.75840500000001,480441.032707,2401720.5537880003,5.13343500000002,0.002932,2.917617,4.5991919999999995,Sachsen-Anhalt
446,2020-02-21,DE-ST,69.380046,2396042.478577,2415212.8635529997,5.878844000000015,0.001641,3.983818,6.534671,Sachsen-Anhalt
500,2020-02-22,DE-ST,62.886379000000005,1453255.773785,2404827.1995220003,8.356853999999998,0.0023190000000000003,3.686282,7.628753999999999,Sachsen-Anhalt
554,2020-02-23,DE-ST,82.31885600000001,462.80814000000004,2390085.98253,7.5647370000000365,0.016198,3.0452369999999997,6.924205000000001,Sachsen-Anhalt
608,2020-02-24,DE-ST,77.766733,997897.4694219999,2396350.135252,5.378791000000035,0.004947,3.766826,5.3901069999999995,Sachsen-Anhalt
662,2020-02-25,DE-ST,71.527648,3851346.6950169997,2357741.579533,7.757947000000058,0.003165,5.862817,5.635729,Sachsen-Anhalt
716,2020-02-26,DE-ST,85.445799,1686148.1087719998,2355169.719106,2.9651529999999866,0.004493,3.682972,4.17045,Sachsen-Anhalt
770,2020-02-27,DE-ST,79.44118,1768213.751988,2368474.488875,3.122971000000007,0.001812,4.05811,3.271255,Sachsen-Anhalt
824,2020-02-28,DE-ST,74.604035,4419508.1065650005,2393249.8166610003,3.6655830000000265,0.001977,5.789261,4.997769,Sachsen-Anhalt
878,2020-02-29,DE-ST,78.43668100000001,3792534.60068,2357990.346451,6.934429000000023,0.004763,4.859507,5.716857,Sachsen-Anhalt
932,2020-03-01,DE-ST,68.77883,4753447.515999,2354994.292111,6.653953000000001,0.002165,4.589555000000001,4.761014,Sachsen-Anhalt
986,2020-03-02,DE-ST,74.38649000000001,5029134.227565,2349024.7968,6.557593999999995,0.002463,6.88231,3.452001,Sachsen-Anhalt
1040,2020-03-03,DE-ST,79.675593,964205.5678770001,2366127.29772,4.6247960000000035,0.00298,3.982714,3.300184,Sachsen-Anhalt
1094,2020-03-04,DE-ST,80.554183,4610523.515861,2388270.648952,3.5110970000000634,0.0005139999999999999,6.089371,3.222887,Sachsen-Anhalt
1148,2020-03-05,DE-ST,72.024324,5590420.272711,2366466.687477,5.151866000000041,0.001748,6.007723,3.5303739999999997,Sachsen-Anhalt
1202,2020-03-06,DE-ST,89.22179399999999,1087589.547848,2349632.343417,5.17196899999999,0.007714,4.436925,3.764734,Sachsen-Anhalt
1256,2020-03-07,DE-ST,78.60156500000001,3630759.608542,2398384.8006619997,4.5065400000000295,0.0016899999999999999,6.126885,4.633724,Sachsen-Anhalt
1310,2020-03-08,DE-ST,73.718191,4582502.967543,2399730.075487,6.309039000000041,4e-05,5.304524,3.8784949999999996,Sachsen-Anhalt
1364,2020-03-09,DE-ST,77.66686800000001,4661130.248759,2392394.680121,7.396024000000068,0.002865,6.132402,3.323468,Sachsen-Anhalt
1418,2020-03-10,DE-ST,84.63760699999999,134273.019819,2377943.1902349996,7.014332000000024,0.007103,5.0996690000000005,5.927944999999999,Sachsen-Anhalt
1472,2020-03-11,DE-ST,77.79656,2533591.139022,2386600.432604,10.152467000000001,0.004214,6.266274,4.850674,Sachsen-Anhalt
1526,2020-03-12,DE-ST,63.028943000000005,6030577.231243,2381730.0548,9.582896000000005,0.0030510000000000003,8.264435,7.273835000000001,Sachsen-Anhalt
