index,date,region_code,relative_humidity_surface,solar_radiation,surface_pressure,temperature_above_ground,total_precipiation,uv_index,wind_speed,region
11,2020-02-13,DE-SH,88.33686999999999,523403.754369,2406366.3522119997,2.8394700000000626,0.004933,1.525916,4.786011,Schleswig-Holstein
65,2020-02-14,DE-SH,87.943697,526568.5161,2432635.617851,4.142078000000026,0.00038199999999999996,0.9897229999999999,2.34213,Schleswig-Holstein
119,2020-02-15,DE-SH,81.388508,1152649.00965,2425773.260612,7.62509,0.0014039999999999999,0.987489,6.5418400000000005,Schleswig-Holstein
173,2020-02-16,DE-SH,80.603193,22382.621279,2386873.664991,10.697620000000029,0.012884999999999999,0.064343,9.331656,Schleswig-Holstein
227,2020-02-17,DE-SH,73.876024,4380567.921023,2407204.167113,7.50040800000005,0.002424,3.885165,9.280466,Schleswig-Holstein
281,2020-02-18,DE-SH,81.56184499999999,3056033.220509,2421803.319482,5.959066000000064,0.00445,2.861483,7.9783919999999995,Schleswig-Holstein
335,2020-02-19,DE-SH,83.79915799999999,3038921.924765,2420074.658512,5.409821000000022,0.004894,3.8990169999999997,6.630302,Schleswig-Holstein
389,2020-02-20,DE-SH,90.721853,74717.762694,2415918.768432,5.579412999999988,0.008514,0.320375,6.602009,Schleswig-Holstein
443,2020-02-21,DE-SH,82.865977,2871144.54485,2431060.4897229997,5.888471000000038,0.002747,1.912422,7.810122,Schleswig-Holstein
497,2020-02-22,DE-SH,80.788555,135570.375477,2414971.154714,7.338388000000009,0.006531,0.899911,10.697647,Schleswig-Holstein
551,2020-02-23,DE-SH,84.057139,1538.502205,2411281.3294240003,5.22714000000002,0.009321,1.7712240000000001,7.618110000000001,Schleswig-Holstein
605,2020-02-24,DE-SH,89.698396,112132.96182899999,2414592.719839,4.733695000000068,0.011502,2.401251,5.398002,Schleswig-Holstein
659,2020-02-25,DE-SH,80.198699,4754685.511841,2372845.020889,5.303426999999999,0.003196,4.058534,9.497247999999999,Schleswig-Holstein
713,2020-02-26,DE-SH,84.92070600000001,4181674.135221,2380299.607015,2.9210480000000416,0.00116,4.761394,3.6368199999999997,Schleswig-Holstein
767,2020-02-27,DE-SH,86.410962,3180734.805518,2393804.984361,2.734593000000018,0.0019420000000000001,4.147453,3.367771,Schleswig-Holstein
821,2020-02-28,DE-SH,79.631934,5305529.55429,2413475.581323,4.381326999999999,0.003023,5.022787999999999,5.514158999999999,Schleswig-Holstein
875,2020-02-29,DE-SH,86.318487,2580991.057473,2370710.0559650003,6.433913000000018,0.010565,4.205094,6.588939,Schleswig-Holstein
929,2020-03-01,DE-SH,74.676938,3526115.9371089996,2370407.351877,5.665618000000052,0.001511,4.082216000000001,7.090056,Schleswig-Holstein
983,2020-03-02,DE-SH,80.32459399999999,3611098.855004,2375466.642426,5.598760000000027,0.001501,4.365952,3.0276099999999997,Schleswig-Holstein
1037,2020-03-03,DE-SH,84.906759,2369597.1159099997,2393680.032507,5.050315000000012,0.005429,4.0719389999999995,2.97201,Schleswig-Holstein
1091,2020-03-04,DE-SH,89.167527,4420861.104613,2411975.318029,3.85853000000003,0.000588,4.613494,3.198082,Schleswig-Holstein
1145,2020-03-05,DE-SH,87.665483,3915754.273905,2396918.757038,3.97885500000001,0.000472,5.117069,3.6799489999999997,Schleswig-Holstein
1199,2020-03-06,DE-SH,86.955167,64028.679976,2388220.2267650003,4.529379000000006,0.005407,4.386953,6.1665470000000004,Schleswig-Holstein
1253,2020-03-07,DE-SH,82.591238,4634473.700737,2425807.554513,4.118440000000021,7.099999999999999e-05,6.126899,3.920143,Schleswig-Holstein
1307,2020-03-08,DE-SH,80.494392,1091752.56657,2416695.415885,7.8169169999999895,0.001393,4.112154,5.953094,Schleswig-Holstein
1361,2020-03-09,DE-SH,88.505926,3641422.131144,2414985.914097,7.204270000000065,0.0034219999999999997,4.748436,3.956475,Schleswig-Holstein
1415,2020-03-10,DE-SH,92.717842,286697.883249,2391074.8681860003,7.441999000000067,0.011639,4.187668,6.964529,Schleswig-Holstein
1469,2020-03-11,DE-SH,76.12951600000001,7022231.570375,2405885.679848,8.479259000000013,0.0005740000000000001,9.253351,6.818703,Schleswig-Holstein
1523,2020-03-12,DE-SH,73.338552,6806460.3710900005,2396804.572386,7.157039999999995,0.0039700000000000004,7.805630000000001,9.964917999999999,Schleswig-Holstein
1577,2020-03-13,DE-SH,77.881865,5757845.601653,2416265.328195,4.967241000000058,0.0029059999999999997,6.253798000000001,7.528336,Schleswig-Holstein
1631,2020-03-14,DE-SH,71.642247,8306178.246872,2447083.518097,3.390000999999984,1e-06,9.895442,3.652804,Schleswig-Holstein
1685,2020-03-15,DE-SH,67.73258299999999,3103985.791499,2426219.393432,8.594693000000063,0.00035499999999999996,5.91555,6.106073,Schleswig-Holstein
1739,2020-03-16,DE-SH,77.236856,7030592.081546001,2438634.00983,7.92890600000004,1e-05,7.592492999999999,4.1972949999999996,Schleswig-Holstein
1793,2020-03-17,DE-SH,79.821027,4019626.435322,2455392.954088,7.307907,3.5e-05,5.970509,4.716927,Schleswig-Holstein
1847,2020-03-18,DE-SH,81.682924,257394.11714899997,2448422.398794,8.531266000000016,0.001344,5.103664,5.363725,Schleswig-Holstein
1901,2020-03-19,DE-SH,80.889611,3355784.031711,2457218.5149689997,6.968533000000036,0.00018999999999999998,7.774799000000001,2.434339,Schleswig-Holstein
1955,2020-03-20,DE-SH,73.222859,4610068.134718,2464279.63092,5.674252000000024,5.9e-05,7.462913,3.828011,Schleswig-Holstein
2009,2020-03-21,DE-SH,60.695446,9162073.060098,2477210.088248,3.1285740000000715,4e-06,11.521001,5.372332,Schleswig-Holstein
2063,2020-03-22,DE-SH,61.357147999999995,8711700.141867999,2485629.346626,2.2515900000000215,1e-06,12.163539,4.537038,Schleswig-Holstein
2117,2020-03-23,DE-SH,50.964682,12741259.718052,2486233.318923,2.439324000000056,0.0,12.882038,3.857974,Schleswig-Holstein
2171,2020-03-24,DE-SH,44.382846,12017647.313672999,2478360.807864,3.865880000000004,0.0,12.345844999999999,4.128472,Schleswig-Holstein
2225,2020-03-25,DE-SH,45.996701,12181146.500894,2470728.2265419997,4.623304000000019,0.0,11.630027,3.665397,Schleswig-Holstein
2279,2020-03-26,DE-SH,54.78145799999999,13361499.119303,2463802.946828,4.6881720000000655,0.0,13.664432999999999,4.100858000000001,Schleswig-Holstein
2333,2020-03-27,DE-SH,68.210142,13201031.550045,2457113.867627,6.195787000000053,0.0,14.180964999999999,4.159674,Schleswig-Holstein
2387,2020-03-28,DE-SH,67.688459,12700829.605450999,2450024.8817020003,6.104022000000043,1.7e-05,14.710903,4.20805,Schleswig-Holstein
2441,2020-03-29,DE-SH,57.951004000000005,9726507.411081,2466523.960456,2.637960000000021,0.001558,13.178284,7.608523,Schleswig-Holstein
2495,2020-03-30,DE-SH,70.663739,7620863.118186,2460315.319929,3.391281000000049,0.0027,12.510277,4.447444,Schleswig-Holstein
2549,2020-03-31,DE-SH,63.371816,10157683.378686,2465976.300827,2.920173000000034,4.6e-05,15.895889000000002,3.018402,Schleswig-Holstein
2603,2020-04-01,DE-SH,80.351089,5409672.132038,2436638.057864,5.610541000000012,0.000662,7.899911,5.840033999999999,Schleswig-Holstein
2657,2020-04-02,DE-SH,74.877537,7586987.895442,2411878.898682,6.976784000000009,0.0010890000000000001,9.661305,8.002203999999999,Schleswig-Holstein
2711,2020-04-03,DE-SH,69.92505600000001,11291409.166667,2424662.141197,5.146687999999983,0.000953,16.128239,6.207952,Schleswig-Holstein
2765,2020-04-04,DE-SH,73.61098299999999,9218973.543119,2453089.345063,6.297776999999996,0.000699,12.083557,3.434815,Schleswig-Holstein
2819,2020-04-05,DE-SH,55.571631999999994,15329776.617516,2457261.508937,9.97814900000003,0.0,18.24084,4.466888,Schleswig-Holstein
2873,2020-04-06,DE-SH,50.507783,15539835.579088,2444862.960567,13.208311000000037,8e-06,18.497319,3.874676,Schleswig-Holstein
2927,2020-04-07,DE-SH,65.950319,15621792.700626,2469556.1479,11.060064000000011,9e-06,17.935657,3.0348319999999998,Schleswig-Holstein
2981,2020-04-08,DE-SH,63.280166,12560121.338694999,2456770.066466,11.789702000000034,0.0,14.269884,3.346224,Schleswig-Holstein
3035,2020-04-09,DE-SH,69.703701,12331107.462913001,2455830.730451,9.147850000000005,9e-06,17.675603,4.00913,Schleswig-Holstein
3089,2020-04-10,DE-SH,71.590244,10865744.466488,2461283.2271,6.333990000000028,0.0,16.363718,3.3157970000000003,Schleswig-Holstein
3143,2020-04-11,DE-SH,66.9644,13003941.274575999,2454754.35143,8.638712999999996,6.500000000000001e-05,18.997766,2.1316759999999997,Schleswig-Holstein
3197,2020-04-12,DE-SH,58.520126,15851506.878910001,2428569.928954,12.227914000000055,8.3e-05,20.777479999999997,3.9351059999999998,Schleswig-Holstein
3251,2020-04-13,DE-SH,53.803408999999995,14445988.788651,2437341.1602990003,6.057416000000046,0.000103,21.199732,7.815028,Schleswig-Holstein
3305,2020-04-14,DE-SH,66.765059,8385881.579088001,2449227.890416,5.356546000000037,3.8e-05,16.079535,5.355951999999999,Schleswig-Holstein
3359,2020-04-15,DE-SH,70.158695,13922325.816801,2444105.42538,8.833512000000042,1e-06,21.227882,6.804214999999999,Schleswig-Holstein
3413,2020-04-16,DE-SH,73.356285,10739965.60143,2437109.1957099997,8.770591000000024,1e-06,14.5,4.4737,Schleswig-Holstein
3467,2020-04-17,DE-SH,67.695757,17428580.937891,2441574.562444,7.605420000000038,0.0,22.733691,2.627134,Schleswig-Holstein
3521,2020-04-18,DE-SH,56.400959,18091131.374441,2443804.836796,8.712464000000011,0.0,23.267203,4.262457,Schleswig-Holstein
3575,2020-04-19,DE-SH,55.720397999999996,18225676.535299,2455358.098525,7.916116000000045,0.0,23.999106,4.720193,Schleswig-Holstein
3629,2020-04-20,DE-SH,54.733274,18548661.168901,2461441.760724,9.35070300000001,0.0,24.625559,4.888982,Schleswig-Holstein
3683,2020-04-21,DE-SH,57.054342000000005,18400632.161752,2461806.5779709998,10.545841999999993,0.0,25.127346,7.150946,Schleswig-Holstein
3737,2020-04-22,DE-SH,62.174535999999996,18807754.237712,2461323.9508490004,10.510135999999989,0.0,25.549598,5.468908,Schleswig-Holstein
3791,2020-04-23,DE-SH,60.843427,18185098.109026,2446951.889522,12.420839000000058,0.0,25.257373,2.36937,Schleswig-Holstein
3845,2020-04-24,DE-SH,67.393896,17073134.624665,2419587.816912,10.452025000000049,1.4999999999999999e-05,23.57328,5.766762,Schleswig-Holstein
3899,2020-04-25,DE-SH,66.71643399999999,12842247.890527,2423568.7648569997,9.793823000000032,5.6000000000000006e-05,22.302055,3.500547,Schleswig-Holstein
3953,2020-04-26,DE-SH,72.589471,5848294.79971,2422873.036752,7.120070000000055,1.4999999999999999e-05,13.367739000000002,2.574693,Schleswig-Holstein
4007,2020-04-27,DE-SH,66.014477,13664333.095621001,2412272.111707,10.98612700000001,0.0002,24.95487,2.751488,Schleswig-Holstein
4061,2020-04-28,DE-SH,71.23696600000001,10381260.39924,2408707.460344,9.956424000000027,0.003314,18.836461,2.94124,Schleswig-Holstein
4115,2020-04-29,DE-SH,89.980599,554896.375091,2405437.58445,8.869040000000041,0.00409,12.984361,2.931665,Schleswig-Holstein
4169,2020-04-30,DE-SH,84.07205,5373889.953083,2395438.133266,10.403470000000027,0.011179999999999999,18.41555,3.7138760000000004,Schleswig-Holstein
4223,2020-05-01,DE-SH,83.216185,9596129.071939,2392013.172252,9.595973000000015,0.007923999999999999,20.115728,3.7926029999999997,Schleswig-Holstein
4277,2020-05-02,DE-SH,81.060464,11359265.336014,2406139.4174490003,9.541096000000039,0.002248,18.600089,4.34895,Schleswig-Holstein
4331,2020-05-03,DE-SH,77.235843,10742078.129357,2432159.477659,9.93521800000002,0.000293,23.804736,3.734573,Schleswig-Holstein
4385,2020-05-04,DE-SH,68.02462299999999,15736294.528597001,2439906.297587,8.824994000000004,0.000226,29.47185,4.352863,Schleswig-Holstein
4439,2020-05-05,DE-SH,64.075816,16470148.568811,2446429.106122,8.588290000000029,0.000417,32.71269,4.044193,Schleswig-Holstein
4493,2020-05-06,DE-SH,68.718874,18731998.130473997,2452504.926832,8.78824400000002,1e-06,32.169348,5.008771,Schleswig-Holstein
4547,2020-05-07,DE-SH,71.78856800000001,14955271.283289002,2448116.033065,10.167356999999981,2e-06,26.686327000000002,4.492195,Schleswig-Holstein
4601,2020-05-08,DE-SH,68.413048,19285940.614835,2438474.345733,11.248663000000022,0.0,32.603664,2.9951220000000003,Schleswig-Holstein
4655,2020-05-09,DE-SH,69.197598,15104869.413315,2429508.502793,14.032083999999998,0.000317,31.237712,2.085413,Schleswig-Holstein
4709,2020-05-10,DE-SH,63.733532,11434672.800045,2413550.3731009997,13.373777000000018,0.000152,21.234583999999998,4.488551999999999,Schleswig-Holstein
4763,2020-05-11,DE-SH,56.435227000000005,14496688.151920998,2424625.709227,7.505875000000003,0.000286,30.208668,6.2260089999999995,Schleswig-Holstein
4817,2020-05-12,DE-SH,75.091284,11243476.134048,2428098.824955,6.799140000000023,0.002752,23.211349,4.972315,Schleswig-Holstein
4871,2020-05-13,DE-SH,77.532454,8652259.342717,2426356.362377,6.771710000000041,0.003796,20.13941,3.244361,Schleswig-Holstein
4925,2020-05-14,DE-SH,64.517255,11974951.605004,2441366.207328,7.317112000000009,2.9999999999999997e-05,33.565684000000005,3.955053,Schleswig-Holstein
4979,2020-05-15,DE-SH,77.787998,9678412.948391,2440028.453195,8.053318000000047,0.001021,18.917337,5.21581,Schleswig-Holstein
5033,2020-05-16,DE-SH,70.52856700000001,10861335.345398,2440320.768097,10.561923000000036,0.000566,21.395442000000003,5.795653,Schleswig-Holstein
5087,2020-05-17,DE-SH,71.870435,13252408.891421001,2442578.970845,11.86840600000005,0.000376,32.273905,6.3465370000000005,Schleswig-Holstein
5141,2020-05-18,DE-SH,80.974209,690157.693742,2441153.6594060003,12.479624999999999,0.0017649999999999999,15.455317,5.008104,Schleswig-Holstein
5195,2020-05-19,DE-SH,74.825128,12589393.10143,2443125.095509,13.307745000000068,0.00032900000000000003,25.981233,4.634857,Schleswig-Holstein
5249,2020-05-20,DE-SH,70.852855,15316776.953083,2451257.624777,12.714786000000004,1e-06,33.809205,2.016669,Schleswig-Holstein
5303,2020-05-21,DE-SH,65.7202,10719434.783959,2450767.438114,15.10008300000004,9e-06,32.628239,2.33942,Schleswig-Holstein
5357,2020-05-22,DE-SH,73.90632099999999,2865674.041834,2437952.075737,15.310788000000002,0.0118,20.150581,3.4068699999999996,Schleswig-Holstein
5411,2020-05-23,DE-SH,76.024637,10304360.835567,2438659.308311,13.427221000000031,0.000785,23.627793,5.059689,Schleswig-Holstein
5465,2020-05-24,DE-SH,74.500609,9138652.180518,2447526.420353,12.473858000000007,0.002358,20.557194,6.771677,Schleswig-Holstein
5519,2020-05-25,DE-SH,75.943915,4439825.0687,2466813.483021,12.215821000000005,0.00032599999999999996,21.988829,5.523265,Schleswig-Holstein
5573,2020-05-26,DE-SH,79.451623,9212683.7605,2479513.7641869998,12.884100000000046,2.6000000000000002e-05,25.025022,2.1063709999999998,Schleswig-Holstein
5627,2020-05-27,DE-SH,71.95593000000001,8702457.075514,2474637.0023459997,13.34463199999999,8.8e-05,26.729669,3.6230019999999996,Schleswig-Holstein
5681,2020-05-28,DE-SH,65.722289,20796179.140304,2473189.7231900003,12.80274300000002,0.0,35.335567,3.848931,Schleswig-Holstein
5735,2020-05-29,DE-SH,64.626949,21399090.505808998,2466543.4355450002,13.479108000000053,0.0,35.933423,2.3051909999999998,Schleswig-Holstein
5789,2020-05-30,DE-SH,61.409206000000005,17366372.029937,2459388.181971,14.827837000000045,2.4e-05,35.915996,2.8687840000000002,Schleswig-Holstein
5843,2020-05-31,DE-SH,59.403897,12348912.404378999,2458218.260054,15.083127000000047,3e-06,26.728329,4.940821,Schleswig-Holstein
5897,2020-06-01,DE-SH,56.40828199999999,22868179.772118,2456874.757373,16.144810000000007,0.0,40.921358000000005,4.329923,Schleswig-Holstein
5951,2020-06-02,DE-SH,56.337548,19978543.50849,2437235.447051,18.261618000000055,0.0,36.334227,1.880986,Schleswig-Holstein
6005,2020-06-03,DE-SH,64.80638,12259785.491063,2407493.168789,17.875215000000026,0.001459,30.688561,3.5366269999999997,Schleswig-Holstein
6059,2020-06-04,DE-SH,83.075284,2831121.955038,2380610.918007,14.017780000000016,0.017386000000000002,20.851653,3.6886019999999995,Schleswig-Holstein
6113,2020-06-05,DE-SH,73.537468,14236385.886506,2374448.040885,11.99948599999999,0.0062640000000000005,35.210903,5.011941,Schleswig-Holstein
6167,2020-06-06,DE-SH,72.512749,15658479.099196,2389778.245085,11.33661699999999,0.001991,35.960679,5.225503,Schleswig-Holstein
6221,2020-06-07,DE-SH,72.248717,14000504.586238,2408059.145107,12.739411000000018,0.002374,29.166220000000003,4.219197,Schleswig-Holstein
6275,2020-06-08,DE-SH,73.205702,12647264.055853,2428524.555071,13.57246600000002,0.000492,38.13807,2.720152,Schleswig-Holstein
6329,2020-06-09,DE-SH,69.896691,9879272.497319,2439940.383713,13.419358000000045,0.00015,37.025915999999995,2.610661,Schleswig-Holstein
6383,2020-06-10,DE-SH,69.294457,12595892.027033,2435812.319929,15.687784000000022,0.001049,29.653261999999998,3.70453,Schleswig-Holstein
6437,2020-06-11,DE-SH,82.824315,2144951.331015,2428119.896113,15.722925999999973,0.008087,22.338248,5.688209,Schleswig-Holstein
6491,2020-06-12,DE-SH,87.721366,5192319.697107,2425395.295018,16.46023100000002,0.001907,25.49866,5.009506,Schleswig-Holstein
6545,2020-06-13,DE-SH,92.666039,9837370.941466,2427491.179401,16.467059000000006,0.008376999999999999,23.357015,5.516844,Schleswig-Holstein
6599,2020-06-14,DE-SH,78.556731,4642698.917141001,2430539.504133,17.11519400000003,0.005872,31.911081,5.493003,Schleswig-Holstein
6653,2020-06-15,DE-SH,63.57653199999999,21658663.512511,2433932.0033509997,17.561161000000027,0.0,44.127793,3.5209339999999996,Schleswig-Holstein
6707,2020-06-16,DE-SH,60.756864,21983581.369973,2429839.078642,18.86869500000006,1e-06,43.273458000000005,1.871548,Schleswig-Holstein
6761,2020-06-17,DE-SH,65.07686,19202136.487042002,2425231.816466,20.453572000000065,6.9e-05,40.865952,2.4646689999999998,Schleswig-Holstein
6815,2020-06-18,DE-SH,71.208329,14757265.165326001,2422738.642985,19.017975999999976,0.001123,33.54647,3.719182,Schleswig-Holstein
6869,2020-06-19,DE-SH,86.634155,2197961.453907,2427969.134495,16.79666100000003,0.011205,21.880697,3.395528,Schleswig-Holstein
