index,date,region_code,relative_humidity_surface,solar_radiation,surface_pressure,temperature_above_ground,total_precipiation,uv_index,wind_speed,region
15,2020-02-13,DE-TH,83.149783,181806.461939,2317997.488225,2.0935080000000426,0.004016,3.009039,5.137631,Thüringen
69,2020-02-14,DE-TH,84.99463399999999,2347265.620956,2339249.583135,4.130174000000068,0.001936,2.132255,3.7329410000000003,Thüringen
123,2020-02-15,DE-TH,77.67104499999999,2450401.634098,2346572.394386,5.4495939999999905,2e-06,3.758801,5.039242,Thüringen
177,2020-02-16,DE-TH,55.556999999999995,1027426.052301,2322608.3912939997,11.244362000000024,0.001163,3.988107,8.970429,Thüringen
231,2020-02-17,DE-TH,76.157578,299205.883875,2332579.415319,6.994522000000018,0.003394,3.6622260000000004,6.3986160000000005,Thüringen
285,2020-02-18,DE-TH,72.960391,5039655.044244001,2345461.2986439997,5.120702000000051,0.001513,4.940057,7.1738539999999995,Thüringen
339,2020-02-19,DE-TH,75.15203000000001,2177398.70088,2337399.1445049997,3.6079090000000065,0.004934,4.046622,6.2283040000000005,Thüringen
393,2020-02-20,DE-TH,80.330935,381971.747265,2337052.392721,4.006551000000002,0.0026379999999999997,3.4129400000000003,5.651972,Thüringen
447,2020-02-21,DE-TH,70.601287,3005917.8334919997,2352043.949572,4.1629950000000235,0.00131,4.5751669999999995,6.575434,Thüringen
501,2020-02-22,DE-TH,64.790529,4282894.111204,2345290.119767,6.679083000000048,0.001415,4.711703,8.048216,Thüringen
555,2020-02-23,DE-TH,82.02415500000001,429.41846699999996,2329411.672693,8.015640000000019,0.013380000000000001,3.253568,8.906343,Thüringen
609,2020-02-24,DE-TH,79.191038,1193652.678134,2332707.907826,4.368518000000051,0.0039759999999999995,4.373454,5.677133,Thüringen
663,2020-02-25,DE-TH,78.32480600000001,2682203.909759,2295604.365366,6.754139000000009,0.004101,5.011418,6.330908999999999,Thüringen
717,2020-02-26,DE-TH,85.06589699999999,2085327.128895,2291140.6923169997,1.644736000000023,0.004715,4.457659,5.635831,Thüringen
771,2020-02-27,DE-TH,82.913733,887475.148475,2300665.971456,1.3734790000000316,0.006028,4.408183,4.280711,Thüringen
825,2020-02-28,DE-TH,79.831239,3014540.0193270002,2328147.791627,1.6640320000000202,0.002712,4.988582,5.492018,Thüringen
879,2020-02-29,DE-TH,81.32956800000001,5139139.688511,2295275.654971,5.547402000000034,0.00417,5.299239,6.418101999999999,Thüringen
933,2020-03-01,DE-TH,72.753327,4858019.212892,2290219.507731,5.958643000000052,0.0039369999999999995,5.665081,6.203826,Thüringen
987,2020-03-02,DE-TH,72.338373,6546464.830162,2281316.8309939997,5.529225999999994,0.001398,7.677925999999999,4.295032,Thüringen
1041,2020-03-03,DE-TH,80.302743,2216473.33923,2300267.847645,3.4869170000000054,0.004256,4.946717,3.8086620000000004,Thüringen
1095,2020-03-04,DE-TH,85.53838499999999,2493206.858557,2321797.937797,1.794618000000014,0.000683,5.46099,3.5210730000000003,Thüringen
1149,2020-03-05,DE-TH,79.513472,2401456.6805419996,2295750.783539,3.7341089999999895,0.006478,5.679353,4.413628,Thüringen
1203,2020-03-06,DE-TH,87.322778,564433.308263,2283465.749643,4.464107000000013,0.006177,4.934348,5.301159999999999,Thüringen
1257,2020-03-07,DE-TH,80.565567,3964764.763796,2332753.709206,3.0825270000000273,0.002771,5.600381,4.515944999999999,Thüringen
1311,2020-03-08,DE-TH,76.064847,3871373.240426,2333914.144743,4.830594000000019,0.000394,5.581827,4.823936,Thüringen
1365,2020-03-09,DE-TH,79.401663,5515344.930304,2326749.923882,5.971318000000053,0.0021780000000000002,6.554233999999999,3.847475,Thüringen
1419,2020-03-10,DE-TH,87.06597099999999,31578.781485000003,2316708.961941,5.628510000000006,0.007982,5.274025,6.925992999999999,Thüringen
1473,2020-03-11,DE-TH,90.044997,294342.600709,2323512.205281,9.60886400000004,0.013413,5.285442,5.312778,Thüringen
1527,2020-03-12,DE-TH,68.759889,3712811.9389870004,2320416.725737,8.982510999999988,0.002132,6.899144000000001,7.171799000000001,Thüringen
1581,2020-03-13,DE-TH,70.122732,7452898.398906,2334376.5187919997,4.776626000000022,0.001483,8.284015,6.630035,Thüringen
1635,2020-03-14,DE-TH,72.273717,6272118.161275,2349873.535442,3.865903000000003,0.000207,9.557564,2.589175,Thüringen
1689,2020-03-15,DE-TH,55.357713000000004,9432391.834206,2341120.7205040003,6.0462100000000305,0.0,10.762607000000001,4.865154,Thüringen
1743,2020-03-16,DE-TH,61.38188,10691240.763558999,2345231.8101810003,8.566740000000038,4.5e-05,8.959087,2.799074,Thüringen
1797,2020-03-17,DE-TH,75.487825,6531363.714795,2363588.796741,8.737823000000049,0.00159,9.113225,2.505158,Thüringen
1851,2020-03-18,DE-TH,73.3361,8213350.868458999,2361057.6303520002,9.251844000000006,3e-06,13.482398000000002,3.3786389999999997,Thüringen
1905,2020-03-19,DE-TH,72.444848,5357289.285680001,2355663.514153,10.171352000000013,2e-05,13.959087,2.194464,Thüringen
1959,2020-03-20,DE-TH,87.25664,923596.4494459999,2353062.662583,6.125959000000023,0.003286,5.106089,3.938448,Thüringen
2013,2020-03-21,DE-TH,71.965886,1882448.7169360002,2360565.071361,2.3801819999999907,0.001027,7.91627,6.207632,Thüringen
2067,2020-03-22,DE-TH,56.963753000000004,12770787.426736,2373895.570766,-0.0655259999999771,0.0,16.682682999999997,5.224804,Thüringen
2121,2020-03-23,DE-TH,47.958748,14248856.156518,2379834.2926970003,-0.48368499999997994,0.0,16.998573,3.7312480000000003,Thüringen
