date	region_code	hospitalized_addition
2020-03-01	Capital Region of Denmark	1
2020-03-02	Capital Region of Denmark	0
2020-03-03	Capital Region of Denmark	1
2020-03-04	Capital Region of Denmark	0
2020-03-05	Capital Region of Denmark	1
2020-03-06	Capital Region of Denmark	3
2020-03-07	Capital Region of Denmark	0
2020-03-08	Capital Region of Denmark	3
2020-03-09	Capital Region of Denmark	3
2020-03-10	Capital Region of Denmark	6
2020-03-11	Capital Region of Denmark	4
2020-03-12	Capital Region of Denmark	3
2020-03-13	Capital Region of Denmark	13
2020-03-14	Capital Region of Denmark	9
2020-03-15	Capital Region of Denmark	18
2020-03-16	Capital Region of Denmark	23
2020-03-17	Capital Region of Denmark	25
2020-03-18	Capital Region of Denmark	21
2020-03-19	Capital Region of Denmark	29
2020-03-20	Capital Region of Denmark	33
2020-03-21	Capital Region of Denmark	14
2020-03-22	Capital Region of Denmark	22
2020-03-23	Capital Region of Denmark	43
2020-03-24	Capital Region of Denmark	37
2020-03-25	Capital Region of Denmark	40
2020-03-26	Capital Region of Denmark	41
2020-03-27	Capital Region of Denmark	38
2020-03-28	Capital Region of Denmark	31
2020-03-29	Capital Region of Denmark	25
2020-03-30	Capital Region of Denmark	39
2020-03-31	Capital Region of Denmark	28
2020-04-01	Capital Region of Denmark	29
2020-04-02	Capital Region of Denmark	39
2020-04-03	Capital Region of Denmark	33
2020-04-04	Capital Region of Denmark	26
2020-04-05	Capital Region of Denmark	23
2020-04-06	Capital Region of Denmark	28
2020-04-07	Capital Region of Denmark	36
2020-04-08	Capital Region of Denmark	14
2020-04-09	Capital Region of Denmark	18
2020-04-10	Capital Region of Denmark	16
2020-04-11	Capital Region of Denmark	17
2020-04-12	Capital Region of Denmark	13
2020-04-13	Capital Region of Denmark	18
2020-04-14	Capital Region of Denmark	23
2020-04-15	Capital Region of Denmark	12
2020-04-16	Capital Region of Denmark	17
2020-04-17	Capital Region of Denmark	13
2020-04-18	Capital Region of Denmark	15
2020-04-19	Capital Region of Denmark	20
2020-04-20	Capital Region of Denmark	16
2020-04-21	Capital Region of Denmark	18
2020-04-22	Capital Region of Denmark	15
2020-04-23	Capital Region of Denmark	16
2020-04-24	Capital Region of Denmark	9
2020-04-25	Capital Region of Denmark	18
2020-04-26	Capital Region of Denmark	20
2020-04-27	Capital Region of Denmark	8
2020-04-28	Capital Region of Denmark	12
2020-04-29	Capital Region of Denmark	9
2020-04-30	Capital Region of Denmark	10
2020-05-01	Capital Region of Denmark	9
2020-05-02	Capital Region of Denmark	14
2020-05-03	Capital Region of Denmark	13
2020-05-04	Capital Region of Denmark	8
2020-05-05	Capital Region of Denmark	8
2020-05-06	Capital Region of Denmark	4
2020-05-07	Capital Region of Denmark	11
2020-05-08	Capital Region of Denmark	6
2020-05-09	Capital Region of Denmark	4
2020-05-10	Capital Region of Denmark	7
2020-05-11	Capital Region of Denmark	6
2020-05-12	Capital Region of Denmark	6
2020-05-13	Capital Region of Denmark	4
2020-05-14	Capital Region of Denmark	9
2020-05-15	Capital Region of Denmark	5
2020-05-16	Capital Region of Denmark	1
2020-05-17	Capital Region of Denmark	2
2020-05-18	Capital Region of Denmark	9
2020-05-19	Capital Region of Denmark	4
2020-05-20	Capital Region of Denmark	2
2020-05-21	Capital Region of Denmark	3
2020-05-22	Capital Region of Denmark	9
2020-05-23	Capital Region of Denmark	5
2020-05-24	Capital Region of Denmark	1
2020-05-25	Capital Region of Denmark	4
2020-05-26	Capital Region of Denmark	7
2020-05-27	Capital Region of Denmark	5
2020-05-28	Capital Region of Denmark	5
2020-05-29	Capital Region of Denmark	8
2020-05-30	Capital Region of Denmark	5
2020-05-31	Capital Region of Denmark	3
2020-06-01	Capital Region of Denmark	3
2020-06-02	Capital Region of Denmark	4
2020-06-03	Capital Region of Denmark	1
2020-06-04	Capital Region of Denmark	2
2020-06-05	Capital Region of Denmark	7
2020-06-06	Capital Region of Denmark	2
2020-06-07	Capital Region of Denmark	3
2020-06-08	Capital Region of Denmark	3
2020-06-09	Capital Region of Denmark	0
2020-06-10	Capital Region of Denmark	0
2020-06-11	Capital Region of Denmark	0
2020-06-12	Capital Region of Denmark	3
2020-06-13	Capital Region of Denmark	3
2020-06-14	Capital Region of Denmark	1
2020-06-15	Capital Region of Denmark	1
2020-06-16	Capital Region of Denmark	2
2020-06-17	Capital Region of Denmark	2
2020-06-18	Capital Region of Denmark	1
2020-06-19	Capital Region of Denmark	2
2020-06-20	Capital Region of Denmark	1
2020-06-21	Capital Region of Denmark	2
2020-06-22	Capital Region of Denmark	2
2020-06-23	Capital Region of Denmark	1
2020-06-24	Capital Region of Denmark	3
2020-06-25	Capital Region of Denmark	3
2020-06-26	Capital Region of Denmark	1
2020-06-27	Capital Region of Denmark	1
2020-06-28	Capital Region of Denmark	1
2020-06-29	Capital Region of Denmark	1
2020-06-30	Capital Region of Denmark	0
2020-07-01	Capital Region of Denmark	1
2020-07-02	Capital Region of Denmark	2
2020-07-03	Capital Region of Denmark	0
2020-07-04	Capital Region of Denmark	0
2020-07-05	Capital Region of Denmark	1
2020-07-06	Capital Region of Denmark	1
2020-07-07	Capital Region of Denmark	1
2020-07-08	Capital Region of Denmark	0
2020-07-09	Capital Region of Denmark	1
2020-07-10	Capital Region of Denmark	1
2020-07-11	Capital Region of Denmark	4
2020-07-12	Capital Region of Denmark	0
2020-07-13	Capital Region of Denmark	0
2020-07-14	Capital Region of Denmark	2
2020-07-15	Capital Region of Denmark	2
2020-07-16	Capital Region of Denmark	1
2020-07-17	Capital Region of Denmark	2
2020-07-18	Capital Region of Denmark	2
2020-07-19	Capital Region of Denmark	1
2020-07-20	Capital Region of Denmark	2
2020-07-21	Capital Region of Denmark	2
2020-07-22	Capital Region of Denmark	3
2020-07-23	Capital Region of Denmark	0
2020-07-24	Capital Region of Denmark	0
2020-07-25	Capital Region of Denmark	2
2020-07-26	Capital Region of Denmark	1
2020-07-27	Capital Region of Denmark	2
2020-07-28	Capital Region of Denmark	1
2020-07-29	Capital Region of Denmark	2
2020-07-30	Capital Region of Denmark	2
2020-07-31	Capital Region of Denmark	0
2020-08-01	Capital Region of Denmark	0
2020-08-02	Capital Region of Denmark	0
2020-08-03	Capital Region of Denmark	1
2020-08-04	Capital Region of Denmark	1
2020-08-05	Capital Region of Denmark	3
2020-08-06	Capital Region of Denmark	0
2020-08-07	Capital Region of Denmark	2
2020-08-08	Capital Region of Denmark	0
2020-08-09	Capital Region of Denmark	0
2020-08-10	Capital Region of Denmark	1
2020-08-11	Capital Region of Denmark	1
2020-08-12	Capital Region of Denmark	1
2020-08-13	Capital Region of Denmark	2
2020-08-14	Capital Region of Denmark	2
2020-08-15	Capital Region of Denmark	0
