date	region_code	confirmed_addition
2021-02-18	Blekinge	23
2021-02-17	Blekinge	30
2021-02-16	Blekinge	50
2021-02-15	Blekinge	3
2021-02-14	Blekinge	3
2021-02-13	Blekinge	23
2021-02-12	Blekinge	20
2021-02-11	Blekinge	26
2021-02-10	Blekinge	33
2021-02-09	Blekinge	42
2021-02-08	Blekinge	3
2021-02-07	Blekinge	3
2021-02-06	Blekinge	37
2021-02-05	Blekinge	23
2021-02-04	Blekinge	32
2021-02-03	Blekinge	26
2021-02-02	Blekinge	86
2021-02-01	Blekinge	4
2021-01-31	Blekinge	2
2021-01-30	Blekinge	29
2021-01-29	Blekinge	28
2021-01-28	Blekinge	49
2021-01-27	Blekinge	37
2021-01-26	Blekinge	68
2021-01-25	Blekinge	1
2021-01-24	Blekinge	9
2021-01-23	Blekinge	40
2021-01-22	Blekinge	52
2021-01-21	Blekinge	58
2021-01-20	Blekinge	61
2021-01-19	Blekinge	153
2021-01-18	Blekinge	6
2021-01-17	Blekinge	7
2021-01-16	Blekinge	84
2021-01-15	Blekinge	69
2021-01-14	Blekinge	102
2021-01-13	Blekinge	114
2021-01-12	Blekinge	226
2021-01-11	Blekinge	20
2021-01-10	Blekinge	13
2021-01-09	Blekinge	128
2021-01-08	Blekinge	186
2021-01-07	Blekinge	18
2021-01-06	Blekinge	148
2021-01-05	Blekinge	284
2021-01-04	Blekinge	11
2021-01-03	Blekinge	184
2021-01-02	Blekinge	20
2021-01-01	Blekinge	31
2020-12-31	Blekinge	181
2020-12-30	Blekinge	212
2020-12-29	Blekinge	266
2020-12-28	Blekinge	20
2020-12-27	Blekinge	177
2020-12-26	Blekinge	5
2020-12-25	Blekinge	16
2020-12-24	Blekinge	145
2020-12-23	Blekinge	141
2020-12-22	Blekinge	200
2020-12-21	Blekinge	16
2020-12-20	Blekinge	31
2020-12-19	Blekinge	87
2020-12-18	Blekinge	109
2020-12-17	Blekinge	95
2020-12-16	Blekinge	124
2020-12-15	Blekinge	160
2020-12-14	Blekinge	15
2020-12-13	Blekinge	24
2020-12-12	Blekinge	119
2020-12-11	Blekinge	83
2020-12-10	Blekinge	58
2020-12-09	Blekinge	102
2020-12-08	Blekinge	162
2020-12-07	Blekinge	8
2020-12-06	Blekinge	18
2020-12-05	Blekinge	72
2020-12-04	Blekinge	58
2020-12-03	Blekinge	100
2020-12-02	Blekinge	106
2020-12-01	Blekinge	102
2020-11-30	Blekinge	2
2020-11-29	Blekinge	53
2020-11-28	Blekinge	62
2020-11-27	Blekinge	15
2020-11-26	Blekinge	70
2020-11-25	Blekinge	48
2020-11-24	Blekinge	66
2020-11-23	Blekinge	51
2020-11-22	Blekinge	6
2020-11-21	Blekinge	45
2020-11-20	Blekinge	9
2020-11-19	Blekinge	111
2020-11-18	Blekinge	61
2020-11-17	Blekinge	5
2020-11-16	Blekinge	14
2020-11-15	Blekinge	23
2020-11-14	Blekinge	46
2020-11-13	Blekinge	37
2020-11-12	Blekinge	47
2020-11-11	Blekinge	46
2020-11-10	Blekinge	17
2020-11-09	Blekinge	8
2020-11-08	Blekinge	27
2020-11-07	Blekinge	27
2020-11-06	Blekinge	30
2020-11-05	Blekinge	33
2020-11-04	Blekinge	36
2020-11-03	Blekinge	6
2020-11-02	Blekinge	2
2020-11-01	Blekinge	22
2020-10-31	Blekinge	16
2020-10-30	Blekinge	41
2020-10-29	Blekinge	18
2020-10-28	Blekinge	11
2020-10-27	Blekinge	25
2020-10-26	Blekinge	8
2020-10-25	Blekinge	1
2020-10-24	Blekinge	26
2020-10-23	Blekinge	8
2020-10-22	Blekinge	11
2020-10-21	Blekinge	14
2020-10-20	Blekinge	5
2020-10-19	Blekinge	0
2020-10-18	Blekinge	0
2020-10-17	Blekinge	9
2020-10-16	Blekinge	5
2020-10-15	Blekinge	8
2020-10-14	Blekinge	1
2020-10-13	Blekinge	7
2020-10-12	Blekinge	1
